UniqueCount	AmbigCount
0	0
0	0
47	242
28	203
66	122
1	0
1	0
3	0
1	1
1	7
1	6
0	10
5	14
10	0
2	0
2	1
0	0
0	0
54	10
7	2
0	2
0	2
1	2
0	1
1	0
11	127
0	87
0	112
1	54
8	38
1	17
2	39
2	57
1	2
0	0
3	2
0	18
0	0
8	1
1	7
0	57
0	13
0	0
0	0
1	1000
0	445
29	916
1	237
0	674
25	263
0	349
0	145
19	33
1	483
976	833
0	477
0	302
0	231
2	651
1	426
43	247
0	563
49	2856
2	2809
0	226
11	0
1	101
0	100
0	33
0	25
0	22
0	4
0	0
0	0
0	5
9	60
0	0
1	4787
16	6255
55	1242
24	4689
3	471
2	543
145	6165
3	1904
0	4
598	679
2	1
3	8
82	81
0	27
0	80
2	42
0	0
0	13
0	5
1	0
0	0
1	194
0	358
168	6588
2	57
1	81
0	2511
0	6090
7	892
0	2861
19	127
1	872
1	166
4	286
0	990
45	179
2	1394
102	12
0	7
0	3
0	0
0	52
0	0
24	341
0	3
0	3
0	3
0	0
0	0
0	1
0	1
0	0
0	3
0	0
0	0
0	1
0	0
0	0
0	6
1	1026
0	0
0	0
0	0
0	0
550	3300
0	343
0	37
0	2457
0	728
1	227
30	3213
24	3201
0	6
49	37
0	749
0	0
0	0
0	0
17	4
0	0
1	0
2	2
0	0
1	32
0	0
0	6
0	14
0	0
0	212
0	223
0	237
1	200
0	45
0	18
0	94
5	112
0	106
0	0
2	18
7	20
0	37
2	0
0	0
0	0
0	18
0	54
0	1
0	0
0	0
0	156
0	0
0	0
0	0
0	19
0	0
0	1
0	0
0	0
424	16
0	60
0	58
0	3
0	11
1	49
25	16
0	16
0	10
0	17
0	15
1	2976
1	0
0	0
99	120
0	120
0	21
2	15
0	36
3902	161
0	245
0	68
0	3
0	3
0	85
0	2
0	0
0	417
0	422
0	429
3	5
0	328
1	385
0	417
0	17
2	45
0	358
4	78
26	61
0	38
0	0
5	13
0	92
0	17
2	21
0	14
0	75
1	151
10	140
0	68
0	77
8	63
1	0
5	12
0	12
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
126	4521
1	2851
8	2856
0	1734
34	2389
2	1284
10	610
2	20
0	22
75	398
24	32
0	31
0	92
0	26
1	109
12	113
0	28
0	91
0	32
0	26
0	349
0	31
71	10
0	33
8	22
4	41
1	31
1	17
0	15
0	113
1	21
2	34
0	8
4	75
0	0
3180	5745
0	734
0	849
13	594
9	110
0	3470
0	261
0	527
2	0
4	2
0	5
1	5
45	206
0	0
11	10
9	110
0	0
0	0
0	0
0	8
1	29
0	0
961	501
6	6
0	114
0	57
0	88
0	94
0	300
0	99
0	0
0	6
4	5
23	2166
