UniqueCount	AmbigCount
0	0
0	0
0	1
0	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	0
0	0
1	1
0	0
0	0
2	0
15	3
0	3
0	3
1	3
0	0
0	0
7	65
1	46
0	53
0	37
6	30
0	15
0	34
0	37
4	3
0	1
0	1
0	2
0	0
2	0
0	2
1	13
0	10
0	0
0	0
1	974
0	194
14	420
0	115
0	303
2	96
0	141
0	50
5	11
0	244
452	400
0	241
0	162
0	94
0	328
1	214
11	112
0	237
5	402
0	395
0	128
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
1	9
0	0
0	127
0	172
0	31
2	140
1	20
0	9
1	168
1	54
0	0
96	155
0	2
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	1
0	0
0	30
0	61
3	1026
0	6
0	7
0	393
0	954
0	125
0	454
10	25
0	146
0	23
1	40
0	148
8	30
0	195
34	5
0	2
0	0
0	0
0	32
0	0
0	24
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	276
0	0
0	0
0	0
0	0
171	969
0	90
0	10
0	704
0	205
3	59
9	950
4	944
1	4
7	4
0	85
0	0
0	0
0	0
6	4
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	13
0	0
0	0
0	0
0	2
0	10
0	0
0	0
0	0
0	138
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
158	10
5	741
3	687
2	99
0	155
5	632
9	1
2	15
2	0
0	0
0	0
1	860
1	0
0	0
2	6
0	6
0	0
0	1
0	2
306	11
0	21
0	6
1	0
0	0
0	10
0	0
0	0
1	149
0	149
0	152
2	0
0	122
0	140
0	149
0	12
0	23
0	135
4	14
5	32
0	16
0	0
0	0
0	9
0	0
0	0
4	0
0	9
0	28
2	26
0	10
0	12
1	11
0	0
0	5
0	5
0	0
0	2
0	4
0	4
0	0
0	2
0	1
0	0
0	0
14	484
0	299
1	293
0	166
7	249
1	128
1	70
0	0
0	3
7	36
0	5
0	5
0	8
0	3
0	10
1	10
0	5
0	8
0	5
0	5
0	29
0	2
0	0
0	3
0	3
0	2
0	0
0	2
0	2
0	10
1	1
0	4
0	0
0	10
0	0
622	1005
0	118
0	154
3	98
0	17
0	620
0	36
0	79
0	0
1	1
0	0
0	0
6	39
0	0
1	0
1	10
0	0
0	0
0	0
0	1
0	24
0	0
360	220
0	4
0	54
0	51
0	34
0	33
0	126
0	41
0	0
0	4
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
