UniqueCount	AmbigCount
0	0
0	0
68	276
33	235
58	142
0	0
2	0
0	0
0	0
0	0
2	0
1	5
7	13
9	3
21	0
1	0
0	0
0	0
21	2
2	1
0	1
0	1
0	1
0	0
0	0
9	89
0	69
0	77
1	44
1	23
0	11
1	27
0	31
0	3
0	0
0	2
0	5
0	0
6	0
0	12
0	31
0	8
0	0
0	0
0	490
0	238
22	447
1	128
0	340
14	145
0	176
0	86
12	16
0	286
445	467
0	278
0	149
0	115
0	374
0	247
34	154
0	371
34	1974
1	1934
1	88
26	0
6	162
0	158
1	84
0	66
0	47
1	7
0	0
0	0
0	10
9	48
0	0
0	2072
4	2836
22	547
27	2180
1	236
0	249
65	2804
6	845
0	1
245	283
2	1
5	5
58	61
0	20
0	61
4	23
0	0
1	7
0	1
7	2
0	0
0	90
0	180
97	2865
1	33
0	38
0	1010
0	2652
2	340
0	1271
10	55
0	393
1	71
5	120
1	452
28	89
0	654
102	14
0	6
0	2
0	0
0	23
0	0
14	228
0	1540
1	1538
12	1545
0	19
3	50
0	1096
5	958
6	135
0	1539
3	104
0	72
0	225
3	167
125	0
0	5
1	576
0	0
0	0
0	0
0	0
580	3098
0	335
0	42
0	2242
0	699
6	234
24	2986
15	3006
0	3
58	29
0	214
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
1	10
0	0
0	4
0	7
0	0
0	304
0	317
0	328
8	263
0	98
0	28
0	130
6	102
0	104
1	1
1	12
6	20
0	25
2	0
0	0
0	0
0	4
0	38
0	2
0	0
0	0
0	112
0	0
0	0
2	0
1	14
0	0
0	0
0	0
1	0
366	15
0	248
0	236
0	32
0	40
1	208
7	2
1	6
0	32
0	3
0	2
0	2418
479	31
0	0
114	132
0	132
0	15
0	10
1	37
2126	80
0	133
0	33
0	0
0	0
0	53
0	0
0	0
1	337
0	339
0	345
0	6
0	268
0	298
0	337
0	15
1	37
0	281
4	54
27	61
0	28
0	0
3	5
0	35
0	8
1	9
1	7
0	28
0	68
5	62
0	37
0	42
8	30
0	0
5	12
0	12
0	0
0	1
0	6
0	6
0	6
0	4
0	4
0	0
0	0
39	1199
0	779
8	752
0	453
18	626
3	342
4	166
1	7
1	14
34	304
15	24
0	23
0	80
0	9
0	86
9	86
0	17
0	75
0	19
0	16
0	260
0	32
64	9
0	26
5	16
5	23
2	22
0	12
0	8
0	77
4	12
4	20
2	11
0	55
1	0
1326	2103
0	271
3	335
5	218
2	43
1	1244
1	89
0	184
3	0
2	0
0	2
0	2
34	136
0	0
5	10
4	33
0	0
0	0
0	0
0	24
0	18
0	0
1724	959
2	31
1	288
2	143
0	159
0	174
0	548
0	174
0	0
0	3
3	5
2	545
7	156
