UniqueCount	AmbigCount
0	0
0	0
23	124
10	96
32	61
0	0
0	0
1	0
0	0
1	6
1	6
0	2
9	10
4	1
0	0
3	1
0	0
0	0
14	4
3	0
0	0
0	0
1	0
0	1
0	0
2	54
0	36
0	46
1	33
3	13
0	4
2	14
2	28
0	2
0	0
5	4
0	10
0	0
3	0
0	7
0	16
0	6
0	0
0	0
0	400
0	191
15	342
1	103
0	229
10	122
0	157
0	61
11	13
0	227
386	388
0	219
0	138
0	109
1	303
0	199
20	94
0	251
29	1122
1	1083
0	101
9	0
1	30
0	28
1	18
0	16
0	6
1	2
0	0
0	0
0	1
5	29
0	0
0	1956
3	2591
16	519
15	1998
3	252
0	226
58	2562
4	831
0	4
283	271
0	1
0	3
30	34
0	14
0	34
1	17
0	0
0	10
0	5
0	2
0	0
0	95
0	186
61	2786
2	51
0	38
0	1043
0	2527
0	347
0	1189
4	59
2	347
3	48
0	103
2	410
22	84
0	604
44	25
0	6
0	15
0	0
0	28
0	0
7	154
0	4
0	4
0	4
0	0
0	0
0	3
0	2
0	0
0	4
0	0
0	0
0	1
0	2
0	0
0	4
0	364
0	0
0	0
0	0
0	0
231	1404
0	140
0	23
0	1044
0	331
11	94
11	1353
6	1362
0	4
27	22
0	299
0	0
0	0
0	0
7	4
0	0
1	0
0	2
0	0
0	14
0	0
0	2
0	8
0	0
0	86
0	86
0	89
2	74
0	29
1	8
0	36
3	27
0	23
0	0
0	1
2	10
0	16
1	0
0	0
0	0
0	14
1	30
0	2
0	0
0	0
0	70
0	0
0	0
0	0
1	3
0	0
0	0
0	0
0	0
160	6
0	26
0	26
0	1
0	2
0	19
7	4
0	4
0	3
0	4
0	4
3	1266
1	0
0	0
51	59
1	59
0	13
0	8
0	14
1539	77
0	112
0	30
0	0
0	0
0	35
0	0
0	0
0	175
1	177
0	177
1	2
0	134
0	154
0	176
0	12
1	22
1	140
2	34
14	20
0	20
0	0
1	5
0	30
0	7
0	7
0	5
0	23
1	69
2	60
0	28
0	37
5	31
0	0
2	8
0	8
0	0
0	0
0	3
0	3
0	3
0	3
0	2
0	0
0	0
48	1709
1	1116
5	1049
0	639
27	857
2	467
3	203
2	5
0	7
37	150
15	8
0	8
0	31
0	5
0	40
3	45
0	6
0	29
0	10
0	6
0	135
0	10
29	4
0	11
3	6
0	9
1	8
0	11
0	7
0	44
2	7
2	15
0	8
1	32
0	0
1282	2389
0	289
0	342
3	251
5	55
0	1452
0	98
0	210
0	0
1	1
0	4
1	4
14	92
0	1
3	3
6	42
0	0
0	0
0	0
0	1
1	13
0	0
501	272
0	8
0	70
0	33
0	42
0	43
0	155
0	56
0	0
0	9
1	2
3	920
34	390
3	65
