UniqueCount	AmbigCount
0	0
0	0
2	21
1	19
6	14
0	0
0	0
0	0
0	0
0	2
0	2
0	1
2	7
1	0
3	0
1	0
0	0
0	0
1	1
1	0
0	0
0	0
0	0
0	0
0	0
0	39
0	25
0	31
0	21
3	10
0	2
0	11
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	15
0	3
0	0
0	0
0	132
0	52
7	110
0	35
0	83
5	29
1	33
0	11
4	5
1	57
44	94
0	52
0	45
0	24
1	76
0	47
10	26
1	76
4	353
1	345
0	23
4	0
1	36
0	36
0	25
0	22
0	13
0	0
0	0
0	0
0	1
0	17
0	0
0	610
3	861
3	145
16	610
0	56
1	60
15	854
0	214
0	0
47	77
0	0
1	0
33	15
0	12
0	15
0	14
0	0
0	1
0	0
6	0
0	0
0	6
0	17
18	435
0	4
0	2
0	124
0	406
0	28
0	225
0	15
0	78
0	13
0	29
0	114
2	22
0	136
17	8
0	3
0	1
0	0
0	7
0	0
1	37
1	113
0	113
0	113
0	2
0	2
0	88
0	72
0	6
0	112
0	12
0	7
0	14
0	14
4	0
0	1
0	162
0	0
0	0
0	0
0	0
68	389
0	46
0	1
0	254
0	105
1	35
4	381
0	379
0	1
2	8
0	59
0	0
0	0
0	0
2	2
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	2
0	0
0	75
0	76
0	77
1	64
0	34
0	11
0	33
2	25
0	21
0	0
0	4
0	4
0	3
0	0
0	0
0	0
0	3
0	13
0	0
0	0
0	0
0	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
85	1
1	90
0	88
0	11
0	19
0	70
1	0
0	1
1	14
0	0
0	0
0	340
213	14
0	0
13	20
0	20
0	6
0	3
0	0
355	19
0	35
0	10
0	0
0	0
0	17
0	1
0	0
0	85
0	85
0	86
1	0
0	63
0	68
0	85
0	0
0	5
0	68
3	11
11	7
0	2
0	0
0	3
0	16
0	3
1	4
0	3
0	13
0	15
1	17
0	14
0	12
0	7
0	0
0	1
0	1
0	0
0	3
0	5
0	5
0	0
0	3
0	2
0	0
0	0
11	371
0	261
1	213
0	151
7	197
1	114
3	33
0	0
0	0
14	69
1	2
0	2
0	7
0	2
0	10
1	10
0	2
0	7
0	1
0	1
0	54
0	4
14	1
0	5
0	4
0	4
0	2
0	6
0	6
0	23
0	5
0	7
1	1
0	19
0	0
259	264
0	65
0	61
0	30
0	5
0	104
0	7
0	16
0	0
0	0
0	0
0	0
6	31
0	0
1	0
1	9
0	0
0	0
0	0
0	39
2	4
0	0
167	61
0	3
0	14
0	5
0	16
0	14
0	44
0	10
0	0
0	0
0	0
0	163
0	57
1	14
0	30
1	49
1	164
0	52
0	51
0	82
