"Sample"	"Condition"	"Type"	"NA"
"1"	"DRG-S1"	"DRG"	"rep_1"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190549_TRA00190581_DRG-1_S1.fastq.gz_quant/quant.sf"
"2"	"Spinal_Cord-S2"	"Spinal_Cord"	"rep_1"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190550_SC-1_S2_R1.fastq.gz_quant/quant.sf"
"3"	"Heart-S3"	"Heart"	"rep_1"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190551_Heart-1_S3_R1.fastq.gz_quant/quant.sf"
"4"	"Brain_1_FB-S4"	"Brain_1_FB"	"rep_1"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190552_Brain_1-1_S4_R1.fastq.gz_quant/quant.sf"
"5"	"Brain_2_MB-S5"	"Brain_2_MB"	"rep_1"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190553_Brain_2-1_S5_R1.fastq.gz_quant/quant.sf"
"6"	"Brain_3_HB-S6"	"Brain_3_HB"	"rep_1"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190554_Brain_3-1_S6_R1.fastq.gz_quant/quant.sf"
"7"	"DRG-S7"	"DRG"	"rep_2"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190555_DRG-2_S7_R1.fastq.gz_quant/quant.sf"
"8"	"Heart-S9"	"Heart"	"rep_2"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190556_Heart-2_S9_R1.fastq.gz_quant/quant.sf"
"9"	"Brain_1_FB-S10"	"Brain_1_FB"	"rep_2"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190557_Brain_1-2_S10_R1.fastq.gz_quant/quant.sf"
"10"	"Brain_2_MB-S11"	"Brain_2_MB"	"rep_2"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190558_Brain_2-2_S11_R1.fastq.gz_quant/quant.sf"
"11"	"Brain_3_HB-S12"	"Brain_3_HB"	"rep_2"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190559_Brain_3-2_S12_R1.fastq.gz_quant/quant.sf"
"12"	"DRG-S13"	"DRG"	"rep_3"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190560_DRG-3_S13_R1.fastq.gz_quant/quant.sf"
"13"	"Spinal_Cord-S14"	"Spinal_Cord"	"rep_3"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190561_SC-3_S14_R1.fastq.gz_quant/quant.sf"
"14"	"Brain_1_FB-S16"	"Brain_1_FB"	"rep_3"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190562_Brain_1-3_S16_R1.fastq.gz_quant/quant.sf"
"15"	"Brain_2_MB-S17"	"Brain_2_MB"	"rep_3"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190563_Brain_2-3_S17_R1.fastq.gz_quant/quant.sf"
"16"	"Brain_3_HB-S18"	"Brain_3_HB"	"rep_3"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190564_Brain_3-3_S18_R1.fastq.gz_quant/quant.sf"
"17"	"Spinal_Cord-S8"	"Spinal_Cord"	"rep_2"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190582_SC-2_S8_R1.fastq.gz_quant/quant.sf"
"18"	"Heart-S15"	"Heart"	"rep_3"	"/home/ch219793/pipelines/bulk_rna_seq/selwyn_38/salmon//salmon_vM25-report/quants/trimmed_LIB046814_TRA00190584_Heart-3_S15_R1.fastq.gz_quant/quant.sf"
