Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
trimmed_TRA00190565_S17	87.57470136273226	10544382
trimmed_TRA00190566_S18	82.86544361842554	12870490
trimmed_TRA00190567_S19	86.34749695300631	11826401
trimmed_TRA00190568_S20	87.65808911357634	11863005
trimmed_TRA00190569_S21	87.39713622234247	11795440
trimmed_TRA00190570_S22	88.31851336097078	16975720
trimmed_TRA00190571_S23	81.797647770365	9770109
trimmed_TRA00190572_S24	86.77401420606368	15142810
trimmed_TRA00190573_S25	87.7787366374198	10345594
trimmed_TRA00190574_S26	88.42462436419748	16752527
trimmed_TRA00190575_S27	88.2739718552201	10353023
trimmed_TRA00190576_S28	87.96246451235639	11101382
trimmed_TRA00190577_S29	86.55342734154102	9082406
trimmed_TRA00190586_S6	88.9759710256923	10998092
trimmed_TRA00190588_S8	88.25878308185789	8353933
