UniqueCount	AmbigCount
1	21
0	2
0	655
6	1
0	38
0	6
0	0
0	13
0	9
0	0
0	0
0	0
0	0
0	0
17	149
0	20
5	23
0	23
0	5
0	99
73	121
8	359
18	126
0	86
407	140
0	111
10	418
10	52
6	33
4	67
0	0
2	0
0	2
15	740
0	273
3	317
1	238
0	239
0	151
165	131
0	50
0	89
0	3
0	0
0	4
0	3
0	11
4	4
0	20
9	76
12	68
0	18
0	7
34	72
0	386
0	284
0	366
0	254
0	238
6	189
10	163
0	239
0	210
21	105
0	132
7	96
17	50
0	120
0	136
10	93
0	0
0	1
0	97
8	589
2	11
0	1
0	24
0	34
1	61
1	14
0	5
0	5
0	125
0	20
0	1
0	25
0	106
0	19
0	8
0	1
0	0
73	5699
798	12819
90	102474
0	1265
11	9206
0	13
5190	18381
19	10345
0	0
1	88
148	2630
0	147
0	0
2	0
0	39
0	26
0	26
0	20
0	25
0	27
0	24
0	25
0	25
0	25
0	24
0	26
0	26
0	20
0	26
0	26
24	20
0	5
2	5
0	5
0	0
3	2
0	4
0	2
0	3
0	2
0	2
0	1
0	6
2	28
0	31
10	32
0	4
0	16
0	15
0	3
1	11
0	32
190	781
18	61
0	784
11	26
3	788
0	65
0	783
2	102
0	164
0	32
0	58
0	6
0	57
0	224
0	443
0	25
0	56
0	219
0	15
0	202
0	14
0	35
0	25
0	5
10	27
4	10
0	15
48	23
3	46
0	23
0	26
1	4
0	0
12	0
114	17
1	14
312	222
0	174
0	60
43	266
2	132
1	1057
0	1021
4	813
0	994
0	1005
1	1023
0	878
0	1052
0	928
0	948
6	564
0	20
4	105
0	32
3	33
22	817
4	449
30	811
1	1
0	145
9	23
23	164
0	162
2	33
3	61
20	20
0	9
0	7
0	7
1	0
0	2
0	2
0	2
0	2
37	0
6	84
1	81
28	63
0	58
2	42
1	35
0	34
4	1
15	0
0	3840
0	3965
0	3895
0	3770
1	39
3	283
40	158
1	69
11	98
313	1403
0	150
3	111
6	106
0	105
13	2
0	77
0	66
28	1
3	1
0	89
0	78
0	86
0	80
13	77
0	83
2	91
0	27
1	81
0	38
0	25
0	25
0	17
3	11
0	12
0	10
0	5
0	5
1	3
7	7
0	0
0	0
0	0
0	0
0	0
2	4
0	1
0	1
0	4
0	0
0	1
0	0
0	0
0	0
0	2
1	3
0	1
0	1
0	0
1	0
0	0
0	567
0	528
0	526
0	505
42	308
0	285
0	284
0	116
388	0
0	5
0	4
3	11
0	6
1	5
7	3
0	334
0	349
0	339
0	209
0	207
0	207
0	198
4	90
0	183
0	140
0	64
0	65
0	69
0	50
1	51
0	20
0	23
2	30
5	22
9	8
2	1
12	1
0	80
0	64
16	77
0	75
1	16
1	77
0	10
1	19
173	1478
0	1451
30	937
0	929
9	84
32	220
1	296
16	88
77	355
13	190
81	201
0	93
20	13
0	0
2	99
2	35
1	11
0	51
2	79
0	390
0	328
0	393
0	516
0	521
0	141
0	482
0	517
0	398
60	387
5	375
0	387
0	518
0	404
0	359
0	424
0	461
0	175
0	115
6	106
0	379
0	112
0	191
0	163
0	123
0	136
0	219
0	55
1	75
0	199
0	135
0	141
0	159
0	145
0	145
0	37
5	24
0	114
1	164
0	176
13	164
0	121
1	91
0	63
0	51
0	60
0	56
0	29
0	23
1	6
0	0
38	0
0	44
113	67
1	38
10	0
0	649
0	669
0	476
11	167
0	167
1	129
0	60
6	77
0	0
0	95
4	113
0	115
0	83
17	114
0	45
0	40
1	36
2	1
2	3
0	244
6	238
0	239
0	246
3	36
0	8
0	0
0	966
0	1185
1	1016
20	620
0	2016
0	1167
1	801
1	1379
0	1540
0	651
0	793
0	312
0	309
5	249
2	384
0	565
21	143
0	189
3	92
1	127
0	159
0	144
0	146
0	163
0	14
0	14
0	152
0	167
0	72
0	358
0	241
8	318
8	66
10	132
2	75
0	4
40	120
0	52
6	52
0	52
0	15
1	10
3	0
5	0
1	1
0	1
0	2
0	3
0	60
0	284
40	328
2	20
22	70
0	4
1	2
0	220
0	163
27	210
0	30
20	166
53	139
0	3
0	3
0	412
3	360
0	402
0	390
0	404
2	18
0	57
3	139
11	44
0	44
14	3
5	578
32	455
0	177
173	89
0	8
13	49
0	0
364	0
39	0
183	6
0	382
0	402
0	342
0	403
32	419
0	397
0	384
32	39
0	40
0	402
1	31
0	337
0	38
0	12
0	32
0	396
1	326
0	21
0	362
0	350
3	18
9	10
0	342
3	97
1	43
0	70
2	91
0	86
0	97
1	45
0	23
1	21
0	0
0	10
1	7
0	9
0	9
0	10
0	7
0	9
0	4
0	3
2	567
0	508
