Family name,Physiological ion,Official IUPHAR receptor name,Human gene symbol,Rat gene symbol,Mouse gene symbol,Comment
Calcium- and sodium-activated potassium channels,K+,KCa1.1,KCNMA1,Kcnma1,Kcnma1,Calcium- and sodium-activated potassium channels
Calcium- and sodium-activated potassium channels,K+,KCa2.1,KCNN1,Kcnn1,Kcnn1,Calcium- and sodium-activated potassium channels
Calcium- and sodium-activated potassium channels,K+,KCa2.2,KCNN2,Kcnn2,Kcnn2,Calcium- and sodium-activated potassium channels
Calcium- and sodium-activated potassium channels,K+,KCa2.3,KCNN3,Kcnn3,Kcnn3,Calcium- and sodium-activated potassium channels
Calcium- and sodium-activated potassium channels,K+,KCa3.1,KCNN4,Kcnn4,Kcnn4,Calcium- and sodium-activated potassium channels
Calcium- and sodium-activated potassium channels,K+,KNa1.1,KCNT1,Kcnt1,Kcnt1,Calcium- and sodium-activated potassium channels
Calcium- and sodium-activated potassium channels,K+,KNa1.2,KCNT2,Kcnt2,Kcnt2,Calcium- and sodium-activated potassium channels
Calcium- and sodium-activated potassium channels,K+,KCa5.1,KCNU1,Kcnu1,Kcnu1,Calcium- and sodium-activated potassium channels
CatSper and Two-Pore channels,Ca2+,CatSper1,CATSPER1,Catsper1,Catsper1,CatSper and Two-Pore channels
CatSper and Two-Pore channels,Ca2+,CatSper2,CATSPER2,Catsper2,Catsper2,CatSper and Two-Pore channels
CatSper and Two-Pore channels,Ca2+,CatSper3,CATSPER3,Catsper3,Catsper3,CatSper and Two-Pore channels
CatSper and Two-Pore channels,Ca2+,CatSper4,CATSPER4,Catsper4,Catsper4,CatSper and Two-Pore channels
CatSper and Two-Pore channels,Ca2+,TPC1,TPCN1,Tpcn1,Tpcn1,CatSper and Two-Pore channels
CatSper and Two-Pore channels,Ca2+,TPC2,TPCN2,Tpcn2,Tpcn2,CatSper and Two-Pore channels
Cyclic nucleotide-regulated channels,See comments below,CNGA1,CNGA1,Cnga1,Cnga1,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,CNGA2,CNGA2,Cnga2,Cnga2,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,CNGA3,CNGA3,Cnga3,Cnga3,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,CNGA4,CNGA4,Cnga4,Cnga4,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,CNGB1,CNGB1,Cngb1,Cngb1,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,CNGB3,CNGB3,Cngb3,Cngb3,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,HCN1,HCN1,Hcn1,Hcn1,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,HCN2,HCN2,Hcn2,Hcn2,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,HCN3,HCN3,Hcn3,Hcn3,Cyclic nucleotide-regulated channels
Cyclic nucleotide-regulated channels,See comments below,HCN4,HCN4,Hcn4,Hcn4,Cyclic nucleotide-regulated channels
Inwardly rectifying potassium channels,K+,Kir1.1,KCNJ1,Kcnj1,Kcnj1,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir2.1,KCNJ2,Kcnj2,Kcnj2,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir2.2,KCNJ12,Kcnj12,Kcnj12,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir2.3,KCNJ4,Kcnj4,Kcnj4,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir2.4,KCNJ14,Kcnj14,Kcnj14,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir3.1,KCNJ3,Kcnj3,Kcnj3,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir3.2,KCNJ6,Kcnj6,Kcnj6,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir3.3,KCNJ9,Kcnj9,Kcnj9,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir3.4,KCNJ5,Kcnj5,Kcnj5,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir4.1,KCNJ10,Kcnj10,Kcnj10,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir4.2,KCNJ15,Kcnj15,Kcnj15,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir5.1,KCNJ16,Kcnj16,Kcnj16,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir6.1,KCNJ8,Kcnj8,Kcnj8,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir6.2,KCNJ11,Kcnj11,Kcnj11,Inwardly rectifying potassium channels
Inwardly rectifying potassium channels,K+,Kir7.1,KCNJ13,Kcnj13,Kcnj13,Inwardly rectifying potassium channels
Ryanodine receptors,,RyR1,RYR1,Ryr1,Ryr1,Ryanodine receptors
Ryanodine receptors,,RyR2,RYR2,Ryr2,Ryr2,Ryanodine receptors
Ryanodine receptors,,RyR3,RYR3,Ryr3,Ryr3,Ryanodine receptors
Transient Receptor Potential channels,See comments below,TRPA1,TRPA1,Trpa1,Trpa1,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPC1,TRPC1,Trpc1,Trpc1,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPC2,TRPC2,Trpc2,Trpc2,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPC3,TRPC3,Trpc3,Trpc3,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPC4,TRPC4,Trpc4,Trpc4,Transient Receptor Potential channels
Transient Receptor Potential channels,See comments below,TRPC5,TRPC5,Trpc5,Trpc5,Transient Receptor Potential channels
