"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,6.75886,8.70448,4.91589,6.79307666666667,0.619330063479849
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0.31475,0,0,0.104916666666667,0.926726902481334
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,159.87694,155.32662,76.33832,130.51396,0.636898166552053
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,6.29502,7.57152,5.00328,6.28994,0.782145440611308
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0.14909,0.2487,0.21848,0.205423333333333,0.962275632073933
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,48.33913,49.18722,50.49166,49.3393366666667,0.143270991320903
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,17.37757,11.05331,37.49186,21.9742466666667,0.164129574651124
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,8.6805,8.26235,7.23182,8.05822333333333,0.362025739411003
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,21.83378,19.06696,20.31902,20.4065866666667,0.239968352419723
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,20.98892,46.94893,36.53053,34.8227933333333,0.111955628250747
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,162.21272,137.94529,160.34544,153.50115,0.240973395128127
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,1.50749,0.9948,0.34957,0.95062,0.98830611121951
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,11.49669,10.25194,7.60324,9.78395666666667,0.371167416288147
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,0.76203,1.21586,1.52939,1.16909333333333,1.25740278580298
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,11.72862,11.93757,21.2148,14.96033,0.442154391544536
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,36.04727,17.10499,12.82501,21.9924233333333,0.398925182165226
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,4.655,3.06729,8.08391,5.26873333333333,0.487930576087141
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,42.17663,30.00973,45.9035,39.3632866666667,0.396726860531509
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,11.31447,10.69408,7.86543,9.95799333333333,1.07177804452336
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,65.91548,48.41349,45.72871,53.35256,0.0474719743344196
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,110.09658,87.6251,129.53919,109.086956666667,0.252757766912865
