"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,8.87899,8.87899,0.488560740183966
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,91.00966,91.00966,0.910350065417044
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,3.21552,3.21552,1.35257176655075
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0.14522,0.14522,1.01286172089206
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,41.49062,41.49062,0.169735500839244
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,19.77028,19.77028,0.181545618707596
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,9.04495,9.04495,0.326463546359116
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,13.06954,13.06954,0.365108122463847
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,24.23052,24.23052,0.158956824248172
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,147.04274,147.04274,0.251485933499339
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,1.70112,1.70112,0.713707523792723
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,10.64234,10.64234,0.343801446558853
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,3.92086,3.92086,0.554257589120601
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,13.38072,13.38072,0.490721605037856
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,16.24358,16.24358,0.531922992016159
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,2.40646,2.40646,0.897913572057209
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,24.45872,24.45872,0.62898684615723
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,13.17327,13.17327,0.828639873981093
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,41.20018,41.20018,0.0611424722200237
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,483.11672,483.11672,0.0574764972655768
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,82.52483,82.52483,0.0463963829677953
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,2.48944,2.48944,1.1171324529638
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0.20745,0.20745,0.859456844313802
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.37342,0.37342,0.796187255173217
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,1729.4948,1729.4948,0.0335874263630841
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,41.46987,41.46987,0.285071903132739
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,0.04149,0.04149,1.00201259733651
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,15.64196,15.64196,0.274674377296905
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,9.25241,9.25241,1.30039668721793
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,20.53785,20.53785,0.396916900557391
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,43.39918,43.39918,0.997075471513213
