"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,14.4996,14.4996,0.311394272540582
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,162.84087,162.84087,0.511233857583886
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,72.86389,72.86389,0.0771932446738183
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0.02091,0.02091,1.13619173090674
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,30.26413,30.26413,0.230685026791726
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,31.73813,31.73813,0.115179252245929
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,3.94113,3.94113,0.663676122668297
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,29.97142,29.97142,0.16585947087121
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,5.18515,5.18515,0.648418119743256
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,123.36683,123.36683,0.299361708155623
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,1.03494,1.03494,0.947354549356247
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,18.44073,18.44073,0.20589007374363
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,4.22339,4.22339,0.522155917900061
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,8.61404,8.61404,0.734023365827477
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,51.0779,51.0779,0.176125701433238
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,3.3348,3.3348,0.705616560549506
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,24.47265,24.47265,0.628642877753198
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,7.33866,7.33866,1.40844412252088
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,42.6834,42.6834,0.0590664493452891
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,173.04391,173.04391,0.159875363253446
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,14.94912,14.94912,0.242975788005859
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,3.21981,3.21981,0.923777768826085
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0.04182,0.04182,0.996094494890384
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.31362,0.31362,0.832432134102709
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,190.96195,190.96195,0.302783268594115
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,75.62373,75.62373,0.158005446441983
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,0.33453,0.33453,0.78198774100245
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,12.96287,12.96287,0.327376821527379
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,12.28337,12.28337,1.00367602498462
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,45.76731,45.76731,0.182792995078614
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,65.06526,65.06526,0.670084902917206
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,5.22697,5.22697,1.97815309853749
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,8.45723,8.45723,0.202203887043775
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,3.61706,3.61706,0.611088730345718
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,0,0,1.0260707666667
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,0.57497,0.57497,0.758206822987105
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.01045,0.01045,1.0135385224405
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,58.67791,58.67791,0.28762233798067
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,7.97635,7.97635,0.223316901264991
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,33.23304,33.23304,0.300900338775931
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,31.39315,31.39315,0.146787823968956
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,3.54388,3.54388,0.374930382551256
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,18.64981,18.64981,0.347082236418571
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0.15681,0.15681,0.892762481882677
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.06272,0.06272,1.09953766435844
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,1.82944,1.82944,0.499190181331642
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,3.8575,3.8575,0.312474112197633
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,25.43441,25.43441,0.297014510001547
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,0.45997,0.45997,0.776701576059782
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,10.87209,10.87209,0.138450011750248
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,0.7945,0.7945,0.692670567474505
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,6.76369,6.76369,0.452741329616458
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,1.589,1.589,0.70617020728737
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,23.9395,23.9395,0.213727620842439
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,25.36124,25.36124,0.463319125606383
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,15.03275,15.03275,0.691936401010432
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,40.28945,40.28945,0.255194325265413
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,29.98187,29.98187,0.426312765068732
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,29.98187,29.98187,0.505555883705535
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,62.56677,62.56677,0.463627982565419
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,9.4399,9.4399,0.207251059237157
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,4.96562,4.96562,0.347382389982936
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,11.76067,11.76067,0.446301539548472
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,0.09409,0.09409,0.990383819734482
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0.21953,0.21953,0.887289966899789
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,2.06988,2.06988,1.03216195204047
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,33.57802,33.57802,0.435783579664191
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,27.69246,27.69246,0.453906705803546
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,152.8051,152.8051,0.0592150065244911
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,1.73535,1.73535,0.572312988587567
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,2.89574,2.89574,1.52704064781787
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,66.64381,66.64381,0.0863561647399814
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,2.09079,2.09079,2.28135309527014
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,32.82534,32.82534,0.264031738729899
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,5.26878,5.26878,1.74275324172646
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,86.71535,86.71535,0.161328281386325
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,14.72959,14.72959,0.416137780239027
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,40.91668,40.91668,0.61117833441723
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,21.57691,21.57691,0.248519837302802
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,20.10291,20.10291,0.466272187105949
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,9.24127,9.24127,0.276707543758733
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,13.96645,13.96645,0.16544137053209
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,33.32713,33.32713,0.239698260044752
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,20.06109,20.06109,0.194144114415256
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,14.84458,14.84458,0.504332080749379
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,28.44514,28.44514,0.219048372668631
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,4.23384,4.23384,0.314949380696964
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,12.37745,12.37745,0.196350076683523
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,3.27208,3.27208,0.84715876107189
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,43.05974,43.05974,0.141194508486205
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,16.78901,16.78901,0.093563029458469
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,33.63029,33.63029,0.169716934702828
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,0.56451,0.56451,2.01207193732862
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,47.79537,47.79537,0.0803889795281807
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,1.81898,1.81898,0.560942255709512
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,15.0223,15.0223,0.190892901351866
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,17.48943,17.48943,0.756188806253086
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,128.13382,128.13382,0.236696062013034
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,3.15709,3.15709,0.325344090858509
"AC004386.4",22,26.1454,23,29.3387,17,21.2403,25.5748,0,0,26.5748
"AC004593.2",698,0.310811,700,0.334564,695,0.32536,0.323578333333,0.01045,0.01045,1.30988998301054
"AC006030.1",3776,4.34635,3514,4.34146,3423,4.14227,4.27669333333,0.02091,0.02091,5.16861754055695
"AC009951.2",6,8.18902,5,7.32472,1,1.43489,5.64954333333,0,0,6.64954333333
"AC013267.1",0,0,0,0,1,2.04073,0.680243333333,0,0,1.680243333333
"AC020922.1",1,0.02421,3,0.0779571,1,0.0254526,0.0425399,0.24044,0.24044,0.840459756215536
"AC023271.1",1,1.30372,0,0,0,0,0.434573333333,0,0,1.434573333333
"AC040160.1",503,7.32891,416,6.50587,572,8.76205,7.53227666667,0.08363,0.08363,7.87379148479647
"AC073082.1",160,0.226452,281,0.426877,344,0.511861,0.388396666667,0.37634,0.37634,1.00875994788134
"AC092143.1",35977,371.287,32757,362.852,22575,244.935,326.358,0.18817,0.18817,275.514446585926
"AC105052.1",4037,11.6867,4811,14.949,2513,7.64831,11.4280033333,0,0,12.4280033333
"AC138647.1",1,0.0426095,0,0,0,0,0.0142031666667,0.08363,0.08363,0.935931237291972
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,107.02734,107.02734,0.068482139181896
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,67.23968,67.23968,0.119948784441398
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,24.54583,24.54583,0.134728055420395
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,11.31115,11.31115,0.375787260599538
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,39.86084,39.86084,0.0742952584104977
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,7.42229,7.42229,0.35517299926742
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,23.71997,23.71997,0.527031383937764
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,31.85313,31.85313,0.195414257332559
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,10.45393,10.45393,0.66732029967007
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,32.77307,32.77307,0.148750271542682
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,28.90512,28.90512,0.166027645656329
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,5.8542,5.8542,0.739140478344665
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,745.69976,745.69976,0.188795650164666
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,0.09409,0.09409,1.01723130638247
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,16.41267,16.41267,0.184852562339377
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,5.09106,5.09106,0.465712590801929
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,67.2815,67.2815,0.230777492194811
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,141.03397,141.03397,0.0838714851102169
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,82.49196,82.49196,0.422894611648834
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,11.19616,11.19616,0.502361125687921
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,14.40552,14.40552,0.460325476409105
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,20.22836,20.22836,0.360320973138292
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,80.75661,80.75661,0.0229430174922003
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,0.48088,0.48088,1.33690103181892
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,11.22752,11.22752,0.648202033881768
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,0,0,1.0051031
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,16.4963,16.4963,0.697553196961643
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,6.07373,6.07373,0.36020157210835
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,0.1359,0.1359,0.934089708601109
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,0.10454,0.10454,0.990932545071523
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,0.08363,0.08363,1.15643070051586
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,11.8234,11.8234,0.288205936023208
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,247.40272,247.40272,0.385633324251441
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,36.56785,36.56785,0.407955206379923
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,93.47905,93.47905,0.447602934195464
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,0.1359,0.1359,1.15396190979224
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,12.07429,12.07429,0.344472497805235
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,112.07659,112.07659,0.118008510868607
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,4.03522,4.03522,1.98054967475701
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,1.43219,1.43219,0.635801616375776
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,0.22999,0.22999,0.835233809488939
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,113.34151,113.34151,0.0601956367376992
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,11.03935,11.03935,0.836179140346447
"ACOT4",60,2.18784,50,1.95693,47,1.80177,1.98218,2.35213,2.35213,0.889637335067554
"ACOT6",18,0.351586,15,0.314478,34,0.698194,0.454752666667,0.09409,0.09409,1.32964625091811
"ACOT7",6308,8.46892,5418,7.80757,3619,5.10815,7.12821333333,824.49103,824.49103,0.00984651926905856
"ACOT8",858,9.55638,927,11.0822,784,9.18037,9.93965,123.19957,123.19957,0.0880812228254897
"ACOT9",1043,2.78521,1099,3.15001,1353,3.79848,3.24456666667,22.4864,22.4864,0.180724447623731
"ACOX1",1383,6.41366,1602,7.97419,1794,8.7467,7.71151666667,12.56562,12.56562,0.642176079432418
"ACOX2",360,1.95632,355,2.07064,277,1.58254,1.86983333333,12.28337,12.28337,0.216047082429384
"ACOX3",307,0.720462,365,0.919403,387,0.95482,0.864895,6.50234,6.50234,0.248575111231962
"ACOXL",127,0.0575309,110,0.0534848,122,0.0581026,0.0563727666667,0.63769,0.63769,0.64503829581099
"ACP2",881,16.0239,1004,19.6005,895,17.1141,17.5795,61.68864,61.68864,0.296377461690029
"ACP5",21,0.843569,32,1.37972,35,1.47811,1.23379966667,7.92408,7.92408,0.250311479353614
"ACP6",610,2.60726,652,2.99118,794,3.5679,3.05544666667,6.57552,6.57552,0.535335748129501
"ACPP",64,0.219532,44,0.161998,208,0.750099,0.377209666667,1.11857,1.11857,0.65006568896331
"ACR",11,0.268994,16,0.419962,20,0.514182,0.401046,0.49133,0.49133,0.939460749800514
"ACRBP",56,1.04532,49,0.981743,62,1.21672,1.081261,1.62036,1.62036,0.794265291791968
"ACSBG1",4789,10.6958,4310,10.332,3127,7.34232,9.45670666667,34.69659,34.69659,0.292932929074458
"ACSBG2",50,0.150998,40,0.129659,55,0.174624,0.151760333333,0.03136,0.03136,1.11673938618232
"ACSF2",272,0.975972,284,1.09377,288,1.08642,1.052054,12.0952,12.0952,0.156702761317124
"ACSF3",565,1.30309,532,1.31697,506,1.22691,1.28232333333,29.46963,29.46963,0.0749048588161392
"ACSL1",3565,8.74427,2446,6.43963,4883,12.5918,9.25856666667,41.32439,41.32439,0.242379551522656
"ACSL3",2690,5.61472,2686,6.01758,2925,6.41859,6.01696333333,27.2743,27.2743,0.248174608507726
"ACSL4",3112,4.98043,3490,5.99505,3392,5.70717,5.56088333333,18.97388,18.97388,0.328473152603801
"ACSL5",712,2.28806,528,1.82122,820,2.77038,2.29322,4.58928,4.58928,0.589202902699453
"ACSL6",2020,5.66704,3290,9.90698,1953,5.7603,7.11144,22.19369,22.19369,0.349726153966876
"ACSM1",14,0.0323286,10,0.0247856,19,0.0461265,0.0344135666667,0.15681,0.15681,0.894194869223727
"ACSM2A",2,0.00964948,7,0.0362504,1,0.00507238,0.0169907533333,0.01045,0.01045,1.00647310934069
"ACSM2B",0,0,4,0.0186571,0,0,0.00621903333333,0.07318,0.07318,0.937605092652985
"ACSM3",1237,1.15354,1436,1.43733,1533,1.50294,1.36460333333,0.9304,0.9304,1.22492920292685
"ACSM4",25,0.178695,14,0.107409,31,0.232955,0.173019666667,0,0,1.173019666667
"ACSM5",518,2.84546,421,2.48225,599,3.45929,2.929,7.64182,7.64182,0.454649599274227
"ACSS1",1348,4.46426,1445,5.13651,1546,5.38279,4.99452,10.40166,10.40166,0.525758529898278
"ACSS2",3953,12.3723,3142,10.5553,2525,8.30852,10.41204,70.14587,70.14587,0.16040340781552
"ACSS3",1107,0.595424,1762,1.01724,2163,1.22313,0.945264666667,5.10152,5.10152,0.318816404218457
