"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,0,0,4.82648666667
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,723.94074,723.94074,0.11554185794552
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,7.94469,7.94469,0.637450077457128
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0.10121,0.10121,1.053340870497
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,40.00176,40.00176,0.175898953280786
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,7.10974,7.10974,0.464965995621315
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,4.46572,4.46572,0.599977679061496
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,32.38599,32.38599,0.153864040974373
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,11.08208,11.08208,0.331943120168878
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,28.35039,28.35039,1.26848967481182
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,0.08856,0.08856,1.77097235491567
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,11.34775,11.34775,0.324160542068798
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,0.11386,0.11386,2.44862370495394
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,2.13798,2.13798,2.2488766658806
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,28.29979,28.29979,0.313048546309376
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,8.52662,8.52662,0.321069452404945
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,40.52044,40.52044,0.385670286731065
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,43.22771,43.22771,0.2655470216907
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,24.35275,24.35275,0.10177291746773
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,0.83495,0.83495,15.1640825817052
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,46.07413,46.07413,0.082322286147402
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,15.72492,15.72492,0.233075355019336
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0,0,1.0377511666667
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.0253,0.0253,1.06651662927924
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,0.78435,0.78435,32.5736916337602
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,1.10062,1.10062,5.76352061139092
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,0.0506,0.0506,0.993323910146583
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,33.05648,33.05648,0.134221739886213
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,30.9185,30.9185,0.417695067124082
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,1.44219,1.44219,3.50043881379827
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,93.07177,93.07177,0.470591053334066
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,44.49278,44.49278,0.270766042435745
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,11.91703,11.91703,0.148043990504551
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,14.34598,14.34598,0.183854881430186
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,0.06325,0.06325,0.965032463359229
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,7.66637,7.66637,0.137791601327892
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0,0,1.02413
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,17.10385,17.10385,0.948124294003762
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,55.72667,55.72667,0.0353373583654743
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,6.61636,6.61636,1.35244832614661
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,0.8223,0.8223,2.60929594468529
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,6.17358,6.17358,0.237487930247798
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,5.79406,5.79406,1.00383275979311
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0.24036,0.24036,0.832626468659663
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.22771,0.22771,0.951772541289881
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,1.12592,1.12592,0.664384674243151
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,2.60606,2.60606,0.420914516120087
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,58.93997,58.93997,0.130987775491546
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,0.55663,0.55663,0.72847176271818
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,1.54339,1.54339,0.646259912950826
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,61.837,61.837,0.019781296582157
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,0.64519,0.64519,2.13649689903902
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,4.75669,4.75669,0.317591301019683
