"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,16.26198,16.26198,0.279602146837732
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,200.41955,200.41955,0.415853376695559
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,6.95168,6.95168,0.717055179953167
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0,0,1.1599495
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,45.86871,45.86871,0.153880204227298
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,9.62064,9.62064,0.355040123130998
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,6.67238,6.67238,0.427417567951535
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,10.5827,10.5827,0.443497917871481
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,15.29991,15.29991,0.246048188813926
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,105.08216,105.08216,0.350960676768837
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,0.24827,0.24827,1.54438516239836
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,9.86891,9.86891,0.368266305759271
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,1.0862,1.0862,1.30736458632921
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,9.43443,9.43443,0.676311978708947
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,4.28273,4.28273,1.73627209164012
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,2.54481,2.54481,0.862869001912655
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,19.98609,19.98609,0.763038755671018
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,11.73097,11.73097,0.922517032614169
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,73.61338,73.61338,0.0345812417736604
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,251.03651,251.03651,0.110401994271782
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,65.91687,65.91687,0.0579114055992159
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,3.19653,3.19653,0.928902370927886
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0,0,1.0377511666667
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.43448,0.43448,0.762296790474597
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,1386.02317,1386.02317,0.0419047553954704
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,35.31704,35.31704,0.333368762065961
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,2.54481,2.54481,0.294398317540291
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,14.95854,14.95854,0.286437230473464
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,19.48954,19.48954,0.650683226661018
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,38.79288,38.79288,0.214830810604058
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,53.1928,53.1928,0.816885883979052
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,5.27583,5.27583,1.96275233714106
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,34.57222,34.57222,0.0537579230834342
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,5.12066,5.12066,0.460968806195737
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,0,0,1.0260707666667
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,4.43791,4.43791,0.21959778664965
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.18621,0.18621,0.86336314817781
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,28.7688,28.7688,0.576600333234796
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,9.12409,9.12409,0.198000083629245
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,16.97577,16.97577,0.573034330842573
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,19.58265,19.58265,0.231015928464022
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,4.2517,4.2517,0.324397560155188
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,35.25497,35.25497,0.188114898453922
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0.83793,0.83793,0.561912894760247
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.83793,0.83793,0.635769951340367
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,9.86891,9.86891,0.129951270795968
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,2.23447,2.23447,0.469271008851527
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,21.22747,21.22747,0.353229734797977
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,1.48965,1.48965,0.4554700459904
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,40.15839,40.15839,0.0399357457859746
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,2.14137,2.14137,0.395686383117239
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,6.26893,6.26893,0.483557185628421
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,0.62069,0.62069,1.12808412877663
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,22.4378,22.4378,0.227421515671266
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,114.29935,114.29935,0.105930056558862
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,12.13441,12.13441,0.844624412767684
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,29.32742,29.32742,0.34743586277138
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,13.28268,13.28268,0.924754084436534
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,13.28268,13.28268,1.0966475946181
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,52.78936,52.78936,0.547902658319415
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,10.27236,10.27236,0.191945638121032
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,26.44123,26.44123,0.0755196226018294
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,1.36551,1.36551,2.40755975103466
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,0.06207,0.06207,1.02024257660352
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0,0,1.0820767333333
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,8.37926,8.37926,0.337831911401326
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,12.59993,12.59993,1.10798609502402
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,12.19648,12.19648,0.986907114624506
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,242.09863,242.09863,0.0374645056617555
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,3.19653,3.19653,0.373040662960351
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,2.0793,2.0793,1.9319174271198
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,68.67892,68.67892,0.0838339629833528
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,2.66895,2.66895,1.9218532095913
