"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,6.574087,5.356817,5.122674,5.684526,51,37,35,0.72203873044551
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0.063683,0.066053,0,0.0432453333333333,4,2,0,0.981510261568388
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,47.469149,41.973869,31.55372,40.332246,2028,1448,1149,2.02652911724178
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,0,0,0,0,0,0,0,1.556748666667
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,0.173704441183089
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0,0,0,0,0,0,0,1.1599495
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,17.868209,17.289999,16.874782,17.34433,598,489,514,0.393155087521321
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,6.792635,7.2732,5.012077,6.359304,382,296,228,0.51237906917964
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,2.803781,1.273732,1.256284,1.77793233333333,72,50,52,1.18048591776354
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,13.5382,8.893211,8.17232,10.2012436666667,443,347,312,0.45860115949595
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,0.552927311300536
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,43.508279,45.757314,41.928473,43.7313553333333,288,290,250,0.0817031656227631
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,48.914554,44.434024,32.481351,41.9433096666667,986,865,668,0.866972456377741
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,0.384486,0.191591,0.957074,0.511050333333333,4,2,7,1.27580771079565
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,9.629091,8.985329,7.802869,8.805763,494,440,373,0.408193970558946
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,0.509473,0.537165,0.417107,0.487915,11,13,17,1.83305094713072
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,22.672867,16.865167,16.478736,18.6722566666667,1180,877,706,0.900206839513582
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,2.873718,2.217694,1.513002,2.20147133333333,289,218,155,2.20427711675069
