"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,5.64798,11.508254,10.164183,9.10680566666667,80,113,74,0.477548181478177
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,1.00446863876225
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,1.36015710687948
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,0.55418,0.27785,0.327994,0.386674666666667,5,3,2,1.12264881164171
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,10.846069,12.300869,12.113367,11.753435,217,235,152,0.447079028773817
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0,0,0,0,0,0,0,1.1599495
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,15.794751,14.437361,18.892936,16.375016,243,314,228,0.41508834677735
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,16.816166,15.213942,17.768125,16.599411,515,633,467,0.214254518706904
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0.019721,0.018105,0,0.0126086666666667,1,1,0,0.99687309279728
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,23.254813,19.782313,24.720589,22.585905,444,388,330,0.139036852730476
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,38.022919,40.964417,49.3614,42.782912,824,823,659,0.117326671495263
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,10.270345,12.426278,11.917593,11.538072,2058,2373,1545,0.319870816927036
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,4.594566,5.205604,4.56697,4.78904666666667,17,27,14,0.631311776146792
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,70.693659,74.272111,74.414188,73.1266526666667,751,872,576,0.50225749210772
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,0.455665,0.118631,0.121817,0.232037666666667,3,1,2,1.56473273409146
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,12.288203,12.652486,12.834718,12.5918023333333,390,432,284,0.294490254873238
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,0.417513,1.538506,1.037211,0.997743333333333,12,14,10,1.36525245985887
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,0.336457220532761
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,3.755461,4.640839,4.294325,4.23020833333333,242,329,196,1.34926365265883
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,63.27632,66.968262,84.250953,71.4985116666667,365,428,308,0.126516482280935
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,3.182292,4.853213,4.954761,4.33008866666667,105,133,96,0.573856620021831
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,129.667907,110.451006,134.287207,124.80204,3231,3083,2547,0.12728887385292
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,4.313875,2.742641,4.506,3.854172,299,175,207,2.41947270650896
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,14.476301,19.209898,14.950782,16.212327,208,297,163,0.149905549280466
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,14.223841,16.332434,12.634368,14.396881,449,556,369,1.80720584469673
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,0.123973365478237
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,4.057191,3.554462,2.51638,3.376011,570,529,255,0.890803671807498
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0.083238,0.230357,0.054846,0.122813666666667,9,24,5,0.924241659568952
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,1.0077125912064
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,107.50449,75.111095,79.577059,87.397548,1545,1840,1190,0.657516729612229
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,0.215535730782343
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,0.905126,0.080781,0.014008,0.333305,7,3,1,0.78270620750691
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,15.166472,15.375498,16.666334,15.7361013333333,612,687,561,0.273129321396716
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,0.380325,0.502694,0.140608,0.341209,12,17,6,9.94043433946536
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,0.194168795261766
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,0.39584,0.133049,0.866773,0.465220666666667,3,4,10,30.213424053055
