"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,18.566797,13.425058,13.989052,15.326969,182,164,192,0.295614370718166
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0.232084,0.063162,0.004811,0.100019,1,5,1,0.930853012538874
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,20.514891,0.866071,0.291101,7.224021,519,12,14,10.1849204908402
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,0.438529,0.497281,0.204317,0.380042333333333,5,8,4,1.128044139709
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,13.724676,11.545392,14.652328,13.3074653333333,285,366,484,0.398518759297361
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0.153016,0.028124,0,0.06038,4,1,0,1.09389982836342
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,13.508489,16.738215,19.022055,16.4229196666667,343,455,490,0.413947076876457
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,15.145339,10.858128,8.980095,11.6611873333333,461,652,560,0.297819883242914
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0.011945,0,0.00398166666666667,0,1,0,1.00543901034049
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,16.560745,15.539194,12.933418,15.011119,429,514,491,0.204814541694431
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,0.125105225410924
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,11.518232,13.289394,13.438405,12.748677,2499,3549,3550,0.291705400696372
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,9.532266,5.352023,7.306193,7.39682733333333,48,40,51,0.435246931757399
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,72.348646,70.27047,54.966626,65.861914,935,1376,1193,0.556829208728605
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,0.253842,0.182542,0.515652,0.317345333333333,1,1,6,1.46340493861923
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,9.862522,12.742074,9.815474,10.80669,384,679,543,0.339015704937624
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,0.160926,0.129803,0.240983,0.177237333333333,5,6,12,2.31680046391099
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,0.282531974215097
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,4.02726,4.870429,3.692426,4.196705,318,528,425,1.35796240117536
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,57.596898,71.665882,48.347544,59.2034413333333,392,756,544,0.152354358214927
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,5.317648,4.075445,5.487073,4.96005533333333,154,175,182,0.513201051937102
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,0.15593323060048
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,2.628604,2.250706,1.439504,2.10627133333333,225,282,185,3.78091139066624
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,16.465887,17.429714,15.691305,16.5289686666667,276,428,414,0.147197669320762
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,16.385879,16.887406,16.473264,16.582183,581,867,1089,1.58258694800867
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,0.0692690020156903
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,4.587007,4.124422,3.096802,3.936077,771,969,758,0.789729711807575
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0.060479,0.006374,0,0.0222843333333333,9,1,0,1.0151296785337
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.018797,0.084847,0.059631,0.054425,1,8,6,1.03705763804917
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,0.680132856675483
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,0.229927184713878
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,0.709647,0.545438,0.159905,0.471663333333333,39,1,1,0.709120133907438
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,10.668791,9.107596,7.662206,9.14619766666667,513,604,633,0.450525423432023
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,0.332708,0.201177,0.26943,0.267771666666667,9,14,15,10.5162470108313
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,0.186704955696229
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,0.244206,0.413915,0.141469,0.26653,6,7,6,34.9532449553504
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,4.035468,0.682386,0.739211,1.81902166666667,21,27,35,4.36956556441271
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,2.608253,0.395444,0.72192,1.24187233333333,71,28,37,0.85298731700021
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,4.784184,6.526598,5.638334,5.64970533333333,213,397,298,0.424294490041062
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,1.713152,2.345963,2.257067,2.105394,8,17,14,0.330415646667283
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,2.613821,0.236469,0.112046,0.987445333333333,20,11,9,0.600848224588483
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.031732,0.170177,0.033162,0.078357,3,5,1,0.949713313865445
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,39.80428,30.533985,38.474452,36.2709056666667,602,671,937,0.460538849082793
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,6.507055,5.040312,4.209266,5.252211,171,274,200,0.320617884884243
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,21.51191,19.464312,14.629305,18.5351756666667,551,761,665,0.527291564155545
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,13.522164,13.523465,13.352624,13.4660843333333,392,512,531,0.328694337073891
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,0.149573188481938
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,36.128396,35.014973,37.78168,36.3083496666667,526,739,582,0.18280358313714
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0,0,0,0,0,0,0,1.0327565666667
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.525342,0.194318,0.093136,0.270932,8,4,5,0.919404552459927
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,0.735677,0.386222,0.301105,0.474334666666667,6,5,4,0.958010890336296
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,7.050166,6.396275,5.373786,6.273409,388,482,551,0.208683850997517
