"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,12.383067,11.034331,14.333404,12.5836006666667,126,71,81,0.35531717878853
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0,0.018194,0.01632,0.0115046666666667,0,2,2,1.01230971417499
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,0.797977880614471
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,0.251325,0.112836,0.205214,0.189791666666667,3,1,2,1.30842122220305
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,1.677651,1.425484,2.068745,1.72396,11,6,11,2.09320009593753
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,1.09625248045798
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,22.626138,22.03279,25.95966,23.5395293333333,485,382,454,0.293899959070256
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,20.326116,20.425959,26.161884,22.304653,720,608,707,0.161802595101073
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,11.191628,12.930531,10.028336,11.3834983333333,298,198,233,0.264812891456763
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,19.083715,24.987378,20.768264,21.613119,460,421,405,0.227164741552459
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,0.372069536738917
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,11.840577,16.196803,14.120167,14.0525156666667,61,65,52,0.242796181997884
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,50.785242,57.93435,59.245556,55.9883826666667,665,551,649,0.653302742147774
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,0.527125,0,0.383865,0.303663333333333,5,0,3,1.47876343329975
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,9.802296,9.159607,9.720694,9.56086566666667,356,271,317,0.3790080718443
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,0.430968,0.085659,1.087127,0.534584666666667,14,2,11,1.77730434771276
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,0.623815132800529
