"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,8.512248,7.362639,11.019571,8.96481933333333,104,79,86,0.484352651585454
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,0.012027,0,0.110455,0.0408273333333333,2,0,3,0.983790459000244
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,166.022861,193.59196,157.990809,172.53521,4945,3898,3159,0.482674380605527
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,0.144755,0.097166,0.113413,0.118444666666667,2,1,1,1.39188706698081
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,4.719891,2.211286,2.676825,3.20266733333333,75,26,24,1.35670822387163
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,0.099138,0,0,0.033046,3,0,0,1.12284399726634
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,22.215928,24.455156,21.480131,22.7170716666667,578,403,355,0.304091785361782
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,17.933589,18.199238,25.629245,20.5873573333333,910,792,813,0.174674151870712
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,13.595651,16.190365,22.775181,17.520399,324,335,359,0.177064759781903
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,22.912872,27.695939,31.184347,27.264386,656,567,572,0.18174473463991
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,11.479212,14.408764,9.576512,11.821496,2755,2090,1905,0.312799951997021
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,13.752073,7.993795,9.099596,10.2818213333333,71,41,35,0.323945329867246
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,63.531145,62.598294,71.307854,65.812431,995,729,745,0.557241610722113
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,0.21683,0.243358,0.326805,0.262331,4,5,1,1.52718238454653
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,10.815465,10.804659,13.984677,11.868267,486,364,414,0.311048358984936
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,1.609116,1.070727,1.582262,1.42070166666667,36,32,31,1.12670802749341
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,44.0177,45.687718,47.566252,45.7572233333333,2192,1394,1433,0.37874575814204
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,5.079803,4.491045,5.615728,5.062192,446,312,330,1.16408883123464
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,51.795203,58.156602,82.475187,64.1423306666667,415,381,422,0.140803323626912
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,6.432077,7.774202,3.850395,6.01889133333333,231,167,150,0.435782023315268
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,58.628575,94.077285,98.573128,83.7596626666667,1977,2473,2685,0.188924772659548
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,13.774036,8.645864,8.691924,10.370608,1272,600,554,1.03288554725482
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,15.556557,12.511396,24.184485,17.4174793333333,282,197,252,0.140096442440965
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,10.041919,13.414946,14.753141,12.7366686666667,524,498,547,2.02562455341307
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,20.235765,20.679629,22.875907,21.263767,1501,1015,1095,0.174060840647497
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,9.443781,4.284659,2.688057,5.47216566666667,1855,645,360,0.60229710848512
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0.045172,0.022129,0.054667,0.040656,8,3,5,0.997208651722279
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.473253,0.153458,0.298046,0.308252333333333,16,13,6,0.835847544191908
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,65.073528,68.481942,65.791533,66.449001,2021,1255,1196,0.861730578733108
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,27.609577,42.459618,39.449413,36.5062026666667,3105,3571,2969,0.322799052047462
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,1.143229,0.018773,0.021485,0.394495666666667,17,1,2,0.748360948653599
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,12.626236,11.918269,12.828291,12.4575986666667,670,562,506,0.33966832517619
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,1.147123,0.606076,1.259058,1.00408566666667,36,30,11,6.65251003075883
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,22.668326,32.522392,34.714621,29.9684463333333,715,882,818,0.276046675853688
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,41.403634,26.861255,35.063602,34.4428303333333,1731,991,983,1.24903493645838
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,1.381284,1.137468,5.074584,2.531112,58,43,31,3.48839119234961
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,0.30007,0.314046,0.298593,0.304236333333333,3,1,5,1.46621330643322
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,4.896031,7.84716,8.051324,6.931505,306,313,320,0.355724838265878
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,1.175122,1.322998,0.805546,1.101222,11,4,8,0.488320970685963
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,2.033786,0.852535,0.451585,1.11263533333333,44,12,10,0.565243315378928
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.028091,0.34729,0.350931,0.242104,3,10,12,0.82451227916503
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,54.080406,38.532465,32.137188,41.583353,870,459,384,0.40308474534638
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,11.18593,7.852267,6.075745,8.371314,297,164,171,0.213904972842656
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,18.529731,23.651367,21.054635,21.0785776666667,617,605,535,0.466548773605178
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,15.865448,14.222772,16.455124,15.514448,442,382,371,0.287924852226366
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,5.953924,4.982028,4.693158,5.20970333333333,660,375,308,0.274351055954954
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,35.009112,58.850277,42.406563,45.421984,641,664,643,0.146915306334171
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0,0.024085,0,0.00802833333333333,0,1,0,1.0245312879764
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.146712,0.308158,0.143396,0.199422,16,10,4,0.974219804761794
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,0.822929,0,0.384356,0.402428333333333,11,0,3,1.00713072682288
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,3.767094,1.945293,3.623133,3.11184,163,129,110,0.369139606599479
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,24.407761,29.952643,29.4664,27.942268,1378,1518,1344,0.271278095183487
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,0.709936,0.292227,1.18336,0.728507666666667,40,15,21,0.656034695053903
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,14.908165,22.713792,23.804669,20.475542,270,363,349,0.07653781217722
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,1.933667,0.299867,0.41351,0.882348,229,35,44,0.660344066736332
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,7.188261,4.56707,5.591021,5.78211733333333,256,128,147,0.518266370305104
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,0.823714,0.905926,0.985813,0.905151,90,77,76,0.959648167870683
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,22.412866,15.820691,18.169306,18.8009543333333,1142,727,822,0.269192075809545
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,63.780985,46.864754,55.905635,55.5171246666667,1013,556,577,0.216105591689867
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,47.892143,47.474433,56.270122,50.545566,1284,1130,1197,0.215220128406389
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,48.558347,63.90383,48.560484,53.6742203333333,990,770,800,0.192720321736458
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,15.544121,48.430262,33.217097,32.39716,485,502,554,0.395481731581368
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,15.544121,48.430262,33.217097,32.39716,485,502,554,0.46899397034658
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,38.478334,54.941591,52.139742,48.519889,684,676,609,0.595141344789767
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,9.640229,12.006134,8.714856,10.1204063333333,505,488,311,0.194568459863232
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,0.524925,0.589011,0.449804,0.521246666666667,43,28,26,1.3622717332692
