"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,"A1bg",0,0,0,0,0,0,0,4.82648666667
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,"A1cf",0,0,0,0,0,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,"A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,59.449924422749
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,"A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,1.45911080784898
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,"A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,2.38270704330803
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,"A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,1.09502647530561
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,"Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,0.276562112260021
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,"Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,0.0324009364709173
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,"Aadacl3",0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,"Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,2.96669992844045
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,"Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,0.249925666351893
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,"Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,0.0479912882717749
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,"Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,0.131491891024648
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,"Aamp",66.955059,76.234053,61.399198,1094,1097,2029,68.1961033333333,0.538045711726735
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,"Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,1.39097761901946
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,"Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,0.384470490990752
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,"Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,1.19022396326168
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,"Aars",36.787153,42.125397,33.744357,1529,1639,2689,37.5523023333333,0.459352591886276
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,"Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,0.978219193690985
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,"Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,0.373180781038764
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,"Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,0.384448297722404
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,"Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,1.6528254002157
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,"Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,5.27160496968801
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,"Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,0.421268861918224
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,"Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,0.475350343384191
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,"Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,0.0414877689706939
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,"Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,0.627759785164922
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,"Abca12",0.051568,0.062896,0.025504,6,4,4,0.046656,0.991492110747657
