"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,"A1bg",0,0,0,0,0,0,0,4.82648666667
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,"A1cf",0,0,0,0,0,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,"A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,36.8069879710786
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,"A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,1.51788326565003
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,"A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,2.216137318948
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,"A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,1.13464613476401
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,"Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,0.252447774411017
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,"Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,0.0294433168987077
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,"Aadacl3",0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,"Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,2.94136043223178
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,"Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,0.211918186241981
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,"Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,0.0870753409053777
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,"Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,0.09183126103771
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,"Aamp",82.307746,98.461157,85.878375,1345,3160,2913,88.882426,0.414215195601196
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,"Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.72991748579677
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,"Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,0.26151797446576
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,"Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.983701419635216
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,"Aars",48.151786,34.848517,36.733042,2200,2892,2779,39.911115,0.432867693779551
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,"Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,1.2464784030505
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,"Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,0.32740200913516
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,"Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,0.434395307721451
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,"Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,1.73580721886464
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,"Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,4.22935851179526
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,"Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,0.375346996203311
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,"Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,0.51126645354037
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,"Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,0.0445467110491626
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,"Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,0.866595883616569
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,"Abca12",0.056593,0.012085,0.019841,6,3,5,0.0295063333333333,1.00800853094966
