"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,"A1bg",0,0,0,0,0,0,0,4.82648666667
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,"A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.988737499835043
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,"A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,6.23746109173181
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,"A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,1.27868322825621
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,"A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,1.59844616355652
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,"A4gnt",0,0,0,0,0,0,0,1.1599495
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,"Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.226159669991894
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,"Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.0279143308641176
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,"Aadacl3",0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,"Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,2.65198691519
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,"Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,0.234371726636577
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,"Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,0.0564581898359914
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,"Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,0.0929947846878979
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,"Aamp",65.096573,79.392539,83.921256,534,2470,1441,76.1367893333333,0.48265771739363
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,"Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,1.04087568172498
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,"Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,0.286169251945412
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,"Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.527164973699968
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,"Aars",49.021279,58.791273,58.30389,1011,4453,2654,55.3721473333333,0.314146273252366
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,"Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,0.863220602777868
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,"Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,0.388606746386582
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,"Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,0.47950821578246
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,"Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,1.51824871775812
