"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,"A1bg",0,0,0,0,0,0,0,4.82648666667
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,"A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,1.00267456654984
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,"A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,19.6170826776623
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,"A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.0858255064563936
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,"A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,0.238997858204666
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,"A4gnt",0,0,0,0,0,0,0,1.1599495
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,"Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,0.210274042283057
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,"Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,0.00703387124569774
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,"Aadacl3",0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,"Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,2.8213575822302
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,"Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,0.223945087764701
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,"Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,0.0687057821830341
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,"Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,0.0972626020083552
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,"Aamp",62.494553,70.914614,59.527656,3302,855,1226,64.3122743333333,0.570040885066816
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,"Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.8812724673145
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,"Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,0.315961946561258
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,"Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.846239329666694
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,"Aars",50.684771,56.584857,47.574575,6348,1491,2318,51.6147343333333,0.336580621842666
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,"Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,0.860646071067606
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,"Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,0.440760208392726
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,"Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,0.378574279688307
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,"Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,1.50808065159421
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,"Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,8.41330125322182
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,"Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,0.280720056426013
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,"Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.257561066950824
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,"Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,0.141034743187024
