"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,"A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,4.65342277151549
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,"A1cf",0,0,0,0,0,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,"A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,79.1334848297806
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,"A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,1.52278895028666
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,"A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,3.15774355482768
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,"A4gnt",0,0,0,0,0,0,0,1.1599495
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,"Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,1.06217872977877
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,"Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,0.84278822087413
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,"Aadacl3",0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,"Aadat",0,0,0,0,0,0,0,3.27931
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,"Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,1.06797718501045
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,"Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,0.50728496763129
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,"Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,0.139433691725879
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,"Aamp",16.634288,17.584764,22.502302,744,720,645,18.907118,1.8702188165409
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,"Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.91252603362364
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,"Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,1.16603951049774
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,"Aard",0,0.027521,0,0,1,0,0.00917366666666667,2.7026309644095
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,"Aars",5.966065,5.315623,6.3963,523,498,414,5.89266266666667,2.56926834467647
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,"Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,2.14750702706651
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,"Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,1.1973254214719
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,"Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,0.643706962832302
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,"Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,3.55769301978372
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,"Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,11.0578098176574
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,"Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,0.881742180852906
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,"Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,17.5280671440081
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,"Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,1.23082719909222
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,"Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,1.43163927073132
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,"Abca12",0.370439,0.231995,0.471437,106,62,101,0.357957,0.764200314639344
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,"Abca13",0,0,0,0,0,0,0,1.0934995
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,"Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,7.07988453325354
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,"Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,5.27398715312088
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,"Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.620011561504113
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,"Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,2.91280485357024
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,"Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,5.60736107212885
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,"Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,5.30373816797115
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,"Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,19.132640566001
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,"Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,4.47275439375373
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,"Abcb1b",1.448958,1.10462,1.336334,101,103,68,1.29663733333333,0.832647209427494
