"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"A1BG",181,3.80283,169,3.81114,175,3.86549,3.82648666667,"A1bg",0,0,0,0,0,0,0,4.82648666667
"A1CF",8,0.0162008,7,0.0152154,19,0.0404518,0.023956,"A1cf",0,0,0,0,0,0,0,1.023956
"A2M",15333,55.1551,16086,62.1079,34645,131.02,82.761,"A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,7.36907100461485
"A3GALT2",23,0.280338,70,0.915782,37,0.474126,0.556748666667,"A3galt2",0.056162,0.071851,0.07206,3,8,1,0.066691,1.45941858201391
"A4GALT",717,4.29293,709,4.5564,835,5.25605,4.70179333333,"A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,1.16104910351353
"A4GNT",8,0.16105,3,0.0648235,12,0.253975,0.1599495,"A4gnt",0,0,0,0,0,0,0,1.1599495
"AAAS",606,6.0812,624,6.72112,553,5.83418,6.21216666667,"Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,0.257499006225212
"AACS",1397,3.13292,1230,2.96073,941,2.21861,2.77075333333,"Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,0.0275956935645897
"AADACL3",1,0.0138091,0,0,1,0.0145179,0.00944233333333,"Aadacl3",0,0,0,0,0,0,0,1.00944233333333
"AADAT",350,1.94246,383,2.28151,448,2.61396,2.27931,"Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,2.78372209891537
"AAGAB",1189,3.8093,1179,4.05431,1350,4.5471,4.13690333333,"Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,0.309618630105961
"AAK1",3814,3.0797,3498,3.03171,3440,2.92028,3.01056333333,"Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,0.0816193152092585
"AAMDC",1306,2.3443,1571,3.02682,1374,2.59296,2.65469333333,"Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,0.0877518383951237
"AAMP",1195,34.0286,1336,40.8341,1130,33.8293,36.2306666667,"Aamp",68.334942,59.931139,83.371171,1778,2358,678,70.5457506666667,0.520375652219495
"AANAT",45,0.468865,62,0.693374,148,1.62119,0.927809666667,"Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.500686043963865
"AAR2",498,2.52467,545,2.9656,660,3.51769,3.00265333333,"Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,0.340181539922369
"AARD",69,1.91916,76,2.2689,34,0.994212,1.727424,"Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.346772224544461
"AARS1",3692,17.3156,3652,18.3843,2926,14.4274,16.7091,"Aars",50.223145,48.62845,48.05169,3323,4540,1025,48.9677616666667,0.354410512084508
"AARS2",443,5.29464,513,6.58097,501,6.29518,6.05693,"Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,0.840575732789318
"AARSD1",597,7.46406,637,8.54832,647,8.50439,8.17225666667,"Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,0.428023865256115
"AASDH",496,1.76041,592,2.25524,579,2.16047,2.05870666667,"Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,0.326429187795322
"AASDHPPT",1713,12.8997,2178,17.6043,1836,14.5356,15.0132,"Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,2.03771085965561
"AASS",3137,7.75073,3644,9.66378,5705,14.8191,10.7445366667,"Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,6.1724370324569
"AATF",991,1.60424,950,1.65067,873,1.48576,1.58022333333,"Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,0.43896912204531
"AATK",9568,29.9905,7986,26.8678,7167,23.6177,26.8253333333,"Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.242145685067363
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,"Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,0.0270726681130837
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,"Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,0.596103756358946
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,"Abca12",0.045234,0.074347,0,5,9,0,0.0398603333333333,0.99797168273563
