"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"a","ASIP",5795,3.46455,6115,3.37664,5233,3.29601,3.37906666667,"ASIP",0,0,0,0,0,0,0,4.37906666667
"A130010J15Rik","C1orf74",436,6.91439,427,6.25446,376,6.28202,6.48362333333,"C1orf74",2.995031,2.150074,1.628853,60,73,112,2.257986,2.2970090520125
"A1bg","A1BG",0,0,2,0.0109624,1,0.00625206,0.00573815333333,"A1BG",0,0,0,0,0,0,0,1.00573815333333
"A1cf","A1CF",7,0.0135415,8,0.014294,11,0.0224185,0.0167513333333,"A1CF",0,0,0,0,0,0,0,1.0167513333333
"A2m","A2M",429,1.5184,517,1.6901,392,1.4617,1.55673333333,"A2M",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,1.81465841424519
"A3galt2","A3GALT2",1523,16.9633,1564,16.0895,1462,17.1554,16.7360666667,"A3GALT2",0.088979,0.036608,0.075161,3,1,4,0.066916,16.623676715599
"A430005L14Rik","C1orf174",152,5.0313,177,5.41134,134,4.67289,5.03851,"C1orf174",10.616593,8.909296,10.506882,104,84,166,10.0109236666667,0.548410849335044
"A4galt","A4GALT",973,6.02796,1075,6.15121,845,5.51516,5.89811,"A4GALT",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,2.88263258972145
"A4gnt","A4GNT",1,0.0157317,0,0,0,0,0.0052439,"A4GNT",0.053613,0.082088,0.042166,2,3,3,0.059289,0.948979834587162
"A530016L24Rik","C14orf180",6,0.0888601,13,0.177825,20,0.312054,0.192913033333,"C14orf180",0.318405,0.085875,0.071223,8,3,4,0.158501,1.02970393062501
