"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"a","ASIP",5795,3.46455,6115,3.37664,5233,3.29601,3.37906666667,"ASIP",0,0.230756,0,0,1,0,0.0769186666666667,4.06629284291664
"A130010J15Rik","C1orf74",436,6.91439,427,6.25446,376,6.28202,6.48362333333,"C1orf74",1.540279,1.455903,1.991782,59,105,110,1.66265466666667,2.81058727855934
"A1bg","A1BG",0,0,2,0.0109624,1,0.00625206,0.00573815333333,"A1BG",0,0,0,0,0,0,0,1.00573815333333
"A1cf","A1CF",7,0.0135415,8,0.014294,11,0.0224185,0.0167513333333,"A1CF",0,0,0,0,0,0,0,1.0167513333333
"A2m","A2M",429,1.5184,517,1.6901,392,1.4617,1.55673333333,"A2M",1.723287,1.100269,1.00349,121,136,126,1.275682,1.12350202415364
"A3galt2","A3GALT2",1523,16.9633,1564,16.0895,1462,17.1554,16.7360666667,"A3GALT2",0.033486,0.010958,0.032371,1,1,3,0.025605,17.2932724262265
"A430005L14Rik","C1orf174",152,5.0313,177,5.41134,134,4.67289,5.03851,"C1orf174",12.897333,15.947705,19.711494,113,292,342,16.1855106666667,0.351372159787629
"A4galt","A4GALT",973,6.02796,1075,6.15121,845,5.51516,5.89811,"A4GALT",1.779458,1.564441,1.374657,36,66,51,1.572852,2.68111418767966
"A4gnt","A4GNT",1,0.0157317,0,0,0,0,0.0052439,"A4GNT",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.983315312977069
"A530016L24Rik","C14orf180",6,0.0888601,13,0.177825,20,0.312054,0.192913033333,"C14orf180",0.026122,0.028614,0.028199,1,2,2,0.027645,1.16082210620691
"A730046J19Rik","SERTM2",6,0.0740266,4,0.0455818,4,0.0519925,0.0572003,"SERTM2",0.113283,0.066223,0.034628,8,8,4,0.071378,0.986766855395575
"A830018L16Rik","C8orf34",2051,0.566635,2301,0.58715,1976,0.575133,0.576306,"C8orf34",27.325722,17.692353,13.661834,1322,1687,1370,19.5599696666667,0.0766686928802051
"A930018P22Rik","C11orf91",0,0,3,0.217094,0,0,0.0723646666667,"C11orf91",0,0,0,0,0,0,0,1.0723646666667
"AA467197","C15orf48",2,0.0738036,5,0.170417,3,0.116631,0.120283866667,"C15orf48",0.123864,0.26343,0.389052,1,3,4,0.258782,0.889974488566726
"AA986860","C1orf116",131,1.60768,149,1.68893,117,1.51272,1.60311,"C1orf116",0.730888,0.619726,0.926336,32,48,43,0.758983333333333,1.47989463610608
"Aaas","AAAS",308,3.81824,314,3.59532,258,3.36958,3.59438,"AAAS",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,0.160817277165616
"Aacs","AACS",3532,13.1788,3958,13.6404,3304,12.9879,13.2690333333,"AACS",142.982123,107.157691,131.064861,470,707,648,127.068225,0.111417436552275
"Aadacl3","AADACL3",0,0,0,0,1,0.0163746,0.0054582,"AADACL3",0,0,0,0,0,0,0,1.0054582
"Aadat","AADAT",15,0.0585753,11,0.0396745,7,0.0287982,0.0423493333333,"AADAT",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,0.934929935147863
