"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"a","ASIP",5795,3.46455,6115,3.37664,5233,3.29601,3.37906666667,"ASIP",0.5141,0,0,1,0,0,0.171366666666667,3.73842520133462
"A130010J15Rik","C1orf74",436,6.91439,427,6.25446,376,6.28202,6.48362333333,"C1orf74",1.778942,1.573407,1.519935,26,107,62,1.62409466666667,2.85188771136687
"A1bg","A1BG",0,0,2,0.0109624,1,0.00625206,0.00573815333333,"A1BG",0,0,0,0,0,0,0,1.00573815333333
"A1cf","A1CF",7,0.0135415,8,0.014294,11,0.0224185,0.0167513333333,"A1CF",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.981780634396315
"A2m","A2M",429,1.5184,517,1.6901,392,1.4617,1.55673333333,"A2M",13.087514,10.806353,13.392236,409,1283,901,12.428701,0.190393198368926
"A3galt2","A3GALT2",1523,16.9633,1564,16.0895,1462,17.1554,16.7360666667,"A3GALT2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,14.5680619277475
"A430005L14Rik","C1orf174",152,5.0313,177,5.41134,134,4.67289,5.03851,"C1orf174",19.357177,19.654418,14.46883,78,280,154,17.8268083333333,0.3207399731854
"A4galt","A4GALT",973,6.02796,1075,6.15121,845,5.51516,5.89811,"A4GALT",3.722336,1.343118,2.635801,12,65,22,2.567085,1.93382271518621
"A4gnt","A4GNT",1,0.0157317,0,0,0,0,0.0052439,"A4GNT",0,0,0,0,0,0,0,1.0052439
"A530016L24Rik","C14orf180",6,0.0888601,13,0.177825,20,0.312054,0.192913033333,"C14orf180",0.058059,0.083479,0,1,3,0,0.0471793333333333,1.13916785345235
"A730046J19Rik","SERTM2",6,0.0740266,4,0.0455818,4,0.0519925,0.0572003,"SERTM2",0.189279,0.333345,0.255229,6,39,17,0.259284333333333,0.839524698287625
"A830018L16Rik","C8orf34",2051,0.566635,2301,0.58715,1976,0.575133,0.576306,"C8orf34",8.68142,8.691736,5.359828,170,635,371,7.57766133333333,0.183768738207741
"A930018P22Rik","C11orf91",0,0,3,0.217094,0,0,0.0723646666667,"C11orf91",0,0,0,0,0,0,0,1.0723646666667
"AA467197","C15orf48",2,0.0738036,5,0.170417,3,0.116631,0.120283866667,"C15orf48",1.556148,0.147714,0.479273,3,2,2,0.727711666666667,0.648420618023841
"AA986860","C1orf116",131,1.60768,149,1.68893,117,1.51272,1.60311,"C1orf116",2.282759,1.202626,2.142,29,77,56,1.875795,0.905179263473231
"Aaas","AAAS",308,3.81824,314,3.59532,258,3.36958,3.59438,"AAAS",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.144070916915889
"Aacs","AACS",3532,13.1788,3958,13.6404,3304,12.9879,13.2690333333,"AACS",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.105631549551693
"Aadacl3","AADACL3",0,0,0,0,1,0.0163746,0.0054582,"AADACL3",0,0,0,0,0,0,0,1.0054582
"Aadat","AADAT",15,0.0585753,11,0.0396745,7,0.0287982,0.0423493333333,"AADAT",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,0.842950740569488
"Aagab","AAGAB",1202,4.44946,1311,4.48229,1203,4.6915,4.54108333333,"AAGAB",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,0.25281247942578
"Aak1","AAK1",7968,8.04586,8025,7.48451,7642,8.1297,7.88669,"AAK1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,0.125101236243792
"Aamdc","AAMDC",367,1.95295,451,2.21665,366,2.05187,2.07382333333,"AAMDC",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,0.0782143706681967
"Aamp","AAMP",1893,59.9736,2138,62.5622,1852,61.8151,61.4503,"AAMP",65.096573,79.392539,83.921256,534,2470,1441,76.1367893333333,0.809604606825568
"Aanat","AANAT",31,0.427725,41,0.522495,38,0.552371,0.500863666667,"AANAT",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.810356187765768
"Aar2","AAR2",776,5.63104,853,5.71703,713,5.4508,5.59962333333,"AAR2",12.339668,13.071238,13.550136,202,925,555,12.987014,0.471839331349064
