"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"a","ASIP",5795,3.46455,6115,3.37664,5233,3.29601,3.37906666667,"ASIP",0,0,0,0,0,0,0,4.37906666667
"A130010J15Rik","C1orf74",436,6.91439,427,6.25446,376,6.28202,6.48362333333,"C1orf74",2.841934,3.153796,3.664823,297,84,148,3.22018433333333,1.77329299912808
"A1bg","A1BG",0,0,2,0.0109624,1,0.00625206,0.00573815333333,"A1BG",0,0,0,0,0,0,0,1.00573815333333
"A1cf","A1CF",7,0.0135415,8,0.014294,11,0.0224185,0.0167513333333,"A1CF",0.021395,0,0.042279,3,0,2,0.0212246666666667,0.995619638381858
"A2m","A2M",429,1.5184,517,1.6901,392,1.4617,1.55673333333,"A2M",3.753913,2.653814,3.40167,502,126,232,3.269799,0.598794775428539
"A3galt2","A3GALT2",1523,16.9633,1564,16.0895,1462,17.1554,16.7360666667,"A3GALT2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.977811599783114
"A430005L14Rik","C1orf174",152,5.0313,177,5.41134,134,4.67289,5.03851,"C1orf174",9.630424,10.735529,7.122528,250,49,82,9.162827,0.594176207073091
"A4galt","A4GALT",973,6.02796,1075,6.15121,845,5.51516,5.89811,"A4GALT",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,0.289142979985446
"A4gnt","A4GNT",1,0.0157317,0,0,0,0,0.0052439,"A4GNT",0,0,0,0,0,0,0,1.0052439
"A530016L24Rik","C14orf180",6,0.0888601,13,0.177825,20,0.312054,0.192913033333,"C14orf180",0.069785,0.208392,0.094245,6,3,4,0.124140666666667,1.06117772330954
"A730046J19Rik","SERTM2",6,0.0740266,4,0.0455818,4,0.0519925,0.0572003,"SERTM2",0.020933,0.041789,0.026677,4,2,2,0.0297996666666667,1.02660773179508
"A830018L16Rik","C8orf34",2051,0.566635,2301,0.58715,1976,0.575133,0.576306,"C8orf34",24.961966,23.093802,20.375118,2763,628,1151,22.8102953333333,0.0662027067674899
"A930018P22Rik","C11orf91",0,0,3,0.217094,0,0,0.0723646666667,"C11orf91",0.046357,0,0,1,0,0,0.0154523333333333,1.05604628741809
"AA467197","C15orf48",2,0.0738036,5,0.170417,3,0.116631,0.120283866667,"C15orf48",0.08291,0.184222,0,1,1,0,0.089044,1.02868558723706
"AA986860","C1orf116",131,1.60768,149,1.68893,117,1.51272,1.60311,"C1orf116",1.472491,3.825998,1.865937,167,33,79,2.388142,0.768300147986714
"Aaas","AAAS",308,3.81824,314,3.59532,258,3.36958,3.59438,"AAAS",33.451231,34.79836,31.647085,470,93,173,33.298892,0.133951265830978
"Aacs","AACS",3532,13.1788,3958,13.6404,3304,12.9879,13.2690333333,"AACS",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,0.0266171065553011
"Aadacl3","AADACL3",0,0,0,0,1,0.0163746,0.0054582,"AADACL3",0,0,0,0,0,0,0,1.0054582
"Aadat","AADAT",15,0.0585753,11,0.0396745,7,0.0287982,0.0423493333333,"AADAT",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,0.896786273616247
"Aagab","AAGAB",1202,4.44946,1311,4.48229,1203,4.6915,4.54108333333,"AAGAB",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,0.241565455464722
"Aak1","AAK1",7968,8.04586,8025,7.48451,7642,8.1297,7.88669,"AAK1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,0.152239707173802
"Aamdc","AAMDC",367,1.95295,451,2.21665,366,2.05187,2.07382333333,"AAMDC",35.667489,38.821012,35.238074,533,133,194,36.575525,0.0818038692295051
"Aamp","AAMP",1893,59.9736,2138,62.5622,1852,61.8151,61.4503,"AAMP",62.494553,70.914614,59.527656,3302,855,1226,64.3122743333333,0.956180145883043
"Aanat","AANAT",31,0.427725,41,0.522495,38,0.552371,0.500863666667,"AANAT",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.686099799941913
"Aar2","AAR2",776,5.63104,853,5.71703,713,5.4508,5.59962333333,"AAR2",13.047905,11.955033,10.001512,1331,273,464,11.66815,0.520961887357665
"Aard","AARD",100,2.76369,91,2.32288,90,2.62045,2.56900666667,"AARD",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,1.10735764192835
"Aars","AARS1",4405,27.8821,4407,25.7642,3978,26.527,26.7244333333,"AARS1",50.684771,56.584857,47.574575,6348,1491,2318,51.6147343333333,0.526932876970464
"Aars2","AARS2",522,5.78584,606,6.20388,580,6.77279,6.25417,"AARS2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,0.88470098319758
"Aasdh","AASDH",314,1.52987,322,1.44903,259,1.32944,1.43611333333,"AASDH",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,0.30151627825382
"Aasdhppt","AASDHPPT",768,8.12048,850,8.30107,722,8.0427,8.15475,"AASDHPPT",9.569516,9.23858,10.046699,1046,255,433,9.618265,0.862170043787756
"Aass","AASS",39,0.0995355,29,0.0683607,44,0.118307,0.0954010666667,"AASS",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,0.784700105973357
"Aatf","AATF",605,1.03566,612,0.96763,604,1.08929,1.03086,"AATF",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,0.220951080640591
"Aatk","AATK",7467,29.0791,7793,28.0307,6953,28.5266,28.5454666667,"AATK",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.273483225774271
