"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"a","ASIP",5795,3.46455,6115,3.37664,5233,3.29601,3.37906666667,"ASIP",0,0,0,0,0,0,0,4.37906666667
"A130010J15Rik","C1orf74",436,6.91439,427,6.25446,376,6.28202,6.48362333333,"C1orf74",1.197014,0.760045,1.123598,62,50,67,1.02688566666667,3.69217832875461
"A1bg","A1BG",0,0,2,0.0109624,1,0.00625206,0.00573815333333,"A1BG",0.092692,0.01888,0,1,1,0,0.0371906666666667,0.969675283104486
"A1cf","A1CF",7,0.0135415,8,0.014294,11,0.0224185,0.0167513333333,"A1CF",0,0,0,0,0,0,0,1.0167513333333
"A2m","A2M",429,1.5184,517,1.6901,392,1.4617,1.55673333333,"A2M",0.013353,0.162079,0,2,4,0,0.0584773333333333,2.41548236586077
"A3galt2","A3GALT2",1523,16.9633,1564,16.0895,1462,17.1554,16.7360666667,"A3GALT2",0.014454,0.028056,0.024393,1,3,2,0.022301,17.3491629830158
"A430005L14Rik","C1orf174",152,5.0313,177,5.41134,134,4.67289,5.03851,"C1orf174",3.665836,2.644494,3.995926,61,49,52,3.43541866666667,1.36142954111209
"A4galt","A4GALT",973,6.02796,1075,6.15121,845,5.51516,5.89811,"A4GALT",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,3.82028269345757
"A4gnt","A4GNT",1,0.0157317,0,0,0,0,0.0052439,"A4GNT",0,0,0,0,0,0,0,1.0052439
"A530016L24Rik","C14orf180",6,0.0888601,13,0.177825,20,0.312054,0.192913033333,"C14orf180",5.108608,4.363255,5.460269,367,293,269,4.97737733333333,0.19957131143129
"A730046J19Rik","SERTM2",6,0.0740266,4,0.0455818,4,0.0519925,0.0572003,"SERTM2",0.013039,0.029052,0,2,4,0,0.0140303333333333,1.04257265808288
"A830018L16Rik","C8orf34",2051,0.566635,2301,0.58715,1976,0.575133,0.576306,"C8orf34",0,0.006103,0,0,1,0,0.00203433333333333,1.57310577847798
"A930018P22Rik","C11orf91",0,0,3,0.217094,0,0,0.0723646666667,"C11orf91",0.056326,0,0,1,0,0,0.0187753333333333,1.05260171853398
"AA467197","C15orf48",2,0.0738036,5,0.170417,3,0.116631,0.120283866667,"C15orf48",0.118454,0,0,2,0,0,0.0394846666666667,1.0777300547005
"AA986860","C1orf116",131,1.60768,149,1.68893,117,1.51272,1.60311,"C1orf116",0.123287,0.066157,0.417423,12,6,6,0.202289,2.16512835100379
"Aaas","AAAS",308,3.81824,314,3.59532,258,3.36958,3.59438,"AAAS",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,0.676641699792302
"Aacs","AACS",3532,13.1788,3958,13.6404,3304,12.9879,13.2690333333,"AACS",0.197809,8.053353,2.171261,16,38,23,3.474141,3.18922298901622
"Aadacl3","AADACL3",0,0,0,0,1,0.0163746,0.0054582,"AADACL3",0,0,0,0,0,0,0,1.0054582
"Aadat","AADAT",15,0.0585753,11,0.0396745,7,0.0287982,0.0423493333333,"AADAT",0,0,0,0,0,0,0,1.0423493333333
"Aagab","AAGAB",1202,4.44946,1311,4.48229,1203,4.6915,4.54108333333,"AAGAB",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,1.15200738581972
"Aak1","AAK1",7968,8.04586,8025,7.48451,7642,8.1297,7.88669,"AAK1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,1.124052626606
"Aamdc","AAMDC",367,1.95295,451,2.21665,366,2.05187,2.07382333333,"AAMDC",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,0.117272366239504
"Aamp","AAMP",1893,59.9736,2138,62.5622,1852,61.8151,61.4503,"AAMP",16.634288,17.584764,22.502302,744,720,645,18.907118,3.13708393148621
"Aanat","AANAT",31,0.427725,41,0.522495,38,0.552371,0.500863666667,"AANAT",0.023974,0,0,1,0,0,0.00799133333333333,1.48896485221136
"Aar2","AAR2",776,5.63104,853,5.71703,713,5.4508,5.59962333333,"AAR2",2.235598,2.269025,2.79345,210,197,191,2.432691,1.92258007881572
"Aard","AARD",100,2.76369,91,2.32288,90,2.62045,2.56900666667,"AARD",0,0.027521,0,0,1,0,0.00917366666666667,3.53656341277567
"Aars","AARS1",4405,27.8821,4407,25.7642,3978,26.527,26.7244333333,"AARS1",5.966065,5.315623,6.3963,523,498,414,5.89266266666667,4.02231106817066
"Aars2","AARS2",522,5.78584,606,6.20388,580,6.77279,6.25417,"AARS2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,2.20752948527689
"Aasdh","AASDH",314,1.52987,322,1.44903,259,1.32944,1.43611333333,"AASDH",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,0.51268175925492
"Aasdhppt","AASDHPPT",768,8.12048,850,8.30107,722,8.0427,8.15475,"AASDHPPT",3.367854,3.157,3.978166,303,256,259,3.50100666666667,2.03393389034453
"Aass","AASS",39,0.0995355,29,0.0683607,44,0.118307,0.0954010666667,"AASS",0.008662,0,0.177648,1,0,3,0.0621033333333333,1.03135074741632
"Aatf","AATF",605,1.03566,612,0.96763,604,1.08929,1.03086,"AATF",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,0.694007724942122
"Aatk","AATK",7467,29.0791,7793,28.0307,6953,28.5266,28.5454666667,"AATK",0.725985,0.457374,0.57906,57,59,43,0.587473,18.6116341296513
"AB124611","C19orf38",81,0.656224,98,0.73331,76,0.648671,0.679401666667,"C19orf38",0.182068,0.126512,0.123677,7,4,3,0.144085666666667,1.46789852857784
"Abat","ABAT",1986,2.85043,2063,2.73479,1862,2.81549,2.80023666667,"ABAT",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,1.20700203917812
"Abca1","ABCA1",4095,4.92282,3713,4.12269,3641,4.61132,4.55227666667,"ABCA1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,2.03912710709218
"Abca12","ABCA12",22,0.0197793,21,0.0174382,18,0.0170492,0.0180889,"ABCA12",0.370439,0.231995,0.471437,106,62,101,0.357957,0.749721014730216
"Abca13","ABCA13",33,0.0104036,46,0.0133944,39,0.0129533,0.0122504333333,"ABCA13",0,0,0,0,0,0,0,1.0122504333333
"Abca2","ABCA2",6105,47.7645,6781,49.0013,6154,50.7248,49.1635333333,"ABCA2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,6.11036661038011
"Abca3","ABCA3",5164,13.7592,5259,12.9421,4945,13.8809,13.5274,"ABCA3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,6.32836639246582
"Abca4","ABCA4",23,0.0263103,36,0.038036,19,0.0228979,0.0290814,"ABCA4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.611394082125891
"Abca5","ABCA5",5255,11.9334,5299,11.1142,4575,10.9453,11.3309666667,"ABCA5",0.467171,0.588468,0.652318,130,114,130,0.569319,7.85752716095325
"Abca6","ABCA6",3334,6.90352,3785,7.23878,3311,7.22284,7.12171333333,"ABCA6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,3.41589378979497
"Abca7","ABCA7",5065,41.2041,5622,42.2423,4588,39.3214,40.9226,"ABCA7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,26.0092809487836
"Abca8b","ABCA8",3612,8.80695,3441,7.74921,3247,8.34073,8.29896333333,"ABCA8",1.19705,1.355302,1.389084,299,302,226,1.313812,4.01889320883892
"Abca9","ABCA9",644,1.48195,645,1.37089,506,1.22671,1.35985,"ABCA9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,0.85688546392646
"Abcb10","ABCB10",678,3.43177,729,3.40809,632,3.37015,3.40333666667,"ABCB10",3.70404,4.009373,4.926604,497,533,463,4.213339,0.844628877322192
"Abcb11","ABCB11",4,0.00595041,5,0.00686992,5,0.00783612,0.00688548333333,"ABCB11",0,0,0,0,0,0,0,1.00688548333333
"Abcb1b","ABCB1",263,0.598806,225,0.473159,247,0.592476,0.554813666667,"ABCB1",1.448958,1.10462,1.336334,101,103,68,1.29663733333333,0.676995729408591
"Abcb4","ABCB4",753,1.7839,737,1.61264,630,1.57239,1.65631,"ABCB4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.637055719881685
"Abcb5","ABCB5",8,0.0125933,3,0.00436179,3,0.00497524,0.00731011,"ABCB5",0,0,0,0,0,0,0,1.00731011
"Abcb6","ABCB6",537,9.60665,500,8.26156,495,9.32925,9.06582,"ABCB6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,1.78903267457229
"Abcb7","ABCB7",11285,13.1497,11821,12.7222,10002,12.2785,12.7168,"ABCB7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,2.91035912280153
"Abcb8","ABCB8",816,7.72636,935,8.17695,799,7.97032,7.95787666667,"ABCB8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,0.517361645678745
"Abcb9","ABCB9",1104,5.00017,1193,4.99058,1097,5.23439,5.07504666667,"ABCB9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,2.75861160787753
"Abcc1","ABCC1",688,0.935223,722,0.906482,654,0.936588,0.926097666667,"ABCC1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,0.329876843089174
"Abcc10","ABCC10",269,1.66128,280,1.59714,283,1.84128,1.6999,"ABCC10",0.487548,0.662952,0.381423,47,52,34,0.510641,1.78725454955876
"Abcc12","ABCC12",74,0.11669,54,0.0786487,49,0.0814034,0.0922473666667,"ABCC12",0,0,0,0,0,0,0,1.0922473666667
"Abcc2","ABCC2",5,0.0132546,2,0.00489691,1,0.00279281,0.00698144,"ABCC2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.999434377867927
"Abcc3","ABCC3",49,0.153014,57,0.164401,62,0.203972,0.173795666667,"ABCC3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,0.936604110019605
"Abcc4","ABCC4",979,0.679779,989,0.634273,939,0.686902,0.666984666667,"ABCC4",1.07834,1.027357,0.899832,184,175,110,1.001843,0.832724977266948
"Abcc5","ABCC5",6994,11.4156,6910,10.4171,6254,10.7541,10.8622666667,"ABCC5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,1.05600389228658
"Abcc6","ABCC6",10,0.0247353,11,0.0251307,6,0.0156355,0.0218338333333,"ABCC6",0,0,0,0,0,0,0,1.0218338333333
"Abcc8","ABCC8",311,0.639245,322,0.611304,324,0.70161,0.650719666667,"ABCC8",5.196664,5.907268,4.973336,286,348,267,5.35908933333333,0.25958428638739
"Abcc9","ABCC9",102,0.13832,135,0.169089,103,0.147152,0.151520333333,"ABCC9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,0.0498141142256475
"Abcd1","ABCD1",366,2.58941,332,2.16947,324,2.41495,2.39127666667,"ABCD1",2.313105,2.752033,3.025499,286,317,273,2.696879,0.917335045769688
"Abcd2","ABCD2",764,2.5818,867,2.7061,689,2.45298,2.58029333333,"ABCD2",0.907229,0.389841,2.345446,72,65,60,1.214172,1.61698970691076
"Abcd3","ABCD3",2309,6.33971,2291,5.80986,2118,6.12654,6.09203666667,"ABCD3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,0.440510572219985
"Abcd4","ABCD4",536,5.2158,553,4.97023,537,5.50522,5.23041666667,"ABCD4",0.85394,1.106506,1.124445,67,57,53,1.028297,3.07174771084807
"Abce1","ABCE1",3754,20.6038,3987,20.2113,3518,20.342,20.3857,"ABCE1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,2.83525111799942
"Abcf1","ABCF1",1730,20.7457,1826,20.2245,1763,22.273,21.0810666667,"ABCF1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,1.36702645887891
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,3.49979410775255
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,3.49979410775255
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,3.49979410775255
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,3.49979410775255
"Abcf3","ABCF3",1658,20.0997,1764,19.7514,1555,19.86,19.9037,"ABCF3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,0.379190751473048
"Abcg1","ABCG1",1593,4.09935,1599,3.80051,1512,4.09916,3.99967333333,"ABCG1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,3.20416431857071
"Abcg3","ABCG2",15,0.0488468,7,0.0210541,8,0.027446,0.0324489666667,"ABCG2",0.080428,0.035451,0.075727,7,3,5,0.0638686666666667,0.970466561348769
"Abcg4","ABCG4",1301,13.0883,1303,12.1073,1252,13.2695,12.8217,"ABCG4",0.127302,0.011319,0.156331,3,1,1,0.0983173333333333,12.584432185962
"Abcg5","ABCG5",4,0.0250559,2,0.0115711,1,0.00659925,0.01440875,"ABCG5",0,0,0,0,0,0,0,1.01440875
"Abcg8","ABCG8",12,0.0775012,28,0.167024,7,0.0476287,0.0973846333333,"ABCG8",0,0,0,0,0,0,0,1.0973846333333
"Abhd1","ABHD1",387,11.951,427,12.1792,372,12.1027,12.0776333333,"ABHD1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,8.09209747418579
"Abhd10","ABHD10",1071,12.5636,1157,12.5358,989,12.2226,12.4406666667,"ABHD10",2.955729,5.14223,4.358272,111,153,102,4.152077,2.60878606175723
"Abhd11","ABHD11",473,24.2771,487,23.0865,430,23.2513,23.5383,"ABHD11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,2.28389744782374
"Abhd12","ABHD12",4726,10.1526,5063,10.0459,4747,10.7436,10.3140333333,"ABHD12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,0.722508352925069
"Abhd12b","ABHD12B",2,0.0104356,3,0.0144579,3,0.0164913,0.0137949333333,"ABHD12B",0,0,0,0,0,0,0,1.0137949333333
"Abhd13","ABHD13",535,5.74689,566,5.61553,432,4.88885,5.41709,"ABHD13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,2.41199221046821
"Abhd14a","ABHD14A",570,11.5979,581,10.9189,552,11.8329,11.4499,"ABHD14A",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,3.18736424791424
"Abhd14b","ABHD14B",506,14.3707,541,14.1912,507,15.1698,14.5772333333,"ABHD14B",2.264105,1.928432,2.675018,78,66,63,2.289185,4.73589455542939
"Abhd15","ABHD15",4270,28.2174,4193,25.5923,3798,26.4416,26.7504333333,"ABHD15",0.151803,0.17299,0.243191,13,15,13,0.189328,23.3328680845822
"Abhd16a","ABHD16A",1791,20.2535,1984,20.7225,1609,19.1692,20.0484,"ABHD16A",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,1.45936122312595
"Abhd16b","ABHD16B",3,0.262325,1,0.0807632,0,0,0.114362733333,"ABHD16B",0.017708,0,0.024841,1,0,1,0.014183,1.09877875426131
"Abhd17a","ABHD17A",1543,35.8085,1615,34.6169,1432,35.0113,35.1455666667,"ABHD17A",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,4.89156887817809
"Abhd17b","ABHD17B",1336,6.38953,1370,6.0517,1170,5.89511,6.11211333333,"ABHD17B",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,2.81506606314746
"Abhd17c","ABHD17C",525,1.91558,552,1.86026,478,1.83743,1.87109,"ABHD17C",4.881013,3.750363,3.185882,225,242,149,3.939086,0.581299859933599
"Abhd18","ABHD18",959,1.63263,905,1.42303,804,1.44202,1.49922666667,"ABHD18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,0.239581475669827
"Abhd2","ABHD2",7430,12.4927,7511,11.6644,6700,11.8683,12.0084666667,"ABHD2",1.304402,1.438202,1.694681,300,309,284,1.479095,5.24726429067865
"Abhd3","ABHD3",538,1.29101,575,1.27441,531,1.34241,1.30261,"ABHD3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,1.3127283624907
"Abhd4","ABHD4",2599,24.5221,2698,23.5119,2384,23.6974,23.9104666667,"ABHD4",7.115654,8.510248,7.961919,372,402,389,7.862607,2.8107380443136
"Abhd5","ABHD5",1118,5.80017,1136,5.44342,953,5.20878,5.48412333333,"ABHD5",15.998376,19.309326,20.137932,581,531,496,18.481878,0.332828453875443
"Abhd6","ABHD6",696,2.0056,708,1.88435,682,2.07044,1.98679666667,"ABHD6",1.14656,1.497619,1.057626,62,71,46,1.233935,1.33701144691766
"Abhd8","ABHD8",1833,40.9291,1869,38.5455,1711,40.2498,39.9081333333,"ABHD8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,13.9146734108878
