"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"a","ASIP",5795,3.46455,6115,3.37664,5233,3.29601,3.37906666667,"ASIP",0,0,0,0,0,0,0,4.37906666667
"A130010J15Rik","C1orf74",436,6.91439,427,6.25446,376,6.28202,6.48362333333,"C1orf74",3.059035,1.407217,1.256387,110,117,22,1.90754633333333,2.57386210755598
"A1bg","A1BG",0,0,2,0.0109624,1,0.00625206,0.00573815333333,"A1BG",0,0,0,0,0,0,0,1.00573815333333
"A1cf","A1CF",7,0.0135415,8,0.014294,11,0.0224185,0.0167513333333,"A1CF",0,0,0,0,0,0,0,1.0167513333333
"A2m","A2M",429,1.5184,517,1.6901,392,1.4617,1.55673333333,"A2M",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,0.224934629161237
"A3galt2","A3GALT2",1523,16.9633,1564,16.0895,1462,17.1554,16.7360666667,"A3GALT2",0.056162,0.071851,0.07206,3,8,1,0.066691,16.6271831924147
"A430005L14Rik","C1orf174",152,5.0313,177,5.41134,134,4.67289,5.03851,"C1orf174",13.725912,11.458076,14.359148,168,253,60,13.1810453333333,0.425815576924089
"A4galt","A4GALT",973,6.02796,1075,6.15121,845,5.51516,5.89811,"A4GALT",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,1.40465358234235
"A4gnt","A4GNT",1,0.0157317,0,0,0,0,0.0052439,"A4GNT",0,0,0,0,0,0,0,1.0052439
"A530016L24Rik","C14orf180",6,0.0888601,13,0.177825,20,0.312054,0.192913033333,"C14orf180",0.035751,0.043282,0.104022,2,2,1,0.0610183333333333,1.12430953910598
"A730046J19Rik","SERTM2",6,0.0740266,4,0.0455818,4,0.0519925,0.0572003,"SERTM2",0.38989,0.358266,0.306792,37,53,9,0.351649333333333,0.782155751442435
"A830018L16Rik","C8orf34",2051,0.566635,2301,0.58715,1976,0.575133,0.576306,"C8orf34",9.668565,7.971168,8.413589,795,883,179,8.68444066666667,0.162766860189
"A930018P22Rik","C11orf91",0,0,3,0.217094,0,0,0.0723646666667,"C11orf91",0.07849,0.052749,0,1,1,0,0.0437463333333333,1.02741885879682
"AA467197","C15orf48",2,0.0738036,5,0.170417,3,0.116631,0.120283866667,"C15orf48",0.937943,0.404406,1.493315,9,7,4,0.945221333333333,0.575915885493236
"AA986860","C1orf116",131,1.60768,149,1.68893,117,1.51272,1.60311,"C1orf116",2.610775,2.026732,1.505597,67,129,28,2.04770133333333,0.854122407444999
"Aaas","AAAS",308,3.81824,314,3.59532,258,3.36958,3.59438,"AAAS",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,0.164035072801115
"Aacs","AACS",3532,13.1788,3958,13.6404,3304,12.9879,13.2690333333,"AACS",92.666198,156.723171,157.539085,567,1030,238,135.642818,0.104425783529289
