"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.75886,8.70448,4.91589,6.79307666666667,0.128319025049157
"A1CF","A1cf",0,0,0,0,0,0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,159.87694,155.32662,76.33832,130.51396,0.0107131871526541
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,6.29502,7.57152,5.00328,6.28994,0.328259171771876
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.14909,0.2487,0.21848,0.205423333333333,0.878769284373125
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,48.33913,49.18722,50.49166,49.3393366666667,0.518042728810954
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,17.37757,11.05331,37.49186,21.9742466666667,5.06558120005096
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0,0,0,0,1.03522666666667
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,8.6805,8.26235,7.23182,8.05822333333333,0.12202977993845
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,21.83378,19.06696,20.31902,20.4065866666667,0.960158898133534
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,20.98892,46.94893,36.53053,34.8227933333333,2.33283231774779
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,1.50749,0.9948,0.34957,0.95062,0.710511871439166
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,11.49669,10.25194,7.60324,9.78395666666667,0.965398970755013
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.76203,1.21586,1.52939,1.16909333333333,1.05644216938567
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,11.72862,11.93757,21.2148,14.96033,0.451999300766338
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,36.04727,17.10499,12.82501,21.9924233333333,1.06898640668151
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,4.655,3.06729,8.08391,5.26873333333333,1.26917085854665
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,42.17663,30.00973,45.9035,39.3632866666667,0.240029503709064
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,11.31447,10.69408,7.86543,9.95799333333333,0.20331152479864
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,65.91548,48.41349,45.72871,53.35256,0.112688068418488
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,110.09658,87.6251,129.53919,109.086956666667,0.531729429526423
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,184.41095,210.86949,239.78623,211.68889,0.439172198102747
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,8.0013,11.27437,2.40332,7.22633,0.754850218748822
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.61294,0.35923,0.24033,0.404166666666667,0.718979703264095
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,11.9771,6.54909,7.55955,8.69524666666667,0.122482288571651
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,653.80406,399.10733,391.13012,481.34717,0.146546574880219
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,59.28915,43.854,59.47136,54.2048366666667,0.261941438585303
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.14909,1.2435,4.87219,2.08826,0.582686367080492
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,13.94844,10.58354,13.54601,12.6926633333333,0.665408896589147
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,3.2966,1.10533,0.74285,1.71492666666667,0.583090887660563
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,25.04755,30.28607,84.07266,46.46876,0.069243105009133
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,21.83378,9.45058,8.78306,13.3558066666667,0.282478147054084
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,4.27399,5.11216,7.20997,5.53204,0.420264981026856
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,56.67174,57.67064,29.77937,48.0405833333333,0.592543475047027
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,4.88692,5.44375,6.03016,5.45361,0.955955297371032
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,0,0.13817,0,0.0460566666666667,0.95839868458369
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.6295,3.48179,2.20669,2.10599333333333,0.697886451784614
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0.08283,0,0.08739,0.05674,0.949367551778741
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,81.18919,69.71874,70.61404,73.8406566666667,0.106410045306479
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,9.39283,10.44538,6.99149,8.94323333333333,0.87070543786897
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,32.81693,34.40342,28.81804,32.0127966666667,0.659782454056452
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,28.26133,22.82508,50.88493,33.9904466666667,0.464611007156811
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,4.15803,4.17262,3.45205,3.92756666666667,2.28289331448247
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,43.66756,37.52598,47.14886,42.7808,0.061206510616526
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.19879,0.11053,5.26547,1.85826333333333,0.509721637497828
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.76203,0.4974,0.26218,0.507203333333333,0.719788084332793
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.34788,1.1606,1.76972,1.09273333333333,0.876030231595043
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,56.07537,36.86278,41.27163,44.7365933333333,2.48847858366947
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,1.49093,1.93433,0.74285,1.38937,0.582974173108393
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,4.50591,6.68725,4.85035,5.34783666666667,0.384195087985356
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,5.74835,9.11898,4.91589,6.59440666666667,0.503236065841439
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,2.31922,2.81859,2.81844,2.65208333333333,6.16384584141472
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,15.57189,20.36572,16.73588,17.55783,1.10196122068151
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,152.14069,105.3933,111.73274,123.08891,0.0417080919371978
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,13.71652,12.73894,10.83681,12.4307566666667,1.62818468654161
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,49.05146,56.31661,38.89016,48.0860766666667,0.840883650441812
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,28.19506,21.08419,28.0315,25.77025,1.06037007498996
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,78.67118,63.80522,52.65465,65.0436833333333,2.54415430595053
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,18.12303,12.51787,7.14443,12.59511,1.45709918247566
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,17.85798,27.32931,8.2587,17.81533,1.02623924214989
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.28162,0.1658,0.28403,0.243816666666667,0.817462380575916
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0.29819,0,0.15294,0.150376666666667,0.883673463474282
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,10.0886,9.45058,8.8923,9.47716,0.170277727933906
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,22.52954,22.41058,17.95939,20.9665033333333,0.358464835322751
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,16.91372,21.94082,33.27512,24.04322,0.598570750885869
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,139.31873,160.19007,140.39784,146.635546666667,1.57887658898047
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,2.55114,2.18303,2.97138,2.56851666666667,2.27459990378822
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,100.62092,85.88421,147.54227,111.349133333333,0.154156913834671
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,17.4604,16.66286,17.12915,17.0841366666667,0.406799992848244
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,2.79963,4.11736,1.83527,2.91742,0.34550554531639
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,76.41823,54.02305,65.08639,65.17589,0.638884554480491
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,8.61424,10.05851,6.77301,8.48192,0.105463872295906
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,19.76305,20.08939,15.7964,18.5496133333333,1.07291158699814
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,9.04495,19.39856,10.05027,12.83126,2.17946762141217
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,36.0804,28.37937,21.43328,28.6310166666667,0.884958812865573
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,7.91847,8.78738,8.08391,8.26325333333333,1.72695025073984
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,19.4483,16.1931,16.18967,17.2770233333333,0.962068075636678
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,83.24335,93.48336,137.25167,104.65946,0.62218383159129
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,43.51847,43.99217,49.00597,45.5055366666667,1.76521040756366
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,73.75113,74.22297,58.16045,68.7115166666667,0.989806753594755
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,6.44411,3.67523,2.97138,4.36357333333333,0.792503878011674
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,25.67705,28.43464,26.69875,26.9368133333333,0.559645850803313
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,8.54797,5.94115,4.17305,6.22072333333333,1.47257315402843
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,67.88682,57.25614,45.24804,56.797,0.346401923975293
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,193.90317,178.5662,144.28686,172.252076666667,0.676906928080497
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,18.85193,25.06338,17.26024,20.39185,0.27994203399893
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,0.89456,2.68043,0.69915,1.42471333333333,0.415567613491079
