"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,14.4996,14.4996,0.0645177940075873
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,162.84087,162.84087,0.00859940298575482
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,72.86389,72.86389,0.0323972873168021
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.02091,0.02091,1.03759293179614
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,30.26413,30.26413,0.834116520540739
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,31.73813,31.73813,3.55481244652642
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0,0,1.03522666666667
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,3.94113,3.94113,0.223708544401787
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,29.97142,29.97142,0.663635205188095
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,5.18515,5.18515,13.5111630275741
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,1.03494,1.03494,0.681071022569052
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,18.44073,18.44073,0.535515933129397
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,4.22339,4.22339,0.43870391961287
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,8.61404,8.61404,0.75036696331615
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,51.0779,51.0779,0.471958124271524
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,3.3348,3.3348,1.83540040294054
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,24.47265,24.47265,0.380344395524873
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,7.33866,7.33866,0.267175581368389
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,42.6834,42.6834,0.140210812345193
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,173.04391,173.04391,0.336331645655781
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,14.94912,14.94912,5.85656433291199
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,3.21981,3.21981,1.47154658622071
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.31362,0.31362,0.768538339347249
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,3.9934,3.9934,0.237813113309569
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,190.96195,190.96195,0.368230921110494
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,75.62373,75.62373,0.188720052304075
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.33453,0.33453,1.34840505646183
