"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,0,0,1
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,723.94074,723.94074,0.00194351564055659
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,7.94469,7.94469,0.267531872727469
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.10121,0.10121,0.961931874937569
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,40.00176,40.00176,0.636019705820758
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,7.10974,7.10974,14.350387558664
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0.11386,0.11386,0.929404652888753
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,4.46572,4.46572,0.202237399647256
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,32.38599,32.38599,0.615639214732487
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,11.08208,11.08208,6.91673701879147
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.08856,0.08856,1.2731853702751
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,11.34775,11.34775,0.843135038097359
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.11386,0.11386,2.05727978980003
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,2.13798,2.13798,2.29894964276382
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,28.29979,28.29979,0.838865671050885
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,8.52662,8.52662,0.835143384187326
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,40.52044,40.52044,0.233340004746257
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,43.22771,43.22771,0.0503730881235617
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,24.35275,24.35275,0.241586612892093
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,0.83495,0.83495,31.9008554274867
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,46.07413,46.07413,1.98425435230207
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,15.72492,15.72492,0.371281118235543
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.0253,0.0253,0.9846555479697
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,1.08797,1.08797,0.568732309372261
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,0.78435,0.78435,39.6146079337948
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,1.10062,1.10062,6.88388872491614
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.0506,0.0506,1.71281838949172
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,33.05648,33.05648,0.267532639897018
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,30.9185,30.9185,0.0495965975844729
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,1.44219,1.44219,1.34587576451191
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,93.07177,93.07177,0.0431075302045095
