"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.75886,8.70448,4.91589,6.79307666666667,0.128319025049157
"A1CF","A1cf",0,0,0,0,0,0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,159.87694,155.32662,76.33832,130.51396,0.0173037295812551
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,6.29502,7.57152,5.00328,6.28994,0.35293184854745
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.14909,0.2487,0.21848,0.205423333333333,0.848084352108665
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,48.33913,49.18722,50.49166,49.3393366666667,0.567527250557731
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,17.37757,11.05331,37.49186,21.9742466666667,5.57442543636541
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,8.6805,8.26235,7.23182,8.05822333333333,0.123081053054186
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,21.83378,19.06696,20.31902,20.4065866666667,1.13236318541209
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,20.98892,46.94893,36.53053,34.8227933333333,1.28573287324141
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,1.50749,0.9948,0.34957,0.95062,0.571302457680122
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,11.49669,10.25194,7.60324,9.78395666666667,1.41928070927585
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.76203,1.21586,1.52939,1.16909333333333,1.27823622158567
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,11.72862,11.93757,21.2148,14.96033,0.354722866005903
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,36.04727,17.10499,12.82501,21.9924233333333,1.21845673219598
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,4.655,3.06729,8.08391,5.26873333333333,1.1232408992779
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,42.17663,30.00973,45.9035,39.3632866666667,0.22855467831906
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,11.31447,10.69408,7.86543,9.95799333333333,0.253413854969797
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,65.91548,48.41349,45.72871,53.35256,0.126474901396855
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,110.09658,87.6251,129.53919,109.086956666667,0.494375809644055
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,184.41095,210.86949,239.78623,211.68889,0.409015037566529
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,8.0013,11.27437,2.40332,7.22633,0.546811518623736
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.61294,0.35923,0.24033,0.404166666666667,0.718300059347181
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,11.9771,6.54909,7.55955,8.69524666666667,0.115213021913831
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,653.80406,399.10733,391.13012,481.34717,0.129545589884287
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,59.28915,43.854,59.47136,54.2048366666667,0.1799826174651
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.14909,1.2435,4.87219,2.08826,0.638782140536526
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,13.94844,10.58354,13.54601,12.6926633333333,0.434762363007538
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,3.2966,1.10533,0.74285,1.71492666666667,0.527575576013103
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,25.04755,30.28607,84.07266,46.46876,0.0527909443319494
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,21.83378,9.45058,8.78306,13.3558066666667,0.176695841078941
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,4.27399,5.11216,7.20997,5.53204,0.333703916897835
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,56.67174,57.67064,29.77937,48.0405833333333,0.792848073109517
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,4.88692,5.44375,6.03016,5.45361,1.16214454648897
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0,0.13817,0,0.0460566666666667,1.0067851646023
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.6295,3.48179,2.20669,2.10599333333333,0.653484875477303
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.08283,0,0.08739,0.05674,0.946306565474951
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,81.18919,69.71874,70.61404,73.8406566666667,0.133656888900449
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,9.39283,10.44538,6.99149,8.94323333333333,0.828499482059826
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,32.81693,34.40342,28.81804,32.0127966666667,0.695493494997243
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,28.26133,22.82508,50.88493,33.9904466666667,0.375961933990745
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,4.15803,4.17262,3.45205,3.92756666666667,1.15615712961773
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,43.66756,37.52598,47.14886,42.7808,0.0512279279196969
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.19879,0.11053,5.26547,1.85826333333333,0.385483959373932
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.76203,0.4974,0.26218,0.507203333333333,0.668549255685475
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.34788,1.1606,1.76972,1.09273333333333,0.795396929056099
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,56.07537,36.86278,41.27163,44.7365933333333,1.17013733277613
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,1.49093,1.93433,0.74285,1.38937,0.515691165453655
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,4.50591,6.68725,4.85035,5.34783666666667,0.330230193908581
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,5.74835,9.11898,4.91589,6.59440666666667,0.402475330528345
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,2.31922,2.81859,2.81844,2.65208333333333,4.68766055904164
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,15.57189,20.36572,16.73588,17.55783,1.15199343529569
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,152.14069,105.3933,111.73274,123.08891,0.0381866249503414
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,13.71652,12.73894,10.83681,12.4307566666667,1.52581326393375
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,49.05146,56.31661,38.89016,48.0860766666667,0.612993867982795
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,28.19506,21.08419,28.0315,25.77025,1.23668794028197
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,78.67118,63.80522,52.65465,65.0436833333333,3.14075060925584
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,18.12303,12.51787,7.14443,12.59511,1.19225084117255
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,17.85798,27.32931,8.2587,17.81533,0.902648478660752
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.28162,0.1658,0.28403,0.243816666666667,0.832603947527101
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0.29819,0,0.15294,0.150376666666667,0.878334922184908
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,10.0886,9.45058,8.8923,9.47716,0.210927229643657
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,22.52954,22.41058,17.95939,20.9665033333333,0.408217663530427
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,16.91372,21.94082,33.27512,24.04322,0.736815872719243
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,139.31873,160.19007,140.39784,146.635546666667,1.89491485158136
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,2.55114,2.18303,2.97138,2.56851666666667,2.10547473039685
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,100.62092,85.88421,147.54227,111.349133333333,0.13734345376941
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,17.4604,16.66286,17.12915,17.0841366666667,0.519854675580311
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,2.79963,4.11736,1.83527,2.91742,0.3428214658287
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,76.41823,54.02305,65.08639,65.17589,0.835114404959268
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,8.61424,10.05851,6.77301,8.48192,0.10689860281462
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,19.76305,20.08939,15.7964,18.5496133333333,0.635095272131555
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,9.04495,19.39856,10.05027,12.83126,3.020989748343
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,36.0804,28.37937,21.43328,28.6310166666667,1.27828815638568
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,7.91847,8.78738,8.08391,8.26325333333333,2.02746320946996
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,19.4483,16.1931,16.18967,17.2770233333333,1.08456473674506
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,83.24335,93.48336,137.25167,104.65946,0.858289618995466
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,43.51847,43.99217,49.00597,45.5055366666667,1.6195653979838
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,73.75113,74.22297,58.16045,68.7115166666667,0.684694274571084
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,6.44411,3.67523,2.97138,4.36357333333333,0.732217638489763
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,25.67705,28.43464,26.69875,26.9368133333333,0.410048915147087
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,8.54797,5.94115,4.17305,6.22072333333333,0.779236198404869
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,67.88682,57.25614,45.24804,56.797,0.237347486317052
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,193.90317,178.5662,144.28686,172.252076666667,0.397018321454271
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,18.85193,25.06338,17.26024,20.39185,0.221534961523509
"ABO","Abo",0,0,0,0,0,0,0,0.89456,2.68043,0.69915,1.42471333333333,0.412419887436865
