"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,0,0,1
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,723.94074,723.94074,0.00313912830999124
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,7.94469,7.94469,0.28764015298462
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.10121,0.10121,0.928343065052684
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,40.00176,40.00176,0.696773634432603
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,7.10974,7.10974,15.7919026997166
"AADAC","Aadac",0,0,0,0,0,0,0,0.11386,0.11386,0.897778895013736
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,4.46572,4.46572,0.203979652573982
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,32.38599,32.38599,0.726053972539579
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,11.08208,11.08208,3.81213690026883
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,0.08856,0.08856,1.02373227015507
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,11.34775,11.34775,1.23953446309382
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.11386,0.11386,2.48919403395998
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,2.13798,2.13798,1.80418422042205
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,28.29979,28.29979,0.956159515136457
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,8.52662,8.52662,0.739118141236521
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,40.52044,40.52044,0.222184976845139
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,43.22771,43.22771,0.0627865954021434
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,24.35275,24.35275,0.271143551159802
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,0.83495,0.83495,29.6598426841785
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,46.07413,46.07413,1.84799919474525
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,15.72492,15.72492,0.268955068245469
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.0253,0.0253,0.983724763483858
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,1.08797,1.08797,0.534978312268216
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,0.78435,0.78435,35.0188856819944
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,1.10062,1.10062,4.72998971732155
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.0506,0.0506,1.87771305285868
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,33.05648,33.05648,0.174799470370005
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,30.9185,30.9185,0.0448745711734574
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,1.44219,1.44219,1.02609570371948
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,93.07177,93.07177,0.0269646391614969
