"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.75886,8.70448,4.91589,6.79307666666667,0.128319025049157
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.31475,0,0,0.104916666666667,0.93728305302059
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,159.87694,155.32662,76.33832,130.51396,0.102108559425935
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,6.29502,7.57152,5.00328,6.28994,0.489316098623583
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14909,0.2487,0.21848,0.205423333333333,0.829584074198
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,48.33913,49.18722,50.49166,49.3393366666667,0.633494872565199
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,17.37757,11.05331,37.49186,21.9742466666667,5.87976030842651
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,8.6805,8.26235,7.23182,8.05822333333333,0.13651113334587
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,21.83378,19.06696,20.31902,20.4065866666667,1.02387927018102
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,20.98892,46.94893,36.53053,34.8227933333333,1.9829829574057
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,1.50749,0.9948,0.34957,0.95062,0.949494861462851
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,11.49669,10.25194,7.60324,9.78395666666667,1.2970206049913
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.76203,1.21586,1.52939,1.16909333333333,2.38521686480373
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,11.72862,11.93757,21.2148,14.96033,0.512214826802871
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,36.04727,17.10499,12.82501,21.9924233333333,1.02655238457538
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,4.655,3.06729,8.08391,5.26873333333333,1.01756457976625
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,42.17663,30.00973,45.9035,39.3632866666667,0.261305579178967
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,11.31447,10.69408,7.86543,9.95799333333333,0.251986312579128
