"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.87899,8.87899,0.10122492279069
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0,0,1.03561966666667
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,91.00966,91.00966,0.145948816678597
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,3.21552,3.21552,0.846179119064789
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14522,0.14522,0.873194670019734
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,41.49062,41.49062,0.750511799231611
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,19.77028,19.77028,6.50367080591435
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,9.04495,9.04495,0.123101492126226
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,13.06954,13.06954,1.55781641285595
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,24.23052,24.23052,2.81547858175997
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,1.70112,1.70112,0.685679890810725
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,10.64234,10.64234,1.20139198820856
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,3.92086,3.92086,1.05139304918246
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,13.38072,13.38072,0.568477633016057
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,16.24358,16.24358,1.36879505299943
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,2.40646,2.40646,1.87257181942544
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,24.45872,24.45872,0.414284457348995
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,13.17327,13.17327,0.194821966513961
"AATF","Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,41.20018,41.20018,0.238288241108608
"AATK","Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,483.11672,483.11672,0.164259493729804
"ABAT","Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,82.52483,82.52483,1.648740967207
"ABCA1","Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,2.48944,2.48944,2.00435733718495
"ABCA13","Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.37342,0.37342,0.738341269725697
"ABCA17P","Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,10.01998,10.01998,0.0931734298368358
"ABCA2","Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,1729.4948,1729.4948,0.0768248008218998
"ABCA3","Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,41.46987,41.46987,0.37871191191936
"ABCA4","Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,0.04149,0.04149,3.80043847436525
"ABCA5","Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,15.64196,15.64196,0.775144273871587
"ABCA6","Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,9.25241,9.25241,0.151913550082371
"ABCA7","Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,20.53785,20.53785,0.351322764342773
"ABCA8","Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,43.39918,43.39918,0.109165627233056
"ABCA9","Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,3.17403,3.17403,0.536663049059702
"ABCB1","Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,22.50866,22.50866,1.2400751467757
"ABCB10","Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,4.64695,4.64695,1.47068346629596
"ABCB11","Abcb11",0,0,0,0,0,0,0,0.14522,0.14522,0.873194670019734
"ABCB4","Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,2.38571,2.38571,0.613160508923288
"ABCB5","Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,0.08298,0.08298,0.93184423227268
"ABCB6","Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,42.36192,42.36192,0.213249013573815
"ABCB7","Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,9.43911,9.43911,1.21382135705694
"ABCB8","Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,23.23474,23.23474,0.828651307998353
"ABCB9","Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,23.31773,23.31773,0.734218503673383
"ABCC1","Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,2.15751,2.15751,4.30392661728176
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,32.79833,32.79833,0.0949650470896047
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0.85056,0.85056,1.33204201250793
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.47714,0.47714,0.715583943747151
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,3.25701,3.25701,0.365956935345074
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,24.9566,24.9566,3.58859362679755
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.18671,0.18671,2.34910579108066
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,2.36497,2.36497,1.01960037286117
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,4.41875,4.41875,0.7264123029604
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.6846,0.6846,18.0489198227077
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,18.04842,18.04842,1.3982431438758
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,110.40653,110.40653,0.0550574818190639
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,12.79985,12.79985,1.68079768982996
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,50.45259,50.45259,1.04272640113938
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,18.83674,18.83674,1.71641605425085
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,38.0054,38.0054,6.00550988666527
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,17.71649,17.71649,1.76385812724501
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,17.34308,17.34308,1.04986498087199
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.10373,0.10373,0.939960557986706
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0.18671,0.18671,0.847650788033021
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,7.0949,7.0949,0.270234592150613
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,14.95737,14.95737,0.937507141423263
