"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,0,0,1
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0,0,1.03561966666667
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,723.94074,723.94074,0.018523860308913
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,7.94469,7.94469,0.398793585915219
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.10121,0.10121,0.908092007882239
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,40.00176,40.00176,0.777764458566331
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,7.10974,7.10974,16.6568920417506
"AADAC","Aadac",0,0,0,0,0,0,0,0.11386,0.11386,0.897778895013736
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,4.46572,4.46572,0.226237043488019
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,32.38599,32.38599,0.656495743673719
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,11.08208,11.08208,5.87945028229135
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.08856,0.08856,1.7014254305382
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,11.34775,11.34775,1.13275811382641
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.11386,0.11386,4.64489074030848
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,2.13798,2.13798,2.60521662555742
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,28.29979,28.29979,0.805566422148418
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,8.52662,8.52662,0.669580711731968
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,40.52044,40.52044,0.254023126922547
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,43.22771,43.22771,0.0624329031128524
"AATF","Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,24.35275,24.35275,0.3966357364257
"AATK","Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,0.83495,0.83495,43.3367488669083
"ABAT","Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,46.07413,46.07413,2.9254031673023
"ABCA1","Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,15.72492,15.72492,0.418183445222259
"ABCA13","Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.0253,0.0253,0.989030202542345
"ABCA17P","Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,1.08797,1.08797,0.491754830449352
