"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.75886,8.70448,4.91589,6.79307666666667,0.128319025049157
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0.31475,0,0,0.104916666666667,0.92425492118561
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,159.87694,155.32662,76.33832,130.51396,0.0324665077380378
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,6.29502,7.57152,5.00328,6.28994,3.2726043927202
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14909,0.2487,0.21848,0.205423333333333,0.829584074198
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,48.33913,49.18722,50.49166,49.3393366666667,0.681353674306793
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,17.37757,11.05331,37.49186,21.9742466666667,23.3341738735285
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,8.6805,8.26235,7.23182,8.05822333333333,0.128316148825358
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,21.83378,19.06696,20.31902,20.4065866666667,1.07154997153524
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,20.98892,46.94893,36.53053,34.8227933333333,1.62949354033251
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,1.50749,0.9948,0.34957,0.95062,1.12145352076092
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,11.49669,10.25194,7.60324,9.78395666666667,1.17472189397398
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.76203,1.21586,1.52939,1.16909333333333,1.4858713625355
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,11.72862,11.93757,21.2148,14.96033,0.513747063291715
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,36.04727,17.10499,12.82501,21.9924233333333,0.905084385044523
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,4.655,3.06729,8.08391,5.26873333333333,1.28886351309674
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,42.17663,30.00973,45.9035,39.3632866666667,0.263067403001374
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,11.31447,10.69408,7.86543,9.95799333333333,0.12739090307897
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,65.91548,48.41349,45.72871,53.35256,0.169107882560331
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,110.09658,87.6251,129.53919,109.086956666667,0.981350830329975
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,184.41095,210.86949,239.78623,211.68889,0.129189973204524
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,8.0013,11.27437,2.40332,7.22633,1.85960012950287
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.61294,0.35923,0.24033,0.404166666666667,0.734710741839762
"ABCA17P","Abca17",0.241964,0.12923,0.257969,35,5,6,0.209721,11.9771,6.54909,7.55955,8.69524666666667,0.124774649020448
"ABCA2","Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,653.80406,399.10733,391.13012,481.34717,0.146293608398283
"ABCA3","Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,59.28915,43.854,59.47136,54.2048366666667,0.554304903598121
"ABCA4","Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,0.14909,1.2435,4.87219,2.08826,0.41226623837803
"ABCA5","Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,13.94844,10.58354,13.54601,12.6926633333333,1.73311189276788
"ABCA6","Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,3.2966,1.10533,0.74285,1.71492666666667,8.14721600828997
"ABCA7","Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,25.04755,30.28607,84.07266,46.46876,0.618138188849537
"ABCA8","Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,21.83378,9.45058,8.78306,13.3558066666667,0.977531182504083
"ABCA9","Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,4.27399,5.11216,7.20997,5.53204,0.583429270692362
"ABCB1","Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,56.67174,57.67064,29.77937,48.0405833333333,0.706687175757493
"ABCB10","Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,4.88692,5.44375,6.03016,5.45361,1.00014968366542
"ABCB11","Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,0,0.13817,0,0.0460566666666667,0.959923777233228
"ABCB4","Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,0.6295,3.48179,2.20669,2.10599333333333,1.19348871751174
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.08283,0,0.08739,0.05674,0.946306565474951
"ABCB6","Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,81.18919,69.71874,70.61404,73.8406566666667,0.138871625792345
"ABCB7","Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,9.39283,10.44538,6.99149,8.94323333333333,0.834923080017566
"ABCB8","Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,32.81693,34.40342,28.81804,32.0127966666667,0.816847295276105
"ABCB9","Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,28.26133,22.82508,50.88493,33.9904466666667,0.447865141094703
"ABCC1","Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,4.15803,4.17262,3.45205,3.92756666666667,1.96340769954068
"ABCC10","Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,43.66756,37.52598,47.14886,42.7808,0.0816237863781993
"ABCC12","Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.19879,0.11053,5.26547,1.85826333333333,0.538578554110363
"ABCC2","Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,0.76203,0.4974,0.26218,0.507203333333333,0.709993121918962
"ABCC3","Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.34788,1.1606,1.76972,1.09273333333333,0.835494090662929
"ABCC5","Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,56.07537,36.86278,41.27163,44.7365933333333,4.33234231554048
