"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.87899,8.87899,0.10122492279069
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0,0,1.02122466666667
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,91.00966,91.00966,0.0464059860671151
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,3.21552,3.21552,5.65934681051606
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14522,0.14522,0.873194670019734
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,41.49062,41.49062,0.807210909137123
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,19.77028,19.77028,25.8101993007958
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,9.04495,9.04495,0.115711510095454
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,13.06954,13.06954,1.63034664483226
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,24.23052,24.23052,2.31358728767117
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,1.70112,1.70112,0.809860230817834
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,10.64234,10.64234,1.0881102939787
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,3.92086,3.92086,0.654965527705862
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,13.38072,13.38072,0.570178173740026
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,16.24358,16.24358,1.20683079345086
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,2.40646,2.40646,2.37182930862733
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,24.45872,24.45872,0.417077724253222
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,13.17327,13.17327,0.0984916442477048
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,41.20018,41.20018,0.217805856120361
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,483.11672,483.11672,0.223156775773688
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,82.52483,82.52483,0.328971301108904
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,2.48944,2.48944,4.38399408883183
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.37342,0.37342,0.751158664744458
