"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,14.4996,14.4996,0.0645177940075873
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0,0,1.02122466666667
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,162.84087,162.84087,0.0260606465285493
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,72.86389,72.86389,0.322987181783503
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,30.26413,30.26413,1.09706849350997
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,31.73813,31.73813,16.3749446389679
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,3.94113,3.94113,0.235232898817342
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,29.97142,29.97142,0.740625626249405
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,5.18515,5.18515,9.43760625584397
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,1.03494,1.03494,1.07498484803811
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,18.44073,18.44073,0.651629336964198
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,4.22339,4.22339,0.617031021360968
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,8.61404,8.61404,0.85287482334863
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,51.0779,51.0779,0.399595285780213
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,3.3348,3.3348,1.86387876411061
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,24.47265,24.47265,0.416849640693057
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,7.33866,7.33866,0.167406833551994
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,42.6834,42.6834,0.21041050681342
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,173.04391,173.04391,0.620727989467332
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,14.94912,14.94912,1.72280802953392
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,3.21981,3.21981,3.6252069011006
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.31362,0.31362,0.785353704521348
"ABCA17P","Abca17",0.241964,0.12923,0.257969,35,5,6,0.209721,3.9934,3.9934,0.242263988464774
"ABCA2","Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,190.96195,190.96195,0.367595286461718
"ABCA3","Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,75.62373,75.62373,0.39935815793184
"ABCA4","Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,0.33453,0.33453,0.954032755601847
"ABCA5","Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,12.96287,12.96287,1.69957305816545
"ABCA6","Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,12.28337,12.28337,1.66517186527214
