"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,0,0,1
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0,0,1.02122466666667
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,723.94074,723.94074,0.00588985935595232
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,7.94469,7.94469,2.6671790376935
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.10121,0.10121,0.908092007882239
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,40.00176,40.00176,0.836522432207788
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,7.10974,7.10974,66.1038536788273
"AADAC","Aadac",0,0,0,0,0,0,0,0.11386,0.11386,0.897778895013736
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,4.46572,4.46572,0.212655667200906
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,32.38599,32.38599,0.687061468997425
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,11.08208,11.08208,4.83137095047652
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.08856,0.08856,2.00956278631097
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,11.34775,11.34775,1.02594804721508
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,0.11386,0.11386,2.89353569269627
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,2.13798,2.13798,2.61300985559712
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,28.29979,28.29979,0.710246842497278
