"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,16.26198,16.26198,0.0579307819844537
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0,0,1.02122466666667
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,200.41955,200.41955,0.0211985331116071
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,6.95168,6.95168,3.00025776523536
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,1
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,45.86871,45.86871,0.731807894862052
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,9.62064,9.62064,50.4757779506069
"AADAC","Aadac",0,0,0,0,0,0,0,0.46551,0.46551,0.682356312819428
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,6.67238,6.67238,0.151493582608439
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,10.5827,10.5827,1.98038689885202
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,15.29991,15.29991,3.58118605153853
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.24827,0.24827,1.75244912291945
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,9.86891,9.86891,1.16554005875474
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,1.0862,1.0862,1.54491116224076
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,9.43443,9.43443,0.785818934687057
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,4.28273,4.28273,3.9392668815808
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,2.54481,2.54481,2.27925944314834
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,19.98609,19.98609,0.505966809443779
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,11.73097,11.73097,0.109649827677441
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,73.61338,73.61338,0.123187641859052
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,251.03651,251.03651,0.428643954533942
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,65.91687,65.91687,0.410618010077279
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,3.19653,3.19653,3.64531752026873
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.43448,0.43448,0.719184884650419
"ABCA17P","Abca17",0.241964,0.12923,0.257969,35,5,6,0.209721,11.82407,11.82407,0.094332064625349
