"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,6.75886,8.70448,4.91589,6.79307666666667,0.133091295136752
"A1CF","A1cf",0,0,0,0,0,0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2M","A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,159.87694,155.32662,76.33832,130.51396,0.00804840287170528
"A4GALT","A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,6.29502,7.57152,5.00328,6.28994,0.24769124757314
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14909,0.2487,0.21848,0.205423333333333,0.829584074198
"AAAS","Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,48.33913,49.18722,50.49166,49.3393366666667,0.134884071111783
"AACS","Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,17.37757,11.05331,37.49186,21.9742466666667,0.194745928557106
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0,0,0,0,0,0,0,8.6805,8.26235,7.23182,8.05822333333333,0.110396924783263
"AAGAB","Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,21.83378,19.06696,20.31902,20.4065866666667,0.224694268555348
"AAK1","Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,20.98892,46.94893,36.53053,34.8227933333333,0.220695733945185
"AANAT","Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.50749,0.9948,0.34957,0.95062,0.516754331101564
"AAR2","Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,11.49669,10.25194,7.60324,9.78395666666667,0.318314613652936
"AARD","Aard",0,0.027521,0,0,1,0,0.00917366666666667,0.76203,1.21586,1.52939,1.16909333333333,0.465251379992869
"AARS2","Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,11.72862,11.93757,21.2148,14.96033,0.205891941666202
"AARSD1","Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,36.04727,17.10499,12.82501,21.9924233333333,0.333180249087852
"AASDH","Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,4.655,3.06729,8.08391,5.26873333333333,0.758001084748647
"AASDHPPT","Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,42.17663,30.00973,45.9035,39.3632866666667,0.11151239253229
"AASS","Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,11.31447,10.69408,7.86543,9.95799333333333,0.0969249844405819
"AATF","Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,65.91548,48.41349,45.72871,53.35256,0.0538388378885312
"AATK","Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,110.09658,87.6251,129.53919,109.086956666667,0.0144201733617428
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,184.41095,210.86949,239.78623,211.68889,0.0148032759648768
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,8.0013,11.27437,2.40332,7.22633,0.330994420760331
"ABCA13","Abca13",0,0,0,0,0,0,0,0.61294,0.35923,0.24033,0.404166666666667,0.712166172106825
"ABCA17P","Abca17",0,0,0,0,0,0,0,11.9771,6.54909,7.55955,8.69524666666667,0.103143327279966
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,653.80406,399.10733,391.13012,481.34717,0.0170200611591301
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,59.28915,43.854,59.47136,54.2048366666667,0.0415833189978342
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.14909,1.2435,4.87219,2.08826,0.545022763627415
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,13.94844,10.58354,13.54601,12.6926633333333,0.114610208532599
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,3.2966,1.10533,0.74285,1.71492666666667,0.875760180139918
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,25.04755,30.28607,84.07266,46.46876,0.0339556443718634
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,21.83378,9.45058,8.78306,13.3558066666667,0.161176035156041
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,4.27399,5.11216,7.20997,5.53204,0.42161182928049
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,56.67174,57.67064,29.77937,48.0405833333333,0.359591229712806
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,4.88692,5.44375,6.03016,5.45361,0.807817485097488
"ABCB11","Abcb11",0,0,0,0,0,0,0,0,0.13817,0,0.0460566666666667,0.955971155163678
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.6295,3.48179,2.20669,2.10599333333333,1.34245834397584
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.08283,0,0.08739,0.05674,0.946306565474951
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,81.18919,69.71874,70.61404,73.8406566666667,0.0751784379942863
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,9.39283,10.44538,6.99149,8.94323333333333,0.474000274893814
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,32.81693,34.40342,28.81804,32.0127966666667,0.524479517488117
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,28.26133,22.82508,50.88493,33.9904466666667,0.0629375122771606
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,4.15803,4.17262,3.45205,3.92756666666667,1.18493346952857
