"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.75886,8.70448,4.91589,6.79307666666667,0.128319025049157
"A1CF","A1cf",0,0,0,0,0,0,0,0.31475,0,0,0.104916666666667,0.905045629383815
"A2M","A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,159.87694,155.32662,76.33832,130.51396,0.0864285560762269
"A4GALT","A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,6.29502,7.57152,5.00328,6.28994,0.673654058423892
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14909,0.2487,0.21848,0.205423333333333,0.829584074198
"AAAS","Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,48.33913,49.18722,50.49166,49.3393366666667,0.556394346608063
"AACS","Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,17.37757,11.05331,37.49186,21.9742466666667,5.94765173294039
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,8.6805,8.26235,7.23182,8.05822333333333,0.130050962900377
"AAGAB","Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,21.83378,19.06696,20.31902,20.4065866666667,0.775044939439201
"AAK1","Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,20.98892,46.94893,36.53053,34.8227933333333,1.37168056315727
"AANAT","Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,1.50749,0.9948,0.34957,0.95062,1.9739038527921
"AAR2","Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,11.49669,10.25194,7.60324,9.78395666666667,1.09108629578445
"AARD","Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.76203,1.21586,1.52939,1.16909333333333,3.62601931990017
"AARS2","Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,11.72862,11.93757,21.2148,14.96033,0.526013747836041
"AARSD1","Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,36.04727,17.10499,12.82501,21.9924233333333,0.932016213456984
"AASDH","Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,4.655,3.06729,8.08391,5.26873333333333,1.49475167763823
"AASDHPPT","Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,42.17663,30.00973,45.9035,39.3632866666667,0.194692420983888
"AASS","Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,11.31447,10.69408,7.86543,9.95799333333333,0.173639364628195
"AATF","Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,65.91548,48.41349,45.72871,53.35256,0.108144222338991
"AATK","Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,110.09658,87.6251,129.53919,109.086956666667,1.04382519491334
"ABAT","Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,184.41095,210.86949,239.78623,211.68889,0.673013631945389
"ABCA1","Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,8.0013,11.27437,2.40332,7.22633,0.794936462148572
"ABCA13","Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.61294,0.35923,0.24033,0.404166666666667,0.726021839762611
"ABCA17P","Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,11.9771,6.54909,7.55955,8.69524666666667,0.115893080251697
"ABCA2","Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,653.80406,399.10733,391.13012,481.34717,0.398067039555762
"ABCA3","Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,59.28915,43.854,59.47136,54.2048366666667,0.272791985436542
"ABCA4","Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.14909,1.2435,4.87219,2.08826,0.440411644960809
"ABCA5","Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,13.94844,10.58354,13.54601,12.6926633333333,0.749261100652685
"ABCA6","Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,3.2966,1.10533,0.74285,1.71492666666667,0.714979778459332
"ABCA7","Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,25.04755,30.28607,84.07266,46.46876,0.15105480600996
"ABCA8","Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,21.83378,9.45058,8.78306,13.3558066666667,0.250607164301925
"ABCA9","Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,4.27399,5.11216,7.20997,5.53204,0.332539094473804
"ABCB1","Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,56.67174,57.67064,29.77937,48.0405833333333,1.2388009726638
"ABCB10","Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,4.88692,5.44375,6.03016,5.45361,1.4340640871285
"ABCB11","Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0,0.13817,0,0.0460566666666667,1.01341769247683
"ABCB4","Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,0.6295,3.48179,2.20669,2.10599333333333,0.738062326813322
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.08283,0,0.08739,0.05674,0.946306565474951
"ABCB6","Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,81.18919,69.71874,70.61404,73.8406566666667,0.155714454135602
"ABCB7","Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,9.39283,10.44538,6.99149,8.94323333333333,0.802317019614679
"ABCB8","Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,32.81693,34.40342,28.81804,32.0127966666667,0.885003623342423
"ABCB9","Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,28.26133,22.82508,50.88493,33.9904466666667,0.420326891130474
"ABCC1","Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,4.15803,4.17262,3.45205,3.92756666666667,1.3012440217281
"ABCC10","Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,43.66756,37.52598,47.14886,42.7808,0.104290594659455
"ABCC12","Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.19879,0.11053,5.26547,1.85826333333333,0.602174047411074
"ABCC2","Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,0.76203,0.4974,0.26218,0.507203333333333,0.70773397086436
"ABCC3","Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.34788,1.1606,1.76972,1.09273333333333,0.788556592653945
"ABCC5","Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,56.07537,36.86278,41.27163,44.7365933333333,3.48195202266194
"ABCC6","Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,1.49093,1.93433,0.74285,1.38937,0.90148421271437
"ABCC9","Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,4.50591,6.68725,4.85035,5.34783666666667,0.472765629865503
"ABCD1","Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,5.74835,9.11898,4.91589,6.59440666666667,0.569289678983041
"ABCD2","Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,2.31922,2.81859,2.81844,2.65208333333333,7.50005430690245
"ABCD3","Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,15.57189,20.36572,16.73588,17.55783,1.24350862502063
"ABCD4","Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,152.14069,105.3933,111.73274,123.08891,0.0778487188473705
"ABCE1","Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,13.71652,12.73894,10.83681,12.4307566666667,1.4370223618575
"ABCF1","Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,49.05146,56.31661,38.89016,48.0860766666667,0.734627015413672
"ABCF2","Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,28.19506,21.08419,28.0315,25.77025,1.06181417805213
"ABCF3","Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,78.67118,63.80522,52.65465,65.0436833333333,3.78085377834519
"ABCG1","Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,18.12303,12.51787,7.14443,12.59511,1.2979039767485
"ABCG2","Abcg2",29.071391,25.795465,21.358509,625,771,199,25.408455,17.85798,27.32931,8.2587,17.81533,1.4035605540801
"ABCG5","Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.28162,0.1658,0.28403,0.243816666666667,0.880481046242077
"ABCG8","Abcg8",0.024937,0.008273,0,2,1,0,0.01107,0.29819,0,0.15294,0.150376666666667,0.87890343162964
"ABHD1","Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,10.0886,9.45058,8.8923,9.47716,0.18914578632632
"ABHD10","Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,22.52954,22.41058,17.95939,20.9665033333333,0.56040016079027
"ABHD11","Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,16.91372,21.94082,33.27512,24.04322,0.616106208919354
"ABHD12","Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,139.31873,160.19007,140.39784,146.635546666667,1.40504030149559
"ABHD13","Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,2.55114,2.18303,2.97138,2.56851666666667,1.59658877871758
"ABHD14A","Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,100.62092,85.88421,147.54227,111.349133333333,0.125822632068961
"ABHD14B","Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,17.4604,16.66286,17.12915,17.0841366666667,0.819711880080535
"ABHD15","Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,2.79963,4.11736,1.83527,2.91742,0.410175319470468
"ABHD16A","Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,76.41823,54.02305,65.08639,65.17589,0.819656897197252
"ABHD16B","Abhd16b",0,0.018444,0,0,1,0,0.006148,8.61424,10.05851,6.77301,8.48192,0.106112264182782
"ABHD2","Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,19.76305,20.08939,15.7964,18.5496133333333,0.594107044572408
"ABHD3","Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,9.04495,19.39856,10.05027,12.83126,3.34824361627213
"ABHD4","Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,36.0804,28.37937,21.43328,28.6310166666667,1.52715893987213
"ABHD5","Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,7.91847,8.78738,8.08391,8.26325333333333,2.6550119540435
"ABHD6","Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,19.4483,16.1931,16.18967,17.2770233333333,0.961405549809625
"ABHD8","Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,83.24335,93.48336,137.25167,104.65946,0.493065063301794
"ABI1","Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,43.51847,43.99217,49.00597,45.5055366666667,1.19288973549458
"ABI2","Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,73.75113,74.22297,58.16045,68.7115166666667,0.335711798935183
"ABI3","Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,6.44411,3.67523,2.97138,4.36357333333333,0.822292600952599
"ABL1","Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,25.67705,28.43464,26.69875,26.9368133333333,0.600997381710441
"ABL2","Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,8.54797,5.94115,4.17305,6.22072333333333,0.898598755341686
"ABLIM1","Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,67.88682,57.25614,45.24804,56.797,0.292244874301434
"ABLIM2","Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,193.90317,178.5662,144.28686,172.252076666667,0.466862981132521
"ABLIM3","Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,18.85193,25.06338,17.26024,20.39185,0.191561505900612
"ABO","Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,0.89456,2.68043,0.69915,1.42471333333333,0.427033848674895
