"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.87899,8.87899,0.10122492279069
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,91.00966,91.00966,0.123536611989074
"A4GALT","A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,3.21552,3.21552,1.16495655735631
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.14522,0.14522,0.873194670019734
"AAAS","Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,41.49062,41.49062,0.659169537496354
"AACS","Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,19.77028,19.77028,6.57876629491755
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,9.04495,9.04495,0.117275911444723
"AAGAB","Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,13.06954,13.06954,1.179218842028
"AAK1","Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,24.23052,24.23052,1.94753930292889
"AANAT","Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,1.70112,1.70112,1.42545919223631
"AAR2","Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,10.64234,10.64234,1.01064110250459
"AARD","Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,3.92086,3.92086,1.59833328591615
"AARS2","Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,13.38072,13.38072,0.583792257967612
"AARSD1","Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,16.24358,16.24358,1.24274143381672
"AASDH","Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,2.40646,2.40646,2.75071472046249
"AASDHPPT","Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,24.45872,24.45872,0.308673256157419
"AASS","Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,13.17327,13.17327,0.134248412681054
"AATF","Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,41.20018,41.20018,0.139286499093922
"AATK","Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,483.11672,483.11672,0.23736329329836
"ABAT","Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,82.52483,82.52483,1.71377208829199
"ABCA1","Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,2.48944,2.48944,1.87405705977654
"ABCA13","Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.37342,0.37342,0.742275244766107
"ABCA17P","Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,10.01998,10.01998,0.101961346572317
"ABCA2","Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,1729.4948,1729.4948,0.110954687641939
"ABCA3","Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,41.46987,41.46987,0.354591078333887
"ABCA4","Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.04149,0.04149,1.305922924528
"ABCA5","Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,15.64196,15.64196,0.616476665008208
"ABCA6","Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,9.25241,9.25241,0.189332817031963
"ABCA7","Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,20.53785,20.53785,0.332920153744841
"ABCA8","Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,43.39918,43.39918,0.0810300550595754
"ABCA9","Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,3.17403,3.17403,0.520398431891162
"ABCB1","Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,22.50866,22.50866,2.58421885098229
"ABCB10","Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,4.64695,4.64695,1.6389184131847
"ABCB11","Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0.14522,0.14522,0.92566697519545
"ABCB4","Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,2.38571,2.38571,0.677085948491355
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.08298,0.08298,0.923378086391254
"ABCB6","Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,42.36192,42.36192,0.268755903797618
"ABCB7","Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,9.43911,9.43911,0.764205505386315
"ABCB8","Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,23.23474,23.23474,1.20556047503157
"ABCB9","Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,23.31773,23.31773,0.604802572718205
"ABCC1","Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,2.15751,2.15751,2.03070351848978
"ABCC10","Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,32.79833,32.79833,0.135093232910226
"ABCC12","Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.85056,0.85056,0.930081704997406
"ABCC2","Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,0.47714,0.47714,0.722138050557158
"ABCC3","Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,3.25701,3.25701,0.387652053123358
"ABCC5","Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,24.9566,24.9566,6.13534221225687
"ABCC6","Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.18671,0.18671,1.81508484240744
"ABCC9","Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,2.36497,2.36497,0.891847178429525
"ABCD1","Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,4.41875,4.41875,0.797862483660131
"ABCD2","Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.6846,0.6846,16.2595413352329
"ABCD3","Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,18.04842,18.04842,1.21148219467371
"ABCD4","Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,110.40653,110.40653,0.0867109196082731
"ABCE1","Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,12.79985,12.79985,1.398587496724
"ABCF1","Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,50.45259,50.45259,0.70083853893458
"ABCF2","Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,18.83674,18.83674,1.43294871032236
"ABCF3","Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,38.0054,38.0054,6.40171642046144
"ABCG1","Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,17.71649,17.71649,0.942759424087173
"ABCG2","Abcg2",29.071391,25.795465,21.358509,625,771,199,25.408455,17.34308,17.34308,1.43969578718514
"ABCG5","Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.10373,0.10373,0.992232701838312
"ABCG8","Abcg8",0.024937,0.008273,0,2,1,0,0.01107,0.18671,0.18671,0.851994168752265
"ABHD1","Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,7.0949,7.0949,0.244809777349525
"ABHD10","Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,14.95737,14.95737,0.771432385161214
"ABHD11","Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,16.18134,16.18134,0.898025609954365
"ABHD12","Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,147.18796,147.18796,1.39980260879494
"ABHD13","Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,1.72186,1.72186,2.09322068977341
"ABHD14A","Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,73.3969,73.3969,0.190008772766966
"ABHD14B","Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,11.78333,11.78333,1.15961816417684
"ABHD15","Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,2.28198,2.28198,0.489591344249508
"ABHD16A","Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,50.39035,50.39035,1.05548074038544
"ABHD16B","Abhd16b",0,0.018444,0,0,1,0,0.006148,4.23204,4.23204,0.192305104701034
"ABHD2","Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,9.37688,9.37688,1.11927313412124
"ABHD3","Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,4.41875,4.41875,8.54633042675894
"ABHD4","Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,21.57512,21.57512,2.00447536934466
"ABHD5","Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,4.89589,4.89589,4.1713886000813
"ABHD6","Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,33.79411,33.79411,0.505017420093995
"ABHD8","Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,42.59012,42.59012,1.19515588241862
"ABI1","Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,26.90666,26.90666,1.98791175057615
"ABI2","Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,41.15869,41.15869,0.555116363119126
"ABI3","Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,5.29005,5.29005,0.701175136392662
"ABL1","Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,41.69807,41.69807,0.393225072390079
