"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,14.4996,14.4996,0.0645177940075873
"A1CF","A1cf",0,0,0,0,0,0,0,0,0,1
"A2M","A2m",9.174995,13.394599,8.530091,939,2038,276,10.3665616666667,162.84087,162.84087,0.0693756183464277
"A4GALT","A4galt",5.98487,2.435029,3.312794,65,77,18,3.91089766666667,72.86389,72.86389,0.0664857708775786
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.02091,0.02091,0.979518272913381
"AAAS","Aaas",26.517031,23.542026,30.96651,193,273,81,27.0085223333333,30.26413,30.26413,0.895867639154946
"AACS","Aacs",92.666198,156.723171,157.539085,567,1030,238,135.642818,31.73813,31.73813,4.17381255435176
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,1
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,1
"AADAT","Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,3.94113,3.94113,0.238413210473448
"AAGAB","Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,29.97142,29.97142,0.53568957014779
"AAK1","Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,5.18515,5.18515,7.94441999520356
"AANAT","Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,1.03494,1.03494,1.89211295337127
"AAR2","Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,18.44073,18.44073,0.605235880202715
"AARD","Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,4.22339,4.22339,1.5057604990884
"AARS2","Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,8.61404,8.61404,0.873238825717388
"AARSD1","Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,51.0779,51.0779,0.411485703788619
"AASDH","Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,3.3348,3.3348,2.16162214327458
"AASDHPPT","Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,24.47265,24.47265,0.308504454777968
"AASS","Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,7.33866,7.33866,0.228182825537916
"AATF","Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,42.6834,42.6834,0.134557184956604
"AATK","Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,173.04391,173.04391,0.660244526797864
"ABAT","Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,14.94912,14.94912,8.97494798041104
"ABCA1","Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,3.21981,3.21981,1.5496929166637
"ABCA13","Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,0.31362,0.31362,0.776065884096365
"ABCA17P","Abca17",0.181091,0.162112,0.027633,10,16,1,0.123612,3.9934,3.9934,0.225019425641847
"ABCA2","Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,190.96195,190.96195,1.00023212933605
"ABCA3","Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,75.62373,75.62373,0.196537508680405
"ABCA4","Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.33453,0.33453,1.01916454981654
