"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,5.64798,11.508254,10.164183,80,113,74,6.82626466666667,0.127774876341604
"A1CF","A1cf",0,0,0,0,0,0,0,0.008778,0.015491,0.033933,1,2,3,17.6506633333333,0.0536173959138897
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,40.625779,51.799758,89.320033,783,1285,1315,3.348799,0.323982245826185
"A3GALT2","A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,0.55418,0.27785,0.327994,5,3,2,10.551188,0.0923641793380906
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,10.846069,12.300869,12.113367,217,235,152,16.06117,0.140259411673799
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0,0,0,0,0,0,10.3202566666667,0.0935746450978585
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,15.794751,14.437361,18.892936,243,314,228,20.6681063333333,1.20351667709956
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,16.816166,15.213942,17.768125,515,633,467,21.5908253333333,5.1515564519142
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0,0,0,0,0,0,17.7200676666667,0.0553003699078509
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0.019721,0.018105,0,1,1,0,16.5164316666667,0.0570892530527764
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,23.254813,19.782313,24.720589,444,388,330,18.9848223333333,0.0553106243109458
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,38.022919,40.964417,49.3614,824,823,659,98.15076,0.207297701668315
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,10.270345,12.426278,11.917593,2058,2373,1545,14.523083,5.38350339297935
"AAMDC","Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,4.594566,5.205604,4.56697,17,27,14,11.0918973333333,2.29856885983043
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,1.26669997562759
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,12.288203,12.652486,12.834718,390,432,284,0.112956333333333,9.35420407329548
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.417513,1.538506,1.037211,12,14,10,15.675252,0.137420511945886
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,3.755461,4.640839,4.294325,242,329,196,31.1199893333333,0.224597148060489
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,63.27632,66.968262,84.250953,365,428,308,13.0359566666667,1.75111597903195
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,3.182292,4.853213,4.954761,105,133,96,9.05523233333333,0.791239168118675
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,0.067011348276635
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,4.313875,2.742641,4.506,299,175,207,43.404743,0.0501722605022921
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,14.476301,19.209898,14.950782,208,297,163,72.099048,0.083788847701546
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,14.223841,16.332434,12.634368,449,556,369,49.9149603333333,1.14969105904112
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,28.063871,26.832749,35.879571,1227,1323,1029,0.639692,56.9662151997652
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,4.057191,3.554462,2.51638,570,529,255,13.8334303333333,0.418625150114187
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.087452,0.016383,0.151556,5,2,6,22.7370223333333,0.0425313385628669
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,2.031216,2.837622,4.432733,10,18,15,0.140757,1.04097191601717
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,0.653785221812074
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,51.9705,59.537578,54.006441,4138,4756,3097,28.249626,0.494380144666921
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.905126,0.080781,0.014008,7,3,1,29.9432906666667,0.0581543514354948
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,15.166472,15.375498,16.666334,612,687,561,6.02759666666667,1.29649159338019
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,0.380325,0.502694,0.140608,12,17,6,133.001987666667,0.0118136232720508
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,53.395405,36.508479,39.178153,1224,1180,903,0.445913,2.27322413819734
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,0.39584,0.133049,0.866773,3,4,10,156.648378666667,0.0257230787970299
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,1.630893,5.875754,1.09333,74,97,41,69.9769943333333,0.0386771473271224
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,1.409905,3.284378,1.946045,27,71,43,6.184727,4.04450686388873
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,10.325898,7.423625,9.542775,388,332,292,3.860617,1.26925504862174
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,1.639649,3.496208,2.969016,7,12,8,43.6574986666667,0.0224495182951581
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,0.520114,0.10443,0.985588,4,3,5,0.312118,1.65200894025283
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0,0.258936,0.058403,0,2,3,282.399342,0.0035400035144283
"ABCB6","Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,45.798715,35.435408,31.250175,534,550,292,84.7606963333333,0.0928606926850629
"ABCB7","Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,7.623563,5.152974,8.512265,182,173,131,0.123838333333333,7.70362344524643
"ABCB8","Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,22.108301,23.197393,18.535002,526,651,446,0.159250666666667,18.7890890437271
"ABCB9","Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,13.147339,16.158433,16.129464,347,428,305,1.87087366666667,5.66271753975938
"ABCC1","Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,4.341232,5.649856,8.644544,333,452,284,0.105779666666667,10.1730112599285
"ABCC10","Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,47.610062,53.34286,79.775617,605,657,496,0.021098,2.62430246656051
"ABCC12","Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.051357,0.030371,0,2,1,0,23.8082643333333,0.0587271502387652
"ABCC2","Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,0.295949,0.49826,0.480955,6,12,3,0.334740666666667,0.812792347677027
"ABCC3","Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.450343,0.479305,0,4,3,0,0.114704333333333,1.64464926872985
"ABCC5","Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,6.88399474181572
"ABCC6","Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,0.688326,0.691802,0.278854,12,21,8,19.1169983333333,0.0692419901279175
"ABCC9","Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,1.51249,0.676152,0.605353,166,81,48,0,2.43880766666667
"ABCD1","Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,6.614678,7.050127,8.893207,192,234,142,11.794229,0.298711187155813
"ABCD2","Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,1.111828,0.947205,1.460715,91,82,86,4.90809766666667,3.81017375418021
"ABCD3","Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,19.7430943449173
"ABCD4","Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,49.321733,40.153747,59.337327,485,502,452,7.31561533333333,0.622384689431281
"ABCE1","Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,40.838605,40.205738,45.232008,918,1004,713,42.16418,0.506618041471733
"ABCF1","Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,46.260735,63.760304,59.860432,625,761,519,22.990304,1.72051506030659
"ABCF2","Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,26.268774,19.429182,42.181654,443,535,432,3.782833,5.93505397324138
"ABCF3","Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,49.775637,52.727308,46.588001,554,722,457,125.126357,1.33219832341097
"ABCG1","Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,7.097047,8.637267,8.443098,274,360,227,41.110303,0.470417504872066
"ABCG2","Abcg2",18.16712,20.001432,16.758538,248,258,494,18.30903,0.071606,0.158845,0.025076,4,11,1,15.829827,1.14731007038872
"ABCG5","Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.093551,0.161392,0.087861,3,7,2,106.982320666667,0.00941610929507652
"ABCG8","Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,0.279919,0.336852,0.476524,19,25,16,28.449329,0.0345188623256351
"ABHD1","Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,1.219066,0.595476,1.404846,17,18,14,36.4106556666667,0.0476876699487945
"ABHD10","Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,20.734833,22.479951,21.319982,502,570,353,52.0153973333333,0.148527020376571
"ABHD11","Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,5.79209,6.6316,4.983045,56,74,48,1.01128866666667,7.45300227084924
"ABHD12","Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,62.698382,74.955257,56.465736,591,762,413,0.094133,213.043851463518
"ABHD13","Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,2.86622,3.359063,3.388676,195,241,166,18.541765,0.415364101792579
"ABHD14A","Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,25.012009,25.594496,21.460029,268,287,164,6.37133133333333,2.34956141346516
"ABHD14B","Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,1.988993,2.13046,2.242736,33,40,33,43.3670903333333,0.165812691600819
"ABHD15","Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,0.139043,0.156659,0.265244,6,8,8,171.852216666667,0.00783033252008242
"ABHD16A","Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,34.317671,41.166479,61.739668,552,678,517,1.33119033333333,18.1361227332932
"ABHD16B","Abhd16b",0,0,0,0,0,0,0,0,0,0,0,0,0,13.7652813333333,0.0677264440429219
"ABHD17A","Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,13.189788,17.685175,18.251272,437,578,391,27.7386756666667,1.86111506854752
"ABHD17B","Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,9.608137,10.13461,9.429544,351,345,244,83.284592,0.156943197083203
"ABHD17C","Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,26.356909,23.923575,30.757178,465,485,360,9.65143666666667,1.12305447997469
"ABHD18","Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,3.898036,4.946809,4.114577,195,202,135,0.774971333333333,3.65941910047749
"ABHD2","Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,24.811763,18.501694,16.975591,1534,1881,1288,18.620664,1.06902634215981
"ABHD3","Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,2.112366,4.383957,4.812756,34,41,40,113.561289333333,0.263132367912014
"ABHD4","Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,5.832204,5.914283,14.836758,103,107,75,4.12357966666667,5.11795093261293
"ABHD5","Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,6.272151,9.717485,9.994526,224,264,185,34.890834,0.445717635501774
"ABHD6","Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,12.738211,13.156293,8.173231,201,211,124,2.239496,5.42792479653214
"ABHD8","Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,7.19407,9.390167,9.704944,145,236,124,0.103042,59.5984628569598
"ABI1","Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,19.731057,19.365981,20.50402,618,612,424,74.8551316666667,1.08222153899981
"ABI2","Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,2.77939337724062
"ABI3","Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0,0.209091,0.075429,0,3,1,19.957815,0.202819457403678
"ABITRAM","Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,12.878776,15.022405,19.706706,130,158,143,9.75406533333333,0.627722334834244
"ABL1","Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,3.41317650027805
"ABL2","Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,4.876134,5.408775,4.808567,785,862,542,0,10.6330433333333
"ABLIM1","Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,100.860799,75.151885,120.837451,7750,6453,5627,2.363428,5.952555547495
"ABLIM2","Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,19.980956,30.901303,25.59889,462,672,364,50.8898673333333,2.26008538905367
"ABLIM3","Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,0.832816488116485
"ABO","Abo",0,0,0.022897,0,0,1,0.00763233333333333,0.839964,0.413628,1.770949,23,39,31,151.788392,0.00659495345257206
"ABR","Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,0.0732486459439144
"ABRA","Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,0.028665,0.053548,0.080009,1,2,2,535.157017,0.0020437874825016
"ABRACL","Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,19.223716,14.20645,19.051796,138,111,99,11.5527636666667,3.29531135653501
"ABRAXAS1","Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,4.102444,3.794132,3.584166,77,83,56,0.999892666666667,1.92999590978049
"ABRAXAS2","Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,9.187908,9.791007,10.77312,353,405,295,35.14397,0.352541516607058
"ABT1","Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,4.88843,4.285503,5.231131,188,179,143,2.10201733333333,0.913422684506814
"ABTB1","Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,2.982307,4.057105,10.245762,62,115,92,8.11133266666667,2.48641424499994
"ABTB2","Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,1.344934,1.96267,3.69669,85,140,90,0,3.16951333333333
"ACAA1","Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,46.486176,54.061449,53.958237,591,740,475,11.3941106666667,0.117974015185492
"ACAA2","Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,7.463552,10.616386,8.612113,146,199,117,87.1742526666667,0.172951447905288
"ACACA","Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,87.127535,78.297049,72.405289,3380,3012,2176,1.909915,5.12836549063002
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,3.694984,3.933355,3.564281,62,63,54,1.682011,0.773611915337658
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,11.611479,11.630295,14.269463,185,171,157,11.8460196666667,0.174695954458941
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,6.956361,6.78533,9.702243,123,171,123,28.4638313333333,0.303425915620342
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,28.56967,26.216904,35.090426,521,559,449,0.17684,10.1378219072545
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,16.730664,15.138342,15.036653,348,375,288,0.081864,23.5338828786859
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.288112,0.704497,0.707281,9,17,9,18.6455233333333,0.850372866965282
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,34.991444,30.116255,36.311604,538,526,442,0.361587666666667,30.8630995237667
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,1.771714,2.673468,3.757556,38,59,46,28.0018226666667,0.159938683394014
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,5.696079,5.142362,5.947202,415,396,308,2.81618,31.0107568301286
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,1.01870528711331
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.108891,0.370897,0.103268,8,10,6,3.98894966666667,0.313363153460024
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,9.140538,8.118628,5.692809,23,41,22,0.258482,0.870474640611997
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,19.442193,11.477702,6.945933,361,356,272,59.4039493333333,0.734091255445946
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,122.137156,118.34408,129.991315,655,741,527,6.29316433333333,5.22891284546676
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,0.588989090058583
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,55.57853,50.960754,31.733687,687,749,476,93.2477886666667,0.100345289798948
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,22.086031,24.008406,24.78825,786,939,654,58.196314,0.506046801044628
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,44.648742,40.179244,47.697377,561,617,466,0.328216333333333,25.71240478145
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.043718,2.012931,2.647439,46,68,57,10.4382076666667,0.12628522831214
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,2.852259,6.929111,6.720408,40,71,38,5.38913033333333,0.433760077206126
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0.041683,0,0,1,0,0.0218153333333333,1.04121357870926
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,10.823814,17.900748,15.750557,143,186,143,14.7655226666667,0.916122856948098
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,7.650195,4.932748,4.196313,104,116,46,7.34964133333333,0.651453012512633
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.257103,0.077158,0.190801,1,1,1,0.266672333333333,1.13277440600924
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0.061841,0,0.249022,1,0,3,0,1.01664366666667
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,1.702671,1.924675,1.809561,61,75,46,90.6698553333333,0.0518081287397835
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,5.618697,5.605735,6.031901,410,489,347,1.13353,2.59299814548346
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,1.18422290654908
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,5.95592155930705
"ACKR1","Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,9.846748,12.019005,14.314649,231,292,219,243.496532666667,0.558247759908928
"ACKR2","Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.432002,0.122803,0.473199,14,5,6,0.588990666666667,1.67758673640206
"ACKR3","Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,0,0.074184,0.633304,0,2,7,10.1824796666667,0.366019951627306
"ACKR4","Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,0.106321,0,0,3,0,0,80.0208846666667,0.0132772803509337
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,42.0608480697271
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.255707,0.275251,0.059046,1,2,1,3.448074,0.26915979065696
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,9.414829,8.829655,9.906688,628,626,488,5.19530633333333,1.39866002859477
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,31.5080654640523
"ACOD1","Acod1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,2.580575,3.185492,1.979403,39,58,23,0,1.61721866666667
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,0.582734,0.576701,0.609753,40,51,26,0.104451666666667,12.9778843498508
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0.331608,0.188218,0.467097,5,2,2,24.8123303333333,0.0461058849768582
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,4.473594,5.647834,5.032359,165,201,127,0,142.939365
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,14.610747,12.124256,16.719956,110,123,100,2.16443566666667,0.805587557634026
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,0.210825,0.819407,0.499504,6,26,10,9.039828,0.246811698367741
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,0.113721,0.104565,0.160646,1,1,1,3.375098,0.624899068927523
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,1.25723068389293
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,15.109551,19.026084,18.961389,206,295,187,15.260072,0.527698893338234
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,19.733347,15.220957,15.831859,376,398,279,35.6773823333333,0.263910509716765
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,26.69153,36.454793,34.43575,665,715,462,26.745508,1.65667522348723
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,0,0.720589,0,0,2,0,57.9517596666667,0.019605074949445
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,9.956542,12.099373,8.284384,181,210,142,15.4454126666667,0.816491237130808
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0.165362,0.317846,0.200234,4,5,4,0.798546666666667,0.575150306543802
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,61.586263,66.10944,74.714785,798,920,684,37.79657,0.969287723115729
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,115.861262,97.504509,108.715051,595,540,395,0.343451333333333,15.4457154383957
"ACP4","Acp4",0,0.057198,0,0,1,0,0.019066,0.140216,0.12039,0.201053,2,2,2,3.97132866666667,0.204988659638007
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,0.900021,1.872376,0.519606,4,9,1,0.278413,0.831144551877992
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,5.681603,4.537779,4.413437,128,125,95,0.136560666666667,8.65414721959409
"ACP7","Acp7",0.46754,0.532842,0.496098,5,10,24,0.498826666666667,0.348403,0.256502,0.265236,13,11,7,64.0608963333333,0.0230372889267859
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,0,0.561401,0,0,4,0,10.252389,0.156496189386983
"ACRBP","Acrbp",4.10962,2.495291,4.514207,43,31,95,3.70637266666667,0.871936,1.387368,0.356541,8,10,2,3.504024,1.04492619636722
"ACRV1","Acrv1",0.089446,0.045734,0.046779,4,2,4,0.060653,0.419432,0.594965,0.365907,5,9,3,10.3117143333333,0.0937658933690069
"ACSBG1","Acsbg1",60.868711,58.496547,48.444874,1528,1492,2526,55.9367106666667,0.253329,0.789068,1.028992,21,18,25,40.2530823333333,1.38018076338166
"ACSBG2","Acsbg2",0.061179,0.028799,0.035622,2,1,2,0.0418666666666667,0.326791,0.354839,0.057953,2,2,1,76.3923933333333,0.0134621326695414
"ACSF2","Acsf2",11.545947,8.756051,7.874134,174,149,316,9.392044,0.770281,0.767876,3.321446,2,5,7,1.372005,4.38112229948925
"ACSF3","Acsf3",3.915831,4.53771,4.775548,115,130,272,4.40969633333333,15.821189,18.561092,20.415246,217,288,178,0.0650203333333333,5.07943009538785
"ACSL1","Acsl1",26.783503,29.664263,24.04514,610,606,1123,26.8309686666667,62.19037,73.44608,83.471369,894,1047,659,0.0770176666666667,25.8407726521354
"ACSL3","Acsl3",137.743645,126.020907,116.28694,2455,1981,3863,126.683830666667,130.996535,121.985228,113.197501,2784,3004,2053,26.8095743333333,4.59136228178873
