"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.512248,7.362639,11.019571,104,79,86,13.451698,0.0691960211180721
"A1CF","A1cf",0,0,0,0,0,0,0,0.012027,0,0.110455,2,0,3,22.081877,0.0433240329631771
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,166.022861,193.59196,157.990809,4945,3898,3159,3.21241433333333,0.334471767299244
"A3GALT2","A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,0.144755,0.097166,0.113413,2,1,1,19.0452523333333,0.0532253713876089
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,4.719891,2.211286,2.676825,75,26,24,20.6474723333333,0.110543606653876
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0.099138,0,0,3,0,0,12.9156153333333,0.0761223255045423
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,22.215928,24.455156,21.480131,578,403,355,10.661894,2.23616569772743
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,17.933589,18.199238,25.629245,910,792,813,18.3099346666667,6.02684131297941
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0,0,0,0,0,0,8.49255,0.109056751522685
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,12.422446,0.0745020691459664
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,13.595651,16.190365,22.775181,324,335,359,23.3733143333333,0.0453517722244395
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,22.912872,27.695939,31.184347,656,567,572,85.3960573333333,0.237901187867477
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,11.479212,14.408764,9.576512,2755,2090,1905,22.4159426666667,3.56887489816767
"AAMDC","Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,13.752073,7.993795,9.099596,71,41,35,95.412105,0.288283910683899
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.21683,0.243358,0.326805,4,5,1,0.16966,1.18490729499741
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,10.815465,10.804659,13.984677,486,364,414,0.318630333333333,7.89517759715826
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,1.609116,1.070727,1.582262,36,32,31,11.6859796666667,0.180634190411625
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,5.079803,4.491045,5.615728,446,312,330,44.5256796666667,0.15846129157918
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,51.795203,58.156602,82.475187,415,381,422,10.5240543333333,2.13280736874924
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,6.432077,7.774202,3.850395,231,167,150,6.46824466666667,1.06532311430254
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,58.628575,94.077285,98.573128,1977,2473,2685,241.605922,0.0399346379791449
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,13.774036,8.645864,8.691924,1272,600,554,12.0579066666667,0.170615887385727
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,15.556557,12.511396,24.184485,282,197,252,30.8474996666667,0.192319179342378
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,10.041919,13.414946,14.753141,524,498,547,33.5235333333333,1.69555283062954
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,20.235765,20.679629,22.875907,1501,1015,1095,0.294678,72.1469333172676
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,9.443781,4.284659,2.688057,1855,645,360,20.1129566666667,0.294115461800945
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.473253,0.153458,0.298046,16,13,6,19.4391393333333,0.0493938280310498
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,3.708489,2.524203,3.578368,36,18,16,0.322248333333333,0.898088483126594
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,65.073528,68.481942,65.791533,2021,1255,1196,94.1297176666667,0.743051986282043
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,27.609577,42.459618,39.449413,3105,3571,2969,25.8438886666667,0.538686272801062
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,1.143229,0.018773,0.021485,17,1,2,28.9589186666667,0.0600651518842091
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,12.626236,11.918269,12.828291,670,562,506,49.0491633333333,0.182045400825548
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,1.147123,0.606076,1.259058,36,30,11,190.939684,0.00824763783606104
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,22.668326,32.522392,34.714621,715,882,818,0.154254,2.84762654782512
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,41.403634,26.861255,35.063602,1731,991,983,136.190888,0.0295588265794057
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,1.381284,1.137468,5.074584,58,43,31,55.988788,0.0481706623883046
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,0.30007,0.314046,0.298593,3,1,5,4.06970533333333,5.73182774067868
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,4.896031,7.84716,8.051324,306,313,320,11.1683663333333,0.507000076893368
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,1.175122,1.322998,0.805546,11,4,8,37.654127,0.0259361525182895
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,2.033786,0.852535,0.451585,44,12,10,0.370088,1.58211054083144
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0.028091,0.34729,0.350931,3,10,12,135.154633666667,0.00736834758868936
