"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,5.64798,11.508254,10.164183,80,113,74,6.82626466666667,0.127774876341604
"A1CF","A1cf",0,0,0,0,0,0,0,0.008778,0.015491,0.033933,1,2,3,17.6506633333333,0.0536173959138897
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,40.625779,51.799758,89.320033,783,1285,1315,3.348799,0.523289763449633
"A3GALT2","A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,0.55418,0.27785,0.327994,5,3,2,10.551188,0.0887878372337114
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,10.846069,12.300869,12.113367,217,235,152,16.06117,0.150801615598461
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0,0,0,0,0,0,10.3202566666667,0.090307198570586
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,15.794751,14.437361,18.892936,243,314,228,20.6681063333333,1.3184790998272
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,16.816166,15.213942,17.768125,515,633,467,21.5908253333333,5.66903701437734
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200676666667,0.0534186103280289
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0.019721,0.018105,0,1,1,0,16.5164316666667,0.0570892530527764
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,23.254813,19.782313,24.720589,444,388,330,18.9848223333333,0.0557871192483456
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,38.022919,40.964417,49.3614,824,823,659,98.15076,0.244476498885804
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,10.270345,12.426278,11.917593,2058,2373,1545,14.523083,2.96710022100636
"AAMDC","Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,4.594566,5.205604,4.56697,17,27,14,11.0918973333333,3.29128841980464
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,1.01851754813551
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,12.288203,12.652486,12.834718,390,432,284,0.112956333333333,13.7520774250203
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.417513,1.538506,1.037211,12,14,10,15.675252,0.166271170394706
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,3.755461,4.640839,4.294325,242,329,196,31.1199893333333,0.176260768372194
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,63.27632,66.968262,84.250953,365,428,308,13.0359566666667,1.99596462609009
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,3.182292,4.853213,4.954761,105,133,96,9.05523233333333,0.700262055937246
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,0.0638078107583675
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,4.313875,2.742641,4.506,299,175,207,43.404743,0.0625362775623616
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,14.476301,19.209898,14.950782,208,297,163,72.099048,0.0940400026367877
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,14.223841,16.332434,12.634368,449,556,369,49.9149603333333,1.06892606764347
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,28.063871,26.832749,35.879571,1227,1323,1029,0.639692,53.054448233774
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,4.057191,3.554462,2.51638,570,529,255,13.8334303333333,0.30325096076338
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.087452,0.016383,0.151556,5,2,6,22.7370223333333,0.0424911341379002
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,2.031216,2.837622,4.432733,10,18,15,0.140757,0.979190718677743
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,0.577939076955575
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,51.9705,59.537578,54.006441,4138,4756,3097,28.249626,0.33969360839007
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.905126,0.080781,0.014008,7,3,1,29.9432906666667,0.0637529264286824
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,15.166472,15.375498,16.666334,612,687,561,6.02759666666667,0.84709680265278
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,0.380325,0.502694,0.140608,12,17,6,133.001987666667,0.0106888638365795
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,53.395405,36.508479,39.178153,1224,1180,903,0.445913,1.73310611818738
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,0.39584,0.133049,0.866773,3,4,10,156.648378666667,0.0160903103145562
"ABCA9","Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,1.630893,5.875754,1.09333,74,97,41,69.9769943333333,0.0307108994091292
"ABCB1","Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,1.409905,3.284378,1.946045,27,71,43,6.184727,5.41172016695972
"ABCB10","Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,10.325898,7.423625,9.542775,388,332,292,3.860617,1.5430196756228
"ABCB11","Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,1.639649,3.496208,2.969016,7,12,8,43.6574986666667,0.0235829225724062
"ABCB4","Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.520114,0.10443,0.985588,4,3,5,0.312118,1.54690330188799
"ABCB5","Abcb5",0,0,0,0,0,0,0,0,0.258936,0.058403,0,2,3,282.399342,0.00352858970293587
"ABCB6","Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,45.798715,35.435408,31.250175,534,550,292,84.7606963333333,0.116638154317847
"ABCB7","Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,7.623563,5.152974,8.512265,182,173,131,0.123838333333333,7.33020348419034
"ABCB8","Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,22.108301,23.197393,18.535002,526,651,446,0.159250666666667,19.8060574762088
"ABCB9","Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,13.147339,16.158433,16.129464,347,428,305,1.87087366666667,4.58225527397525
"ABCC1","Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,4.341232,5.649856,8.644544,333,452,284,0.105779666666667,5.15205832144378
"ABCC10","Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,47.610062,53.34286,79.775617,605,657,496,0.021098,2.19645877934015
"ABCC12","Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.051357,0.030371,0,2,1,0,23.8082643333333,0.0444132105278412
"ABCC2","Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,0.295949,0.49826,0.480955,6,12,3,0.334740666666667,0.754932918304729
"ABCC3","Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.450343,0.479305,0,4,3,0,0.114704333333333,1.49326921668018
"ABCC5","Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,3.23700565433642
"ABCC6","Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,0.688326,0.691802,0.278854,12,21,8,19.1169983333333,0.0612505394484383
"ABCC9","Abcc9",2.051365,0.582775,0.654602,234,116,131,1.09624733333333,1.51249,0.676152,0.605353,166,81,48,0,2.09624733333333
"ABCD1","Abcd1",2.686316,1.6366,1.846768,138,162,188,2.05656133333333,6.614678,7.050127,8.893207,192,234,142,11.794229,0.238901565177029
"ABCD2","Abcd2",17.561996,16.181786,14.615399,695,907,808,16.119727,1.111828,0.947205,1.460715,91,82,86,4.90809766666667,2.89767163068225
"ABCD3","Abcd3",22.337243,19.371378,19.426874,1135,1664,1589,20.3784983333333,14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,20.6394877160034
"ABCD4","Abcd4",4.359746,3.381328,3.474536,149,205,205,3.73853666666667,49.321733,40.153747,59.337327,485,502,452,7.31561533333333,0.56983596242988
"ABCE1","Abce1",23.623258,18.664945,16.190277,1327,1826,1551,19.4928266666667,40.838605,40.205738,45.232008,918,1004,713,42.16418,0.474764646673855
"ABCF1","Abcf1",42.586641,27.88631,16.795441,940,1220,942,29.089464,46.260735,63.760304,59.860432,625,761,519,22.990304,1.25423437735512
"ABCF2","Abcf2",31.257595,33.14353,31.918211,1170,2228,2179,32.1064453333333,26.268774,19.429182,42.181654,443,535,432,3.782833,6.92193211289906
"ABCF3","Abcf3",187.359797,215.552443,216.367976,715,1524,1442,206.426738666667,49.775637,52.727308,46.588001,554,722,457,125.126357,1.64459470328368
"ABCG1","Abcg1",17.44561,15.173097,13.007637,975,1194,1038,15.2087813333333,7.097047,8.637267,8.443098,274,360,227,41.110303,0.384912484085743
"ABCG2","Abcg2",17.007204,19.60743,11.336253,310,572,463,15.983629,0.071606,0.158845,0.025076,4,11,1,15.829827,1.00913865603015
"ABCG5","Abcg5",0,0.081567,0.025253,0,3,1,0.0356066666666667,0.093551,0.161392,0.087861,3,7,2,106.982320666667,0.00959052056181962
"ABCG8","Abcg8",0,0,0.031248,0,0,2,0.010416,0.279919,0.336852,0.476524,19,25,16,28.449329,0.0343103233353806
"ABHD1","Abhd1",0.646129,1.838952,1.144674,11,59,36,1.20991833333333,1.219066,0.595476,1.404846,17,18,14,36.4106556666667,0.0590718952649204
"ABHD10","Abhd10",7.407598,8.355175,8.138571,216,388,372,7.96711466666667,20.734833,22.479951,21.319982,502,570,353,52.0153973333333,0.169141704442694
"ABHD11","Abhd11",14.510702,19.169353,18.676671,173,436,448,17.452242,5.79209,6.6316,4.983045,56,74,48,1.01128866666667,9.1743379783376
"ABHD12","Abhd12",251.752332,303.428597,281.089441,2928,6286,6265,278.75679,62.698382,74.955257,56.465736,591,762,413,0.094133,255.688101903516
"ABHD13","Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,2.86622,3.359063,3.388676,195,241,166,18.541765,0.384480197498367
"ABHD14A","Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,25.012009,25.594496,21.460029,268,287,164,6.37133133333333,2.09330137287728
"ABHD14B","Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,1.988993,2.13046,2.242736,33,40,33,43.3670903333333,0.211894062228752
"ABHD15","Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,0.139043,0.156659,0.265244,6,8,8,171.852216666667,0.00776950213636254
"ABHD16A","Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,34.317671,41.166479,61.739668,552,678,517,1.33119033333333,23.7065323280481
"ABHD16B","Abhd16b",0.040812,0,0,1,0,0,0.013604,0,0,0,0,0,0,13.7652813333333,0.0686477945876819
"ABHD17A","Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,13.189788,17.685175,18.251272,437,578,391,27.7386756666667,2.62291246614739
"ABHD17B","Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,9.608137,10.13461,9.429544,351,345,244,83.284592,0.158074859044225
"ABHD17C","Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,26.356909,23.923575,30.757178,465,485,360,9.65143666666667,1.21947981352124
"ABHD18","Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,3.898036,4.946809,4.114577,195,202,135,0.774971333333333,2.58513433268594
"ABHD2","Abhd2",19.626201,7.092046,7.529354,2086,1334,1439,11.415867,24.811763,18.501694,16.975591,1534,1881,1288,18.620664,0.632795454832721
"ABHD3","Abhd3",38.388158,39.33974,44.624386,668,1261,1382,40.7840946666667,2.112366,4.383957,4.812756,34,41,40,113.561289333333,0.364731358295816
"ABHD4","Abhd4",30.102026,40.118908,40.409999,828,1966,2027,36.8769776666667,5.832204,5.914283,14.836758,103,107,75,4.12357966666667,7.39267858233752
"ABHD5","Abhd5",15.396005,16.375689,21.571022,243,450,555,17.7809053333333,6.272151,9.717485,9.994526,224,264,185,34.890834,0.523278599024289
"ABHD6","Abhd6",20.131196,19.454461,16.882188,613,1035,897,18.822615,12.738211,13.156293,8.173231,201,211,124,2.239496,6.11904290050057
"ABHD8","Abhd8",73.165664,99.876587,96.017002,1879,5091,5065,89.6864176666667,7.19407,9.390167,9.704944,145,236,124,0.103042,82.2148364855252
"ABI1","Abi1",83.535127,72.202167,67.21898,1473,2226,1830,74.318758,19.731057,19.365981,20.50402,618,612,424,74.8551316666667,0.992928973229871
"ABI2","Abi2",73.550072,33.93638,32.706777,2945,2764,2269,46.7310763333333,50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,1.92263260001616
"ABI3","Abi3",2.741241,3.098633,2.942035,27,77,59,2.927303,0,0.209091,0.075429,0,3,1,19.957815,0.187390861117917
"ABITRAM","Abitram",7.343123,3.117896,3.047484,317,313,275,4.50283433333333,12.878776,15.022405,19.706706,130,158,143,9.75406533333333,0.511698056759682
"ABL1","Abl1",16.493449,7.635737,7.237194,757,701,772,10.45546,23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,2.50081246762682
"ABL2","Abl2",9.166805,2.613638,2.099504,1313,592,529,4.626649,4.876134,5.408775,4.808567,785,862,542,0,5.626649
"ABLIM1","Ablim1",19.521036,10.009919,8.622963,1779,1479,1369,12.7179726666667,100.860799,75.151885,120.837451,7750,6453,5627,2.363428,4.07856884900366
"ABLIM2","Ablim2",97.913663,59.151526,46.287557,1212,1466,1295,67.7842486666667,19.980956,30.901303,25.59889,462,672,364,50.8898673333333,1.32558150948443
"ABLIM3","Ablim3",4.516867,3.560203,3.140058,289,412,368,3.73904266666667,48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,0.659057755691432
"ABO","Abo",0,0,0,0,0,0,0,0.839964,0.413628,1.770949,23,39,31,151.788392,0.0065449998321862
"ABR","Abr",121.644538,73.850699,64.046723,7113,7103,6497,86.5139866666667,591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,0.0629294592226992
"ABRA","Abra",0.023622,0.027351,0.115394,1,2,8,0.0554556666666667,0.028665,0.053548,0.080009,1,2,2,535.157017,0.00196855703311007
"ABRACL","Abracl",33.217061,37.836813,39.468236,67,98,101,36.8407033333333,19.223716,14.20645,19.051796,138,111,99,11.5527636666667,3.01453164722743
"ABRAXAS1","Abraxas1",2.097837,2.986823,1.808422,42,70,66,2.297694,4.102444,3.794132,3.584166,77,83,56,0.999892666666667,1.64893549287145
"ABRAXAS2","Abraxas2",15.079319,12.887985,9.021063,380,628,479,12.3294556666667,9.187908,9.791007,10.77312,353,405,295,35.14397,0.368787813476679
"ABT1","Abt1",2.396752,2.64066,2.619396,162,315,315,2.55226933333333,4.88843,4.285503,5.231131,188,179,143,2.10201733333333,1.14514812511256
"ABTB1","Abtb1",21.831981,27.654929,23.552319,275,528,482,24.3464096666667,2.982307,4.057105,10.245762,62,115,92,8.11133266666667,2.78185536561465
"ABTB2","Abtb2",3.117546,2.432269,2.363293,188,299,300,2.63770266666667,1.344934,1.96267,3.69669,85,140,90,0,3.63770266666667
"ACAA1","Acaa1b",0.135692,0.223053,0.257686,3,9,11,0.205477,46.486176,54.061449,53.958237,591,740,475,11.3941106666667,0.0972620813562743
"ACAA2","Acaa2",16.998977,25.66273,27.282412,209,607,599,23.3147063333333,7.463552,10.616386,8.612113,146,199,117,87.1742526666667,0.275757441633812
"ACACA","Acaca",15.981778,6.514919,6.271574,1592,1200,1232,9.58942366666667,87.127535,78.297049,72.405289,3380,3012,2176,1.909915,3.63908350129357
"ACACB","Acacb",0.922284,0.975901,1.144648,109,90,100,1.01427766666667,3.694984,3.933355,3.564281,62,63,54,1.682011,0.751032589600366
"ACAD10","Acad10",1.268187,1.37903,0.87532,38,74,65,1.174179,11.611479,11.630295,14.269463,185,171,157,11.8460196666667,0.169249234892707
"ACAD11","Acad11",7.725064,8.513703,8.234594,340,530,552,8.157787,6.956361,6.78533,9.702243,123,171,123,28.4638313333333,0.310814533805708
"ACAD8","Acad8",13.864191,15.434606,14.236606,258,559,469,14.511801,28.56967,26.216904,35.090426,521,559,449,0.17684,13.1808920498963
"ACAD9","Acad9",28.724183,35.433702,31.159821,429,851,844,31.7725686666667,16.730664,15.138342,15.036653,348,375,288,0.081864,30.2926880519794
"ACADL","Acadl",19.503812,22.189297,22.09295,399,856,916,21.2620196666667,0.288112,0.704497,0.707281,9,17,9,18.6455233333333,1.13318537200248
"ACADM","Acadm",46.965469,51.19742,51.99983,336,672,732,50.0542396666667,34.991444,30.116255,36.311604,538,526,442,0.361587666666667,37.4961090765853
"ACADS","Acads",3.826219,4.460667,5.525779,58,193,222,4.60422166666667,1.771714,2.673468,3.757556,38,59,46,28.0018226666667,0.193236877939672
"ACADSB","Acadsb",145.380778,130.594786,130.001808,908,1382,1212,135.325790666667,5.696079,5.142362,5.947202,415,396,308,2.81618,35.7231028585304
"ACADVL","Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,1.096252192957
"ACAN","Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.108891,0.370897,0.103268,8,10,6,3.98894966666667,0.317030525262866
"ACAP1","Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,9.140538,8.118628,5.692809,23,41,22,0.258482,0.809206117634844
"ACAP2","Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,19.442193,11.477702,6.945933,361,356,272,59.4039493333333,0.335426538997605
"ACAT1","Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,122.137156,118.34408,129.991315,655,741,527,6.29316433333333,6.47214019081704
"ACAT2","Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,0.739500909251946
"ACBD3","Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,55.57853,50.960754,31.733687,687,749,476,93.2477886666667,0.0927864917615786
"ACBD5","Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,22.086031,24.008406,24.78825,786,939,654,58.196314,0.430449582834949
"ACBD6","Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,44.648742,40.179244,47.697377,561,617,466,0.328216333333333,31.7782123343863
"ACBD7","Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,1.043718,2.012931,2.647439,46,68,57,10.4382076666667,0.120661678258858
"ACCS","Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,2.852259,6.929111,6.720408,40,71,38,5.38913033333333,0.423301220286058
"ACCSL","Accsl",0,0.221119,0.229811,0,2,2,0.15031,0,0.041683,0,0,1,0,0.0218153333333333,1.1257513588561
"ACD","Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,10.823814,17.900748,15.750557,143,186,143,14.7655226666667,1.02130657767811
"ACE","Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,7.650195,4.932748,4.196313,104,116,46,7.34964133333333,0.860167047494735
"ACE2","Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,0.257103,0.077158,0.190801,1,1,1,0.266672333333333,1.21208326173278
"ACER1","Acer1",0.030558,0,0,1,0,0,0.010186,0.061841,0,0.249022,1,0,3,0,1.010186
"ACER2","Acer2",3.118334,2.54008,2.402802,132,184,153,2.687072,1.702671,1.924675,1.809561,61,75,46,90.6698553333333,0.0402212045234819
"ACER3","Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,5.618697,5.605735,6.031901,410,489,347,1.13353,2.67477310685421
"ACHE","Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,1.20280288292697
"ACIN1","Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,2.9874784749876
"ACKR1","Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,9.846748,12.019005,14.314649,231,292,219,243.496532666667,0.200053641387836
"ACKR2","Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.432002,0.122803,0.473199,14,5,6,0.588990666666667,0.989705624450909
"ACKR3","Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,0,0.074184,0.633304,0,2,7,10.1824796666667,0.383405868924898
"ACKR4","Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,0.106321,0,0,3,0,0,80.0208846666667,0.0137706675415467
"ACLY","Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,40.2394222950794
"ACMSD","Acmsd",0.102752,0.079444,0,3,4,0,0.060732,0.255707,0.275251,0.059046,1,2,1,3.448074,0.238469953512464
"ACO1","Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,9.414829,8.829655,9.906688,628,626,488,5.19530633333333,1.11228102306913
"ACO2","Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,35.998429288964
"ACOD1","Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0,0,0,0,0,0,0,1.02952133333333
"ACOT1","Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,2.580575,3.185492,1.979403,39,58,23,0,1.67098133333333
"ACOT11","Acot11",21.802128,6.375834,9.361889,792,624,658,12.5132836666667,0.582734,0.576701,0.609753,40,51,26,0.104451666666667,12.2352874956049
"ACOT12","Acot12",0.04416,0.076111,0.025569,2,6,2,0.0486133333333333,0.331608,0.188218,0.467097,5,2,2,24.8123303333333,0.0406245123858183
"ACOT13","Acot13",187.035261,203.440437,207.538666,394,833,891,199.338121333333,4.473594,5.647834,5.032359,165,201,127,0,200.338121333333
"ACOT2","Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,14.610747,12.124256,16.719956,110,123,100,2.16443566666667,0.908553889598219
"ACOT4","Acot4",0.670655,0.306245,0.31109,62,50,51,0.42933,0.210825,0.819407,0.499504,6,26,10,9.039828,0.142365984755914
"ACOT6","Acot6",1.922866,1.41504,1.514438,91,121,132,1.617448,0.113721,0.104565,0.160646,1,1,1,3.375098,0.598260427537852
"ACOT7","Acot7",174.61588,209.453191,230.233611,2449,5334,5637,204.767560666667,141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,2.07037578170055
"ACOT8","Acot8",8.915559,7.038879,6.834587,102,183,184,7.59634166666667,15.109551,19.026084,18.961389,206,295,187,15.260072,0.528677958293584
"ACOT9","Acot9",8.656998,10.402593,11.574608,207,422,487,10.2113996666667,19.733347,15.220957,15.831859,376,398,279,35.6773823333333,0.305676112999958
"ACOX1","Acox1",52.075992,36.160964,33.933861,2775,3505,3371,40.7236056666667,26.69153,36.454793,34.43575,665,715,462,26.745508,1.5037967827681
"ACOX2","Acox2",0.425945,0.503412,0.569201,5,11,9,0.499519333333333,0,0.720589,0,0,2,0,57.9517596666667,0.025436379538323
"ACOX3","Acox3",14.587127,10.948877,12.068161,399,504,521,12.5347216666667,9.956542,12.099373,8.284384,181,210,142,15.4454126666667,0.823008941216799
"ACOXL","Acoxl",0.094962,0.026312,0.051821,2,1,2,0.0576983333333333,0.165362,0.317846,0.200234,4,5,4,0.798546666666667,0.588085009377942
"ACP1","Acp1",42.16122,34.03718,37.936118,564,974,980,38.0448393333333,61.586263,66.10944,74.714785,798,920,684,37.79657,1.00639925986584
"ACP2","Acp2",27.775885,13.88201,13.462821,1230,1605,1534,18.373572,115.861262,97.504509,108.715051,595,540,395,0.343451333333333,14.420747160175
"ACP4","Acp4",0,0,0,0,0,0,0,0.140216,0.12039,0.201053,2,2,2,3.97132866666667,0.201153467624282
"ACP5","Acp5",0.266159,0.463497,0.182784,5,15,6,0.304146666666667,0.900021,1.872376,0.519606,4,9,1,0.278413,1.02012938437474
"ACP6","Acp6",6.776354,4.322587,4.022952,116,152,143,5.040631,5.681603,4.537779,4.413437,128,125,95,0.136560666666667,5.31483375869069
"ACP7","Acp7",1.312528,1.068579,0.512198,10,21,22,0.964435,0.348403,0.256502,0.265236,13,11,7,64.0608963333333,0.0301937893682774
"ACR","Acr",0.186909,0.423882,0.312842,2,7,5,0.307877666666667,0,0.561401,0,0,4,0,10.252389,0.116231110270598
"ACRBP","Acrbp",3.307852,1.573221,2.810081,32,37,54,2.563718,0.871936,1.387368,0.356541,8,10,2,3.504024,0.791229798065019
"ACRV1","Acrv1",0.041311,0,0.023691,2,0,2,0.0216673333333333,0.419432,0.594965,0.365907,5,9,3,10.3117143333333,0.0903194072292549
"ACSBG1","Acsbg1",75.991695,72.124837,77.401997,1978,4020,4197,75.172843,0.253329,0.789068,1.028992,21,18,25,40.2530823333333,1.84647640107248
"ACSBG2","Acsbg2",0,0,0.028707,0,0,2,0.009569,0.326791,0.354839,0.057953,2,2,1,76.3923933333333,0.0130448091410189
"ACSF2","Acsf2",10.926012,9.765954,9.224856,183,286,301,9.972274,0.770281,0.767876,3.321446,2,5,7,1.372005,4.62573814136142
"ACSF3","Acsf3",6.485458,6.055549,5.885676,203,348,340,6.14222766666667,15.821189,18.561092,20.415246,217,288,178,0.0650203333333333,6.70618902111728
"ACSL1","Acsl1",42.346285,28.804089,28.573101,682,880,842,33.2411583333333,62.19037,73.44608,83.471369,894,1047,659,0.0770176666666667,31.7925688622254
"ACSL3","Acsl3",155.549541,107.251119,90.126894,2978,3760,3462,117.642518,130.996535,121.985228,113.197501,2784,3004,2053,26.8095743333333,4.26624717724614
