"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,12.383067,11.034331,14.333404,126,71,81,21.339172,0.0447644165146318
"A1CF","A1cf",0,0,0,0,0,0,0,0,0.018194,0.01632,0,2,2,25.9035856666667,0.0371697666024865
"A2M","A2m",1.723287,1.100269,1.00349,121,136,126,1.275682,93.505878,154.962182,63.431646,2246,2504,1541,2.80286666666667,0.598412250407587
"A3GALT2","A3galt2",0.033486,0.010958,0.032371,1,1,3,0.025605,0.251325,0.112836,0.205214,3,1,2,31.34975,0.031703645314106
"A4GALT","A4galt",1.779458,1.564441,1.374657,36,66,51,1.572852,1.677651,1.425484,2.068745,11,6,11,15.4402076666667,0.156497536537606
"A4GNT","A4gnt",0.024752,0.028218,0.013932,1,2,1,0.0223006666666667,0.079778,0.049504,0.045031,2,1,1,13.7070106666667,0.0695111120700894
"AAAS","Aaas",24.958266,28.347356,29.401214,112,226,243,27.5689453333333,22.626138,22.03279,25.95966,485,382,454,4.99417633333333,4.7661169349428
"AACS","Aacs",142.982123,107.157691,131.064861,470,707,648,127.068225,20.326116,20.425959,26.161884,720,608,707,18.556026,6.54878578091479
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,6.87484866666667,0.126986567276256
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,10.766603,0.0849862955349135
"AADAT","Aadat",0.158815,0.08004,0.105832,2,3,4,0.114895666666667,11.191628,12.930531,10.028336,298,198,233,23.18006,0.0461080603880498
"AAGAB","Aagab",21.079518,26.048134,22.59244,670,1295,1199,23.2400306666667,19.083715,24.987378,20.768264,460,421,405,37.2516393333333,0.633699132615824
"AAK1","Aak1",82.715044,26.539293,25.921292,6850,3633,3509,45.058543,8.82358,11.990978,8.52265,1360,1207,1223,21.7024766666667,2.02878935528767
"AAMDC","Aamdc",38.562599,38.491906,39.33926,192,352,347,38.7979216666667,11.840577,16.196803,14.120167,61,65,52,175.753678,0.225160359416491
"AANAT","Aanat",0.244063,0.064919,0.0342,3,2,1,0.114394,0.527125,0,0.383865,5,0,3,0.146671333333333,0.971851277349453
"AAR2","Aar2",11.718708,16.213584,14.984093,491,1177,1117,14.3054616666667,9.802296,9.159607,9.720694,356,271,317,1.12813166666667,7.19197120478918
"AARD","Aard",2.104585,1.541737,1.671519,33,45,50,1.77261366666667,0.430968,0.085659,1.087127,14,2,11,4.09296266666667,0.544400940696731
"AARS2","Aars2",5.164266,4.56226,4.257956,233,405,383,4.661494,5.386935,4.813326,4.864937,386,295,304,55.302048,0.100555738221103
"AARSD1","Aarsd1",23.052058,29.886603,28.107158,434,942,908,27.015273,74.878567,67.118873,80.955658,446,311,417,10.9592553333333,2.34255998547959
"AASDH","Aasdh",8.513966,4.798371,4.811556,118,124,106,6.04129766666667,5.458335,2.72435,3.019545,133,107,128,1.503734,2.81231858762419
"AASDHPPT","Aasdhppt",8.740871,8.636899,7.297884,349,593,469,8.225218,49.305585,36.802533,43.42734,1280,906,1184,323.327237666667,0.0284441666582484
"AASS","Aass",1.242648,2.330083,1.757991,68,115,68,1.77690733333333,9.710755,9.041474,7.927698,771,591,561,7.66031,0.320647567273381
"AATF","Aatf",6.824327,5.505632,5.292745,157,190,211,5.87423466666667,15.593698,15.462792,19.291505,279,197,205,19.5606413333333,0.334339506011518
"AATK","Aatk",72.38769,42.439677,45.445618,3644,4693,4919,53.4243283333333,5.175648,2.801113,2.12947,197,66,153,13.7411343333333,3.69200409565949
"ABAT","Abat",95.574803,80.308695,82.095365,4975,7100,7065,85.9929543333333,19.311736,14.714566,12.931931,1137,753,789,0.501137666666667,57.9513500094262
"ABCA1","Abca1",6.845097,2.14816,1.501499,816,427,424,3.498252,13.944394,12.167811,12.461129,2286,1610,1812,15.6002666666667,0.27097468313762
"ABCA13","Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,0.064986,0.353211,0.084842,4,8,5,4.59273066666667,0.180343567411793
"ABCA17P","Abca17",0.222588,0.099809,0.028659,8,6,4,0.117018666666667,1.321805,0.403783,0.722064,13,4,7,0.592088666666667,0.701605815086513
"ABCA2","Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,50.768809,33.180849,36.909447,1020,646,751,53.3607073333333,1.14946901414491
"ABCA3","Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,21.599438,17.726576,24.450837,1930,1121,1708,14.5759906666667,0.637899136731207
"ABCA4","Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,1.22204,0.556301,1.285668,23,10,13,25.8367566666667,0.0735083362656715
"ABCA5","Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,6.679427,7.075997,6.759744,323,230,276,208.214448333333,0.028454319068738
"ABCA6","Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,1.179883,0.523131,0.304506,17,18,12,94.9927196666667,0.0149212253280639
"ABCA7","Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,24.152072,12.964013,24.639795,710,377,537,0.0279926666666667,2.43768340759889
"ABCA8","Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,8.680828,3.745783,8.184944,258,141,202,92.3266466666667,0.0271799258189712
