"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.574087,5.356817,5.122674,51,37,35,3.30626433333333,0.232219836636441
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.063683,0.066053,0,4,2,0,16.1244153333333,0.0604762058445752
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,5.41321993450835
"A3GALT2","A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,0,0,0,0,0,0,14.8929526666667,0.076603911108777
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,33.003692,32.717969,29.75239,1208,1099,1075,12.358464,0.267028080473923
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,0,0,0,0,2.25089866666667,0.307607250343905
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,17.868209,17.289999,16.874782,598,489,514,3.297399,7.42070067654101
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,6.792635,7.2732,5.012077,382,296,228,9.04946033333333,13.4418226637112
"AADAC","Aadac",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,3,2,4,0.485872,0.673005480956637
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.22497266666667,0.236687921768015
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,2.803781,1.273732,1.256284,72,50,52,8.58759633333333,0.128973758420993
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,13.5382,8.893211,8.17232,443,347,312,55.846109,0.385563070523144
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,8.140723,4.98695,5.632312,1061,924,810,19.618997,3.44517188041041
"AAMDC","Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,43.508279,45.757314,41.928473,288,290,250,105.933304666667,0.367518630319832
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.384486,0.191591,0.957074,4,2,7,0.195217333333333,1.54959572206115
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,9.629091,8.985329,7.802869,494,440,373,0,13.987014
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.509473,0.537165,0.417107,11,13,17,0.182879666666667,4.37386671340759
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,2.873718,2.217694,1.513002,289,218,155,5.08377433333333,1.34375754568587
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,42.269472,45.211996,38.782538,410,412,304,4.02409666666667,4.6979444397633
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,1.51679,1.429238,0.686802,72,62,45,5.38488366666667,0.99905359800082
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,15.491333,11.332325,7.790263,438,436,306,121.357049,0.0861997905817425
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,10.663442,6.340196,5.078783,777,556,484,8.239964,0.298839295622075
"AATF","Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,18.011852,16.629179,17.421425,333,266,229,87.4279296666667,0.113717540426113
"AATK","Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,0.807211,1.215351,1.261386,81,68,60,7.41496433333333,9.44992327755162
"ABAT","Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,3.072307,1.855792,1.672802,274,169,145,0.722117333333333,79.9659850896726
