"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,18.566797,13.425058,13.989052,182,164,192,9.26790433333333,0.0973908567450943
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.232084,0.063162,0.004811,1,5,1,16.220613,0.0601383740907868
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,20.514891,0.866071,0.291101,519,12,14,2.97925533333333,3.37467688678099
"A3GALT2","A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,0.438529,0.497281,0.204317,5,8,4,11.568825,0.0968636553801436
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,13.724676,11.545392,14.652328,285,366,484,13.5687636666667,0.244844729560786
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.153016,0.028124,0,4,1,0,8.37407766666667,0.106677161802905
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,13.508489,16.738215,19.022055,343,455,490,30.1619223333333,1.02335508463016
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,15.145339,10.858128,8.980095,461,652,560,16.2866656666667,7.81429260398916
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,15.380365,0.0610487006852412
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0.011945,0,0,1,0,13.2169563333333,0.0703385433952119
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,16.560745,15.539194,12.933418,429,514,491,16.745054,0.0696841121663159
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,41.413864,42.849994,35.918127,993,1426,1315,96.488751,0.224823480745315
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,6.53633437299389
"AAMDC","Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,9.532266,5.352023,7.306193,48,40,51,19.3151253333333,1.93451829717155
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.253842,0.182542,0.515652,1,1,6,0,1.85210366666667
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,13.3646958476513
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,0.160926,0.129803,0.240983,5,6,12,10.131919,0.464767844609721
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,4.02726,4.870429,3.692426,318,528,425,22.3376433333333,0.350297480765339
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,57.596898,71.665882,48.347544,392,756,544,10.569663,2.04007039790182
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,5.317648,4.075445,5.487073,154,175,182,43.666992,0.14280883297447
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,104.747918,110.344793,89.985303,3116,4632,3686,139.696805,0.0749636923169648
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,2.628604,2.250706,1.439504,225,282,185,28.594794,0.0933023670762274
