"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.512248,7.362639,11.019571,104,79,86,13.451698,0.0691960211180721
"A1CF","A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,0.012027,0,0.110455,2,0,3,22.081877,0.0448672205759812
"A2M","A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,166.022861,193.59196,157.990809,4945,3898,3159,3.21241433333333,3.18788702567482
"A3GALT2","A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,0.144755,0.097166,0.113413,2,1,1,19.0452523333333,0.060735695070738
"A4GALT","A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,4.719891,2.211286,2.676825,75,26,24,20.6474723333333,0.164780670235911
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.099138,0,0,3,0,0,12.9156153333333,0.0718617162120463
"AAAS","Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,22.215928,24.455156,21.480131,578,403,355,10.661894,2.7345225112376
"AACS","Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,17.933589,18.199238,25.629245,910,792,813,18.3099346666667,6.99552152808941
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,8.49255,0.105345771157381
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,12.422446,0.0745020691459664
"AADAT","Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,13.595651,16.190365,22.775181,324,335,359,23.3733143333333,0.0507336965511584
"AAGAB","Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,22.912872,27.695939,31.184347,656,567,572,85.3960573333333,0.253689358170249
"AAK1","Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,11.479212,14.408764,9.576512,2755,2090,1905,22.4159426666667,3.03365914744012
"AAMDC","Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,13.752073,7.993795,9.099596,71,41,35,95.412105,0.407624972680211
"AANAT","Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.21683,0.243358,0.326805,4,5,1,0.16966,1.58345473613415
"AAR2","Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,10.815465,10.804659,13.984677,486,364,414,0.318630333333333,10.6072290667261
"AARD","Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,1.609116,1.070727,1.582262,36,32,31,11.6859796666667,0.40783275205733
"AARS2","Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,5.079803,4.491045,5.615728,446,312,330,44.5256796666667,0.179571567662995
"AARSD1","Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,51.795203,58.156602,82.475187,415,381,422,10.5240543333333,2.04814436979254
"AASDH","Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,6.432077,7.774202,3.850395,231,167,150,6.46824466666667,0.854128551582001
"AASDHPPT","Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,58.628575,94.077285,98.573128,1977,2473,2685,241.605922,0.0434744210407197
"AASS","Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,13.774036,8.645864,8.691924,1272,600,554,12.0579066666667,0.211463016532512
"AATF","Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,15.556557,12.511396,24.184485,282,197,252,30.8474996666667,0.315748701528102
"AATK","Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,10.041919,13.414946,14.753141,524,498,547,33.5235333333333,2.30337858427005
"ABAT","Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,20.235765,20.679629,22.875907,1501,1015,1095,0.294678,106.366841021474
"ABCA1","Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,9.443781,4.284659,2.688057,1855,645,360,20.1129566666667,0.3312697874149
"ABCA13","Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,0.473253,0.153458,0.298046,16,13,6,19.4391393333333,0.0496132762798329
"ABCA17P","Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,3.708489,2.524203,3.578368,36,18,16,0.322248333333333,0.776532900400706
"ABCA2","Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,65.073528,68.481942,65.791533,2021,1255,1196,94.1297176666667,1.39751196150051
"ABCA3","Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,27.609577,42.459618,39.449413,3105,3571,2969,25.8438886666667,0.599162284808562
"ABCA4","Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,1.143229,0.018773,0.021485,17,1,2,28.9589186666667,0.132118208627824
"ABCA5","Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,12.626236,11.918269,12.828291,670,562,506,49.0491633333333,0.257744967964499
"ABCA6","Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,1.147123,0.606076,1.259058,36,30,11,190.939684,0.00811442411252485
"ABCA7","Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,22.668326,32.522392,34.714621,715,882,818,0.154254,6.55552157497397
"ABCA8","Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,41.403634,26.861255,35.063602,1731,991,983,136.190888,0.0353293458770624
"ABCA9","Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,1.381284,1.137468,5.074584,58,43,31,55.988788,0.0393068135905376
"ABCB1","Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,0.30007,0.314046,0.298593,3,1,5,4.06970533333333,5.75033519370883
"ABCB10","Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,4.896031,7.84716,8.051324,306,313,320,11.1683663333333,0.682497204020731
"ABCB11","Abcb11",0,0,0,0,0,0,0,1.175122,1.322998,0.805546,11,4,8,37.654127,0.0258704587999103
"ABCB4","Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,2.033786,0.852535,0.451585,44,12,10,0.370088,1.51521921706246
"ABCB5","Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,0.028091,0.34729,0.350931,3,10,12,135.154633666667,0.00741193038745424
"ABCB6","Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,54.080406,38.532465,32.137188,870,459,384,81.0146936666667,0.112746707367449
"ABCB7","Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,11.18593,7.852267,6.075745,297,164,171,0.421135333333333,8.91626178693749
"ABCB8","Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,18.529731,23.651367,21.054635,617,605,535,0.0338166666666667,19.4252517370907
"ABCB9","Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,15.865448,14.222772,16.455124,442,382,371,1.56304333333333,6.96614337382773
"ABCC1","Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,5.953924,4.982028,4.693158,660,375,308,0.242104,10.9408643183931
"ABCC10","Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,35.009112,58.850277,42.406563,641,664,643,0.205172333333333,2.66323737379744
"ABCC12","Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,0,0.024085,0,0,1,0,14.3204853333333,0.160897230931936
"ABCC2","Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,0.146712,0.308158,0.143396,16,10,4,0.723067666666667,0.613451048449829
"ABCC3","Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.822929,0,0.384356,11,0,3,0.0271823333333333,1.51665608215614
"ABCC5","Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,24.407761,29.952643,29.4664,1378,1518,1344,19.9038253333333,4.4560116556657
"ABCC6","Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,0.709936,0.292227,1.18336,40,15,21,22.040551,0.120991348398453
"ABCC9","Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,1.933667,0.299867,0.41351,229,35,44,0,3.43092466666667
"ABCD1","Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,7.188261,4.56707,5.591021,256,128,147,12.7466093333333,0.286343095320378
"ABCD2","Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.823714,0.905926,0.985813,90,77,76,6.260462,4.18777900543152
"ABCD3","Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,22.412866,15.820691,18.169306,1142,727,822,0.244473666666667,21.4020781476292
"ABCD4","Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,63.780985,46.864754,55.905635,1013,556,577,11.4227743333333,0.493751462871029
"ABCE1","Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,47.892143,47.474433,56.270122,1284,1130,1197,74.918402,0.30552218419982
"ABCF1","Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,48.558347,63.90383,48.560484,990,770,800,18.717929,2.72092337892078
"ABCF2","Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,15.544121,48.430262,33.217097,485,502,554,2.28080666666667,10.3779656832364
"ABCF3","Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,38.478334,54.941591,52.139742,684,676,609,120.43151,1.92904885505692
"ABCG1","Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,9.640229,12.006134,8.714856,505,488,311,52.408327,0.618128948319239
"ABCG2","Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,0.524925,0.589011,0.449804,43,28,26,13.726669,1.30767910471359
"ABCG5","Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,0.143393,0,0.032884,8,0,1,55.182183,0.01846604406003
"ABCG8","Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,0.175022,0.165036,0.187492,13,11,10,36.5177673333333,0.0268117145066077
"ABHD1","Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,0.980869,0.239741,0.305691,35,9,12,32.5293466666667,0.0652420108792258
"ABHD10","Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,21.945498,27.924148,27.804594,652,596,653,23.189846,0.61844744002642
"ABHD11","Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,9.519305,7.909704,9.968295,144,94,107,0.793785666666667,8.2336856670167
"ABHD12","Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,61.002748,58.3518,58.606077,751,570,568,0.162103666666667,185.949698119301
"ABHD13","Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,3.390322,2.495253,3.321503,307,176,213,23.5291876666667,0.380967229475992
"ABHD14A","Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,15.051411,20.447943,23.789903,233,218,216,7.28496833333333,1.37598502186993
"ABHD14B","Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,7.978791,5.158438,4.171231,200,107,84,35.539614,0.316571561666378
"ABHD15","Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,1.666242,0.980568,1.679204,104,46,69,138.210739,0.0104442636905093
"ABHD16A","Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,38.772235,39.606803,45.286219,679,661,613,13.532581,6.42253490048785
"ABHD16B","Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,0,0,0,0,0,0,12.3178646666667,0.0756796747746899
"ABHD17A","Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,19.891946,16.379027,21.502911,759,552,573,17.5959036666667,2.78472568985668
"ABHD17B","Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,8.626714,9.022235,10.593376,391,316,341,65.3800016666667,0.306430834929426
"ABHD17C","Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,13.219325,17.660275,23.594158,422,387,432,12.5338163333333,0.670138546040561
"ABHD18","Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,5.486353,3.54464,4.951791,236,155,188,0.616735,3.60017133296428
"ABHD2","Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,36.149134,28.486848,25.146828,3943,2908,2699,29.3014216666667,0.476784186088518
"ABHD3","Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,9.642693,6.919606,4.384585,104,59,62,110.301950333333,0.521950715981913
"ABHD4","Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,39.666519,10.931269,10.1797,306,154,175,7.10910433333333,4.46174145907524
"ABHD5","Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,7.984091,8.165592,14.175874,242,266,255,49.767848,0.411208225069274
"ABHD6","Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,8.283415,13.65003,12.504431,185,149,202,0.716666,10.9691671724921
"ABHD8","Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,6.351783,4.187949,6.20397,187,106,136,1.21588,30.9794746707102
"ABI1","Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,15.274284,15.178726,16.016221,630,503,508,61.643825,1.02593562360962
"ABI2","Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,55.693149,35.541915,32.008028,3195,2224,2142,23.091872,1.33732441657778
"ABI3","Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,0.080843,0.106816,0.123214,1,1,1,67.2956426666667,0.0307621967956882
"ABITRAM","Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,15.771021,15.579426,12.779188,218,171,188,17.302452,0.361670028329173
"ABL1","Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,25.90656,19.930765,26.375471,2130,1113,1157,1.902864,5.9351453139612
"ABL2","Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,6.897981,5.749299,4.319143,1188,807,647,0,7.34308166666667
"ABLIM1","Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,40.278722,80.432426,57.957359,4547,5302,4617,2.11902333333333,12.5759146826945
"ABLIM2","Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,8.029056,12.377298,11.75464,245,279,223,20.475542,2.56990302425584
"ABLIM3","Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,55.789335,56.612711,66.861423,2333,2247,2011,0.0896073333333333,11.0652494996669
"ABO","Abo",0,0.04772,0,0,2,0,0.0159066666666667,0.183863,0.173732,0.075984,22,16,6,176.944523333333,0.00570912016642191
"ABR","Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,197.043613,257.031715,274.908047,1875,1447,1461,967.458404,0.0783582433895977
"ABRA","Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,0.063103,0.063272,0,3,2,0,84.6679683333333,0.0122340942640541
"ABRACL","Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,11.912176,11.774747,14.945013,113,90,104,12.372652,1.73350569007055
"ABRAXAS1","Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,7.491499,5.007126,3.562498,275,121,99,1.305515,1.63361678410247
"ABRAXAS2","Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,7.8423,8.782454,8.707067,412,353,319,40.735399,0.350517275115384
"ABT1","Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,4.02236,4.495368,5.868998,215,183,215,0.757992333333333,1.79292325317308
"ABTB1","Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,8.227788,5.243431,7.957303,219,121,132,16.019151,1.55609385763916
"ABTB2","Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,3.451672,3.840048,4.832426,318,267,292,0.286513666666667,4.40547023596847
"ACAA1","Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,37.51069,45.687812,49.761725,672,620,569,5.97435133333333,0.196686200781205
"ACAA2","Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,24.508458,12.44024,15.340642,617,249,284,58.23203,0.287700534097289
