"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,8.512248,7.362639,11.019571,104,79,86,13.451698,0.0691960211180721
"A1CF","A1cf",0.021395,0,0.042279,3,0,2,0.0212246666666667,0.012027,0,0.110455,2,0,3,22.081877,0.0442435711214762
"A2M","A2m",3.753913,2.653814,3.40167,502,126,232,3.269799,166.022861,193.59196,157.990809,4945,3898,3159,3.21241433333333,1.01362274983555
"A3GALT2","A3galt2",17.905758,17.130012,16.379825,2525,593,913,17.1385316666667,0.144755,0.097166,0.113413,2,1,1,19.0452523333333,0.904879188599887
"A4GALT","A4galt",28.058994,17.27297,23.239305,1310,267,451,22.8570896666667,4.719891,2.211286,2.676825,75,26,24,20.6474723333333,1.10207276393794
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.099138,0,0,3,0,0,12.9156153333333,0.0718617162120463
"AAAS","Aaas",33.451231,34.79836,31.647085,470,93,173,33.298892,22.215928,24.455156,21.480131,578,403,355,10.661894,2.94110819391773
"AACS","Aacs",469.859096,671.240799,464.155304,5609,1393,2129,535.085066333333,17.933589,18.199238,25.629245,910,792,813,18.3099346666667,27.7621377590023
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,8.49255,0.105345771157381
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,12.422446,0.0745020691459664
"AADAT","Aadat",0.208399,0.235488,0.043062,7,3,1,0.162316333333333,13.595651,16.190365,22.775181,324,335,359,23.3733143333333,0.0476880705445845
"AAGAB","Aagab",21.937984,24.420551,19.456147,1783,449,667,21.9382273333333,22.912872,27.695939,31.184347,656,567,572,85.3960573333333,0.265500857809206
"AAK1","Aak1",55.611076,53.619672,62.888283,11469,2482,4642,57.3730103333333,11.479212,14.408764,9.576512,2755,2090,1905,22.4159426666667,2.49287466937768
"AAMDC","Aamdc",35.667489,38.821012,35.238074,533,133,194,36.575525,13.752073,7.993795,9.099596,71,41,35,95.412105,0.389738664040164
"AANAT","Aanat",0.412679,0.342473,2.807437,16,3,6,1.18752966666667,0.21683,0.243358,0.326805,4,5,1,0.16966,1.87022696054124
"AAR2","Aar2",13.047905,11.955033,10.001512,1331,273,464,11.66815,10.815465,10.804659,13.984677,486,364,414,0.318630333333333,9.60705186265243
"AARD","Aard",2.57551,1.792836,2.300635,113,19,43,2.22299366666667,1.609116,1.070727,1.582262,36,32,31,11.6859796666667,0.254059501225224
"AARS2","Aars2",6.79198,7.088157,7.718581,883,233,341,7.19957266666667,5.079803,4.491045,5.615728,446,312,330,44.5256796666667,0.18010873701838
"AARSD1","Aarsd1",20.141048,21.056957,18.232245,980,245,334,19.8100833333333,51.795203,58.156602,82.475187,415,381,422,10.5240543333333,1.80579531572844
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,6.432077,7.774202,3.850395,231,167,150,6.46824466666667,1.08185283520884
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,58.628575,94.077285,98.573128,1977,2473,2685,241.605922,0.0437675424922232
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,13.774036,8.645864,8.691924,1272,600,554,12.0579066666667,0.106904475755685
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,15.556557,12.511396,24.184485,282,197,252,30.8474996666667,0.288608098894294
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,10.041919,13.414946,14.753141,524,498,547,33.5235333333333,3.12928359013079
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,20.235765,20.679629,22.875907,1501,1015,1095,0.294678,21.2232477882531
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,9.443781,4.284659,2.688057,1855,645,360,20.1129566666667,0.724563810500566
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.473253,0.153458,0.298046,16,13,6,19.4391393333333,0.0504745486837035
"ABCA17P","Abca17",0.241964,0.12923,0.257969,35,5,6,0.209721,3.708489,2.524203,3.578368,36,18,16,0.322248333333333,0.914896974723608
"ABCA2","Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,65.073528,68.481942,65.791533,2021,1255,1196,94.1297176666667,0.741769341177448
"ABCA3","Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,27.609577,42.459618,39.449413,3105,3571,2969,25.8438886666667,1.13993587317565
"ABCA4","Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,1.143229,0.018773,0.021485,17,1,2,28.9589186666667,0.0424977065260344
"ABCA5","Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,12.626236,11.918269,12.828291,670,562,506,49.0491633333333,0.474152135343721
"ABCA6","Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,1.147123,0.606076,1.259058,36,30,11,190.939684,0.115239816691581
"ABCA7","Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,22.668326,32.522392,34.714621,715,882,818,0.154254,25.42096742427
"ABCA8","Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,41.403634,26.861255,35.063602,1731,991,983,136.190888,0.102289947031079
"ABCA9","Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,1.381284,1.137468,5.074584,58,43,31,55.988788,0.0668725106653143
"ABCB1","Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.30007,0.314046,0.298593,3,1,5,4.06970533333333,6.83596955930904
"ABCB10","Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,4.896031,7.84716,8.051324,306,313,320,11.1683663333333,0.530438994289538
"ABCB11","Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,1.175122,1.322998,0.805546,11,4,8,37.654127,0.0259774245235617
"ABCB4","Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,2.033786,0.852535,0.451585,44,12,10,0.370088,2.70564226531434
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.028091,0.34729,0.350931,3,10,12,135.154633666667,0.00734459028730669
"ABCB6","Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,54.080406,38.532465,32.137188,870,459,384,81.0146936666667,0.126724166146472
"ABCB7","Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,11.18593,7.852267,6.075745,297,164,171,0.421135333333333,5.84169206498279
"ABCB8","Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,18.529731,23.651367,21.054635,617,605,535,0.0338166666666667,26.084328620484
