"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,6.574087,5.356817,5.122674,51,37,35,3.30626433333333,0.240856247174175
"A1CF","A1cf",0,0,0,0,0,0,0,0.063683,0.066053,0,4,2,0,16.1244153333333,0.0583961542940074
"A2M","A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,0.426680927740162
"A3GALT2","A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,0,0,0,0,0,0,14.8929526666667,0.0643241706837861
"A4GALT","A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,33.003692,32.717969,29.75239,1208,1099,1075,12.358464,0.135169307888492
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,0,0,0,0,2.25089866666667,0.307607250343905
"AAAS","Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,17.868209,17.289999,16.874782,598,489,514,3.297399,1.58001960410627
"AACS","Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,6.792635,7.2732,5.012077,382,296,228,9.04946033333333,0.445212066279778
"AADAC","Aadac",0,0,0,0,0,0,0,0.114227,0.093886,0.189067,3,2,4,0.485872,0.673005480956637
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.22497266666667,0.236687921768015
"AADAT","Aadat",0,0,0,0,0,0,0,2.803781,1.273732,1.256284,72,50,52,8.58759633333333,0.10430142918338
"AAGAB","Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,13.5382,8.893211,8.17232,443,347,312,55.846109,0.084613308068866
"AAK1","Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,8.140723,4.98695,5.632312,1061,924,810,19.618997,0.383429788881907
"AAMDC","Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,43.508279,45.757314,41.928473,288,290,250,105.933304666667,0.245115190398711
"AANAT","Aanat",0.023974,0,0,1,0,0,0.00799133333333333,0.384486,0.191591,0.957074,4,2,7,0.195217333333333,0.843354012045787
"AAR2","Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,9.629091,8.985329,7.802869,494,440,373,0,3.432691
"AARD","Aard",0,0.027521,0,0,1,0,0.00917366666666667,0.509473,0.537165,0.417107,11,13,17,0.182879666666667,0.853149897749531
"AARS2","Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,2.873718,2.217694,1.513002,289,218,155,5.08377433333333,0.540142213252157
"AARSD1","Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,42.269472,45.211996,38.782538,410,412,304,4.02409666666667,1.52477586352173
"AASDH","Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,1.51679,1.429238,0.686802,72,62,45,5.38488366666667,0.744211941005869
"AASDHPPT","Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,15.491333,11.332325,7.790263,438,436,306,121.357049,0.0367858386864713
