"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,5.64798,11.508254,10.164183,80,113,74,6.82626466666667,0.132526909175999
"A1CF","A1cf",0,0,0,0,0,0,0,0.008778,0.015491,0.033933,1,2,3,17.6506633333333,0.0536173959138897
"A2M","A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,40.625779,51.799758,89.320033,783,1285,1315,3.348799,0.243395322095441
"A3GALT2","A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,0.55418,0.27785,0.327994,5,3,2,10.551188,0.0885018060480013
"A4GALT","A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,10.846069,12.300869,12.113367,217,235,152,16.06117,0.105834144629784
"A4GNT","A4gnt",0,0,0,0,0,0,0,0,0,0,0,0,0,10.3202566666667,0.0883372196802369
"AAAS","Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,15.794751,14.437361,18.892936,243,314,228,20.6681063333333,0.313362624412695
"AACS","Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,16.816166,15.213942,17.768125,515,633,467,21.5908253333333,0.198051241332838
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,17.7200676666667,0.0534186103280289
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0.019721,0.018105,0,1,1,0,16.5164316666667,0.0570892530527764
"AADAT","Aadat",0,0,0,0,0,0,0,23.254813,19.782313,24.720589,444,388,330,18.9848223333333,0.0500379729837311
"AAGAB","Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,38.022919,40.964417,49.3614,824,823,659,98.15076,0.0485113511316841
"AAK1","Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,10.270345,12.426278,11.917593,2058,2373,1545,14.523083,0.509302028898941
"AAMDC","Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,4.594566,5.205604,4.56697,17,27,14,11.0918973333333,2.16764802171107
"AANAT","Aanat",0.023974,0,0,1,0,0,0.00799133333333333,0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,0.921269193273215
"AAR2","Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,12.288203,12.652486,12.834718,390,432,284,0.112956333333333,3.08429980331663
"AARD","Aard",0,0.027521,0,0,1,0,0.00917366666666667,0.417513,1.538506,1.037211,12,14,10,15.675252,0.0605192453263475
"AARS2","Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,3.755461,4.640839,4.294325,242,329,196,31.1199893333333,0.102307111600535
