"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,18.566797,13.425058,13.989052,182,164,192,9.26790433333333,0.101012887634682
"A1CF","A1cf",0,0,0,0,0,0,0,0.232084,0.063162,0.004811,1,5,1,16.220613,0.058069942109494
"A2M","A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,20.514891,0.866071,0.291101,519,12,14,2.97925533333333,0.265998847690598
"A3GALT2","A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,0.438529,0.497281,0.204317,5,8,4,11.568825,0.0813362426479802
"A4GALT","A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,13.724676,11.545392,14.652328,285,366,484,13.5687636666667,0.123940121114372
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.153016,0.028124,0,4,1,0,8.37407766666667,0.106677161802905
"AAAS","Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,13.508489,16.738215,19.022055,343,455,490,30.1619223333333,0.217893318455632
"AACS","Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,15.145339,10.858128,8.980095,461,652,560,16.2866656666667,0.258820358204031
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,15.380365,0.0610487006852412
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0.011945,0,0,1,0,13.2169563333333,0.0703385433952119
"AADAT","Aadat",0,0,0,0,0,0,0,16.560745,15.539194,12.933418,429,514,491,16.745054,0.0563537310171048
"AAGAB","Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,41.413864,42.849994,35.918127,993,1426,1315,96.488751,0.0493383829826001
"AAK1","Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,0.727460166196422
"AAMDC","Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,9.532266,5.352023,7.306193,48,40,51,19.3151253333333,1.29021981913771
"AANAT","Aanat",0.023974,0,0,1,0,0,0.00799133333333333,0.253842,0.182542,0.515652,1,1,6,0,1.00799133333333
"AAR2","Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,3.27996176696257
"AARD","Aard",0,0.027521,0,0,1,0,0.00917366666666667,0.160926,0.129803,0.240983,5,6,12,10.131919,0.0906558578684113
"AARS2","Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,4.02726,4.870429,3.692426,318,528,425,22.3376433333333,0.140806990937245
"AARSD1","Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,57.596898,71.665882,48.347544,392,756,544,10.569663,0.66213003207901
"AASDH","Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,5.317648,4.075445,5.487073,154,175,182,43.666992,0.106380717704623
"AASDHPPT","Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,104.747918,110.344793,89.985303,3116,4632,3686,139.696805,0.0319908235774556
"AASS","Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,2.628604,2.250706,1.439504,225,282,185,28.594794,0.0358881813245037
"AATF","Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,16.465887,17.429714,15.691305,276,428,414,30.1587223333333,0.0939152329598624
"AATK","Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,16.385879,16.887406,16.473264,581,867,1089,41.9430956666667,0.0369668971310848
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,59.088785,64.587057,41.158971,3015,4574,3152,0.356269333333333,2.32143590948504
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,4.587007,4.124422,3.096802,771,969,758,13.6558153333333,0.185787639336613
"ABCA13","Abca13",0,0,0,0,0,0,0,0.018797,0.084847,0.059631,1,8,6,14.4847353333333,0.0645797282596973
"ABCA17P","Abca17",0,0,0,0,0,0,0,4.66571,1.657589,2.029971,35,13,40,0.368363333333333,0.730800055540804
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,86.10463,86.558699,80.710993,2072,2678,2585,94.3114753333333,0.0861342068688154
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,55.59978,54.652489,44.714698,4782,6902,6185,33.0884343333333,0.0673424983642791
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.709647,0.545438,0.159905,39,1,1,28.3998213333333,0.0572510962198138
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,10.668791,9.107596,7.662206,513,604,633,3.178246,0.375592772661064
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,0.332708,0.201177,0.26943,9,14,15,116.877734,0.0201702610491873
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,42.45405,52.111696,39.796489,1395,2369,1835,0.296992,1.24274654996587
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,0.244206,0.413915,0.141469,6,7,6,217.002767,0.0106136817979012
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,4.035468,0.682386,0.739211,21,27,35,71.051303,0.0382225611288853
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,2.608253,0.395444,0.72192,71,28,37,5.47972433333333,2.7214990575988
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,4.784184,6.526598,5.638334,213,397,298,3.46895066666667,1.16656893057371
"ABCB11","Abcb11",0,0,0,0,0,0,0,1.713152,2.345963,2.257067,8,17,14,37.9252723333333,0.0256902505764528
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,2.613821,0.236469,0.112046,20,11,9,0.290904,3.23003621234938
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.031732,0.170177,0.033162,3,5,1,251.873522,0.00395454609913647
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,39.80428,30.533985,38.474452,602,671,937,98.0426783333333,0.0568078707214551
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,6.507055,5.040312,4.209266,171,274,200,0.332785333333333,3.53627490898759
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,21.51191,19.464312,14.629305,551,761,665,0.0443566666666667,16.5791402681715
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,13.522164,13.523465,13.352624,392,512,531,2.804119,0.578901886788154
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,11.500209,10.367327,9.302465,903,1271,1197,0.078357,5.41456926293117
"ABCC10","Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,36.128396,35.014973,37.78168,526,739,582,0.110797333333333,1.35996095297312
"ABCC12","Abcc12",0,0,0,0,0,0,0,0,0,0,0,0,0,24.0371986666667,0.0399405705611687
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,0.525342,0.194318,0.093136,8,4,5,0.258827333333333,0.800388827485475
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,0.735677,0.386222,0.301105,6,5,4,0.037753,1.20765378017055
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,40.658816,35.616212,29.02946,2274,2699,2335,13.9901206666667,0.749371263678064
"ABCC6","Abcc6",0,0,0,0,0,0,0,1.563937,2.080382,1.038311,47,91,70,17.2320626666667,0.0548484292909042
"ABCC9","Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,2.011239,0.868414,0.975146,245,158,167,0,23.1163466666667
"ABCD1","Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,10.618352,6.729346,8.415782,351,364,475,10.3287653333333,0.326326734752148
"ABCD2","Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,1.015291,0.95263,0.78988,101,128,108,3.89511266666667,0.452322990454833
"ABCD3","Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,11.715671,11.503515,12.736033,658,873,979,0.00792966666666667,15.9729233752752
"ABCD4","Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,58.610022,52.354869,50.095508,722,999,947,2.48702933333333,0.581669038631546
"ABCE1","Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,47.293811,49.347163,47.386876,1200,1864,1735,92.46756,0.0806995353967373
"ABCF1","Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,49.941811,50.936379,55.648464,769,1208,1106,18.3234196666667,0.83590927202861
"ABCF2","Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,19.522918,29.608502,27.332976,499,751,734,2.73144,2.26850322306312
"ABCF3","Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,46.460597,40.982435,31.451225,710,879,744,116.286335333333,0.470021810383901
"ABCG1","Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,2.981022,2.516257,2.216058,133,150,148,38.8820083333333,0.0391245927309328
