"Hs_symbol","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0.092692,0.01888,0,1,1,0,0.0371906666666667,12.383067,11.034331,14.333404,126,71,81,21.339172,0.0464292350077553
"A1CF","A1cf",0,0,0,0,0,0,0,0,0.018194,0.01632,0,2,2,25.9035856666667,0.0371697666024865
"A2M","A2m",0.013353,0.162079,0,2,4,0,0.0584773333333333,93.505878,154.962182,63.431646,2246,2504,1541,2.80286666666667,0.278336693371667
"A3GALT2","A3galt2",0.014454,0.028056,0.024393,1,3,2,0.022301,0.251325,0.112836,0.205214,3,1,2,31.34975,0.0316015116036445
"A4GALT","A4galt",0.946044,0.571248,0.899671,44,34,32,0.805654333333333,1.677651,1.425484,2.068745,11,6,11,15.4402076666667,0.109831601275596
"A4GNT","A4gnt",0,0,0,0,0,0,0,0.079778,0.049504,0.045031,2,1,1,13.7070106666667,0.0679947830776034
"AAAS","Aaas",5.864166,6.572757,4.933001,74,62,46,5.78997466666667,22.626138,22.03279,25.95966,485,382,454,4.99417633333333,1.13276191574611
"AACS","Aacs",0.197809,8.053353,2.171261,16,38,23,3.474141,20.326116,20.425959,26.161884,720,608,707,18.556026,0.228785797278036
"AADAC","Aadac",0,0,0,0,0,0,0,0,0,0,0,0,0,6.87484866666667,0.126986567276256
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,10.766603,0.0849862955349135
"AADAT","Aadat",0,0,0,0,0,0,0,11.191628,12.930531,10.028336,298,198,233,23.18006,0.0413563903480802
"AAGAB","Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,19.083715,24.987378,20.768264,460,421,405,37.2516393333333,0.125744606431595
"AAK1","Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,8.82358,11.990978,8.52265,1360,1207,1223,21.7024766666667,0.348241197766529
"AAMDC","Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,11.840577,16.196803,14.120167,61,65,52,175.753678,0.148290986812356
"AANAT","Aanat",0.023974,0,0,1,0,0,0.00799133333333333,0.527125,0,0.383865,5,0,3,0.146671333333333,0.879058631738126
"AAR2","Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,9.802296,9.159607,9.720694,356,271,317,1.12813166666667,1.61300687065885
"AARD","Aard",0,0.027521,0,0,1,0,0.00917366666666667,0.430968,0.085659,1.087127,14,2,11,4.09296266666667,0.198150611484291
"AARS2","Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,5.386935,4.813326,4.864937,386,295,304,55.302048,0.0583656092462806
"AARSD1","Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,74.878567,67.118873,80.955658,446,311,417,10.9592553333333,0.640560061627026
"AASDH","Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,5.458335,2.72435,3.019545,133,107,128,1.503734,1.89784804083288
"AASDHPPT","Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,49.305585,36.802533,43.42734,1280,906,1184,323.327237666667,0.0138779792257
"AASS","Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,9.710755,9.041474,7.927698,771,591,561,7.66031,0.122640336585334
"AATF","Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,15.593698,15.462792,19.291505,279,197,205,19.5606413333333,0.142324289365552
"AATK","Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,5.175648,2.801113,2.12947,197,66,153,13.7411343333333,0.107690016528127
"ABAT","Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,19.311736,14.714566,12.931931,1137,753,789,0.501137666666667,2.097404124383
"ABCA1","Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,13.944394,12.167811,12.461129,2286,1610,1812,15.6002666666667,0.164025638142359
"ABCA13","Abca13",0,0,0,0,0,0,0,0.064986,0.353211,0.084842,4,8,5,4.59273066666667,0.178803532585633
"ABCA17P","Abca17",0,0,0,0,0,0,0,1.321805,0.403783,0.722064,13,4,7,0.592088666666667,0.628105721080024
"ABCA2","Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,50.768809,33.180849,36.909447,1020,646,751,53.3607073333333,0.151020447232101
"ABCA3","Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,21.599438,17.726576,24.450837,1930,1121,1708,14.5759906666667,0.147380695228973
"ABCA4","Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,1.22204,0.556301,1.285668,23,10,13,25.8367566666667,0.0627189053023919
"ABCA5","Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,6.679427,7.075997,6.759744,323,230,276,208.214448333333,0.00750100680188045
"ABCA6","Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,1.179883,0.523131,0.304506,17,18,12,94.9927196666667,0.0247688019979321
"ABCA7","Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,24.152072,12.964013,24.639795,710,377,537,0.0279926666666667,1.56794147039959
"ABCA8","Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,8.680828,3.745783,8.184944,258,141,202,92.3266466666667,0.0247926190712092
"ABCA9","Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,2.080644,1.631188,5.048676,56,70,42,70.524086,0.0385043065539255
"ABCB1","Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.242278,0.606745,0.127132,1,5,2,1.80413866666667,6.28876306164602
"ABCB10","Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,4.487977,5.694735,6.12157,229,188,232,19.2221996666667,0.257802765571217
"ABCB11","Abcb11",0,0,0,0,0,0,0,1.580405,3.39585,0.543683,8,15,6,17.6704116666667,0.0535606829594098
"ABCB4","Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,0.391427,0.466284,0.700631,11,23,7,0.284030333333333,3.24732723084683
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.218901,0.076822,0,4,2,0,124.477910666667,0.0079695302120268
"ABCB6","Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,17.599676,11.88309,16.193697,250,162,216,60.1961696666667,0.0919404547263903
"ABCB7","Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,5.349743,5.631146,5.087587,135,114,121,0.477899333333333,3.18905031420724
"ABCB8","Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,25.451568,21.496367,20.678115,717,431,556,0.047523,16.5290267294051
"ABCB9","Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,20.038858,11.346602,23.406662,473,230,418,1.25770333333333,0.975421187608056
"ABCC1","Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,8.866004,11.470193,9.218329,759,724,593,0.0985743333333333,5.3149236146363
"ABCC10","Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,67.229562,58.653056,74.269479,908,586,738,0.04034,1.45206470961416
"ABCC12","Abcc12",0,0,0,0,0,0,0,0,0,0,0,0,0,18.1321966666667,0.0522679134770898
"ABCC2","Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,1.027977,1.07924,0.751123,20,15,18,0.845947666666667,0.545817929471818
"ABCC3","Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,0.387771,0.982346,0.063447,3,5,1,0.884872666666667,0.664897080580863
"ABCC5","Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,47.052923,36.864191,46.334162,2382,1605,1925,20.949055,0.51178356729557
"ABCC6","Abcc6",0,0,0,0,0,0,0,0.700877,0.769524,0.372597,31,27,18,24.1202313333333,0.0398085505953541
"ABCC9","Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,0.152849,0.551804,0.203548,19,57,23,0.021795,22.623272443755
