"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"A1BG",6.574087,5.356817,5.122674,5.684526,51,37,35,5.64798,11.508254,10.164183,9.10680566666667,80,113,74,0.661388595018334
"A1BG.AS1",2.337322,2.003968,1.253341,1.864877,87,70,50,2.993404,4.426786,4.406824,3.942338,63,111,64,0.579660274145556
"A1CF",0.063683,0.066053,0,0.0432453333333333,4,2,0,0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,1.02339086822911
"A2M",47.469149,41.973869,31.55372,40.332246,2028,1448,1149,40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,0.671175703969519
"A2M.AS1",1.058558,0.498442,0.612746,0.723248666666667,47,23,23,0.985994,1.245013,1.84604,1.35901566666667,28,48,47,0.730494795357442
"A2ML1",0.229587,0.095002,0,0.108196333333333,6,4,0,0.729893,0.415146,1.694227,0.946422,8,7,12,0.5693504971344
"A2MP1",0.062851,0.01158,0.048479,0.04097,2,1,1,0.092784,0.262009,0.132758,0.162517,2,3,1,0.895444969837
"A3GALT2",0,0,0,0,0,0,0,0.55418,0.27785,0.327994,0.386674666666667,5,3,2,0.72114968567489
"A4GALT",33.003692,32.717969,29.75239,31.8246836666667,1208,1099,1075,10.846069,12.300869,12.113367,11.753435,217,235,152,2.57379158373149
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",17.868209,17.289999,16.874782,17.34433,598,489,514,15.794751,14.437361,18.892936,16.375016,243,314,228,1.05578780474217
"AACS",6.792635,7.2732,5.012077,6.359304,382,296,228,16.816166,15.213942,17.768125,16.599411,515,633,467,0.41815626670688
"AACSP1",0.016684,0.017346,0.035141,0.023057,1,1,2,0.49208,0.549654,1.355209,0.798981,14,22,27,0.568686939995475
"AADAC",0.114227,0.093886,0.189067,0.132393333333333,3,2,4,0,0,0,0,0,0,0,1.13239333333333
"AADACL2",0,0,0,0,0,0,0,0.015844,0,0,0.00528133333333333,1,0,0,0.994746412612854
"AADACL3",0,0,0,0,0,0,0,0.019721,0.018105,0,0.0126086666666667,1,1,0,0.987548332261295
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACP1",0.189514,0,0,0.0631713333333333,2,0,0,0,0,0,0,0,0,0,1.06317133333333
"AADAT",2.803781,1.273732,1.256284,1.77793233333333,72,50,52,23.254813,19.782313,24.720589,22.585905,444,388,330,0.117779340387122
"AAGAB",13.5382,8.893211,8.17232,10.2012436666667,443,347,312,38.022919,40.964417,49.3614,42.782912,824,823,659,0.255835967846695
"AAK1",8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,10.270345,12.426278,11.917593,11.538072,2058,2373,1545,0.578504281466348
"AAMDC",43.508279,45.757314,41.928473,43.7313553333333,288,290,250,4.594566,5.205604,4.56697,4.78904666666667,17,27,14,7.72689492915932
"AAMP",48.914554,44.434024,32.481351,41.9433096666667,986,865,668,70.693659,74.272111,74.414188,73.1266526666667,751,872,576,0.579323470328203
"AANAT",0.384486,0.191591,0.957074,0.511050333333333,4,2,7,0.455665,0.118631,0.121817,0.232037666666667,3,1,2,1.22646439651602
"AAR2",9.629091,8.985329,7.802869,8.805763,494,440,373,12.288203,12.652486,12.834718,12.5918023333333,390,432,284,0.721446851529894
"AARD",0.509473,0.537165,0.417107,0.487915,11,13,17,0.417513,1.538506,1.037211,0.997743333333333,12,14,10,0.74479788027491
"AARS1",22.672867,16.865167,16.478736,18.6722566666667,1180,877,706,48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,0.37375545903935
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AARS2",2.873718,2.217694,1.513002,2.20147133333333,289,218,155,3.755461,4.640839,4.294325,4.23020833333333,242,329,196,0.612111627165903
"AARSD1",42.269472,45.211996,38.782538,42.088002,410,412,304,63.27632,66.968262,84.250953,71.4985116666667,365,428,308,0.594329469798081
"AASDH",1.51679,1.429238,0.686802,1.21094333333333,72,62,45,3.182292,4.853213,4.954761,4.33008866666667,105,133,96,0.414804231524354
"AASDHPPT",15.491333,11.332325,7.790263,11.5379736666667,438,436,306,129.667907,110.451006,134.287207,124.80204,3231,3083,2547,0.0996643112199665
"AASS",10.663442,6.340196,5.078783,7.360807,777,556,484,4.313875,2.742641,4.506,3.854172,299,175,207,1.72239611616564
"AATBC",0.16705,0.020132,0.02015,0.0691106666666667,11,2,2,0.131754,0.373232,0.069659,0.191548333333333,8,6,3,0.897244901241942
"AATF",18.011852,16.629179,17.421425,17.354152,333,266,229,14.476301,19.209898,14.950782,16.212327,208,297,163,1.06633763116399
"AATK",0.807211,1.215351,1.261386,1.09464933333333,81,68,60,14.223841,16.332434,12.634368,14.396881,449,556,369,0.136043743751305
"ABALON",0.126228,0.106777,0.026797,0.0866006666666667,5,4,1,0.555463,1.470344,1.275691,1.10049933333333,13,38,21,0.517305885045112
"ABAT",3.072307,1.855792,1.672802,2.20030033333333,274,169,145,28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,0.102381008416091
"ABCA1",1.876267,0.885241,0.804978,1.18882866666667,396,171,159,4.057191,3.554462,2.51638,3.376011,570,529,255,0.50018810891167
"ABCA10",0.159011,0.678309,0.402902,0.413407333333333,12,6,3,2.244064,0.973671,2.240683,1.81947266666667,34,37,31,0.501302016523657
"ABCA11P",1.985955,1.111808,0.940415,1.34605933333333,66,38,32,2.783632,1.968935,3.820819,2.85779533333333,61,48,58,0.608134732566597
"ABCA12",0,0.006599,0,0.00219966666666667,0,1,0,0.083238,0.230357,0.054846,0.122813666666667,9,24,5,0.892578792384964
"ABCA13",0.174113,0.034944,0.058673,0.0892433333333333,5,3,5,0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,1.00379032810498
"ABCA17P",0.02167,0.266152,1.014407,0.434076333333333,2,4,5,2.031216,2.837622,4.432733,3.10052366666667,10,18,15,0.349730046674526
"ABCA2",24.315816,17.365586,16.698512,19.4599713333333,805,444,402,107.50449,75.111095,79.577059,87.397548,1545,1840,1190,0.231454059487412
"ABCA3",2.864033,2.329955,1.427765,2.207251,295,201,155,51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,0.0570974718208109
"ABCA4",0.012157,0.012809,0,0.008322,1,1,0,0.905126,0.080781,0.014008,0.333305,7,3,1,0.756257570473372
"ABCA5",4.156998,3.19961,2.228167,3.194925,168,152,100,15.166472,15.375498,16.666334,15.7361013333333,612,687,561,0.250651266770533
"ABCA6",0.307074,0.113031,0.186072,0.202059,11,7,9,0.380325,0.502694,0.140608,0.341209,12,17,6,0.896250323402244
"ABCA7",11.353326,7.85688,8.990523,9.400243,435,267,221,53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,0.236222348690761
"ABCA8",3.234198,1.719767,1.436738,2.13023433333333,96,64,65,0.39584,0.133049,0.866773,0.465220666666667,3,4,10,2.13635693554236
"ABCA9",0.287344,0.110486,0.190728,0.196186,11,7,5,1.630893,5.875754,1.09333,2.866659,74,97,41,0.309359061660208
"ABCA9.AS1",0,0,0.171932,0.0573106666666667,0,0,1,0,0,0,0,0,0,0,1.05731066666667
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,1.409905,3.284378,1.946045,2.21344266666667,27,71,43,0.353109354785439
"ABCB10",4.005154,2.663769,2.895076,3.18799966666667,137,128,111,10.325898,7.423625,9.542775,9.09743266666667,388,332,292,0.414758860486583
"ABCB10P3",0.115241,0.054277,0,0.056506,5,2,0,0,0,0,0,0,0,0,1.056506
"ABCB10P4",0,0,0.054181,0.0180603333333333,0,0,2,0.12983,0,0.121558,0.083796,3,0,2,0.939346826647573
"ABCB11",0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,1.639649,3.496208,2.969016,2.70162433333333,7,12,8,0.295451285215058
"ABCB4",11.373936,10.12465,10.942716,10.8137673333333,248,158,162,0.520114,0.10443,0.985588,0.536710666666667,4,3,5,7.68769787936658
"ABCB5",0.238192,0,0.073851,0.104014333333333,1,0,5,0,0.258936,0.058403,0.105779666666667,0,2,3,0.998403539704565
"ABCB6",8.326215,7.061364,8.704006,8.03052833333333,123,101,86,45.798715,35.435408,31.250175,37.494766,534,550,292,0.234591069688106
"ABCB7",13.831658,11.114692,9.446497,11.4642823333333,350,248,280,7.623563,5.152974,8.512265,7.09626733333333,182,173,131,1.53950972962767
"ABCB8",11.02178,6.985446,5.674411,7.893879,471,342,268,22.108301,23.197393,18.535002,21.280232,526,651,446,0.399182513000762
"ABCB9",4.324097,2.790693,3.029996,3.38159533333333,187,127,124,13.147339,16.158433,16.129464,15.1450786666667,347,428,305,0.27138891198961
"ABCC1",4.111846,2.414281,2.166516,2.89754766666667,483,341,276,4.341232,5.649856,8.644544,6.21187733333333,333,452,284,0.540434547971605
"ABCC10",14.897475,9.350053,15.513101,13.253543,250,167,160,47.610062,53.34286,79.775617,60.2428463333333,605,657,496,0.232738088664603
"ABCC11",0.152197,0,0.378463,0.176886666666667,2,0,3,0.569528,0.322889,0.314366,0.402261,8,11,9,0.8392778995256
"ABCC12",0.174113,0,0.046512,0.0735416666666667,1,0,1,0.051357,0.030371,0,0.0272426666666667,2,1,0,1.0450711419048
"ABCC13",0,0.021593,0,0.00719766666666667,0,1,0,0.084804,0,0,0.028268,3,0,0,0.979508908831809
"ABCC2",0.206724,0.320286,0.182112,0.236374,3,4,1,0.295949,0.49826,0.480955,0.425054666666667,6,12,3,0.867597593916865
"ABCC3",0.348225,0.325404,0.504307,0.392645333333333,2,3,3,0.450343,0.479305,0,0.309882666666667,4,3,0,1.06318326730537
"ABCC4",0.874694,0.850797,0.835235,0.853575333333333,82,50,37,4.728571,5.721667,5.325962,5.25873333333333,242,283,134,0.296158221578381
"ABCC5",26.815209,20.139758,16.661965,21.205644,1688,1220,1081,41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,0.498210972283521
"ABCC5.AS1",0.393644,0.205992,0,0.199878666666667,2,1,0,0,0.295589,0,0.0985296666666667,0,1,0,1.09225877377306
"ABCC6",2.370812,3.482122,1.641663,2.498199,98,80,51,0.688326,0.691802,0.278854,0.552994,12,21,8,2.25255152305804
"ABCC6P1",1.554418,1.274452,1.425343,1.418071,38,40,29,0.625841,0.060185,0.401571,0.362532333333333,5,1,3,1.77468889423297
"ABCC6P2",2.969539,3.945743,2.768744,3.22800866666667,30,40,28,0,0.457876,0,0.152625333333333,0,3,0,3.66815524906041
"ABCC8",0.18336,0.761856,0.182109,0.375775,9,6,1,44.948896,46.276289,61.444417,50.8898673333333,566,656,646,0.0265133651462666
"ABCC9",5.937915,4.245439,2.802442,4.32859866666667,581,434,370,1.51249,0.676152,0.605353,0.931331666666667,166,81,48,2.75902826978622
"ABCD1",9.855316,6.357848,6.647314,7.62015933333333,690,437,443,6.614678,7.050127,8.893207,7.51933733333333,192,234,142,1.01183448853534
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCD2",0.210704,0.12733,0.165506,0.167846666666667,19,13,17,1.111828,0.947205,1.460715,1.17324933333333,91,82,86,0.537373530387984
"ABCD3",10.323186,7.852999,5.423063,7.866416,539,489,336,14.822618,16.086553,17.331049,16.0800733333333,639,817,573,0.519108778221483
"ABCD4",36.841234,32.142947,25.91358,31.632587,577,476,396,49.321733,40.153747,59.337327,49.604269,485,502,452,0.644858381414422
"ABCE1",25.279482,10.850918,4.462396,13.530932,450,444,265,40.838605,40.205738,45.232008,42.092117,918,1004,713,0.337206269072369
"ABCF1",30.647549,12.146954,19.277681,20.690728,895,681,599,46.260735,63.760304,59.860432,56.627157,625,761,519,0.376397676532958
"ABCF2",6.164294,6.22041,10.611419,7.66537433333333,480,500,342,26.268774,19.429182,42.181654,29.2932033333333,443,535,432,0.28605011619218
