"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg__TPM","FoldChange"
"A1BG",6.574087,5.356817,5.122674,51,37,35,3.30626433333333,18.566797,13.425058,13.989052,182,164,192,9.26790433333333,0.419390772794176
"A1BG.AS1",2.337322,2.003968,1.253341,87,70,50,0.0794916666666667,4.485336,3.910238,3.890783,109,146,152,0.0150216666666667,1.06351588553939
"A1CF",0.063683,0.066053,0,4,2,0,16.1244153333333,0.232084,0.063162,0.004811,1,5,1,16.220613,0.994413807065598
"A2M",47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,20.514891,0.866071,0.291101,519,12,14,2.97925533333333,0.623413962042815
"A2M.AS1",1.058558,0.498442,0.612746,47,23,23,0.915345333333333,1.875543,1.328968,1.240804,64,74,69,0.837580333333333,1.04231923828818
"A2ML1",0.229587,0.095002,0,6,4,0,0.0162356666666667,0.466725,0.673839,0.170052,5,14,11,0.0526876666666667,0.965372445071552
"A2MP1",0.062851,0.01158,0.048479,2,1,1,0.0559523333333333,0.061885,0.170176,0.221341,2,2,6,0.389514666666667,0.759943279955783
"A3GALT2",0,0,0,0,0,0,14.8929526666667,0.438529,0.497281,0.204317,5,8,4,11.568825,1.26447401938261
"A4GALT",33.003692,32.717969,29.75239,1208,1099,1075,12.358464,13.724676,11.545392,14.652328,285,366,484,13.5687636666667,0.916925025735998
"A4GNT",0,0,0,0,0,0,2.25089866666667,0.153016,0.028124,0,4,1,0,8.37407766666667,0.346796643068849
"AA06",0,0,0,0,0,0,1.19543366666667,0,0,0,0,0,0,12.7766293333333,0.159359275302174
"AAAS",17.868209,17.289999,16.874782,598,489,514,3.297399,13.508489,16.738215,19.022055,343,455,490,30.1619223333333,0.137905452495245
"AACS",6.792635,7.2732,5.012077,382,296,228,9.04946033333333,15.145339,10.858128,8.980095,461,652,560,16.2866656666667,0.581341742075303
"AACSP1",0.016684,0.017346,0.035141,1,1,2,1.00310933333333,0.721078,1.223639,1.219131,29,62,70,3.992751,0.401203531546703
"AADAC",0.114227,0.093886,0.189067,3,2,4,0.485872,0,0,0,0,0,0,15.380365,0.0907105549845806
"AADACL2",0,0,0,0,0,0,0.428366666666667,0,0,0,0,0,0,9.19627866666667,0.140087056598035
"AADACL3",0,0,0,0,0,0,3.22497266666667,0,0.011945,0,0,1,0,13.2169563333333,0.297178423257918
"AADACL4",0,0,0,0,0,0,9.55361766666667,0.043998,0,0,1,0,0,75.0999046666667,0.13868108919313
"AADACP1",0.189514,0,0,2,0,0,7.256178,0.056238,0,0,1,0,0,14.6130316666667,0.528800439034956
"AADAT",2.803781,1.273732,1.256284,72,50,52,8.58759633333333,16.560745,15.539194,12.933418,429,514,491,16.745054,0.540296824869247
"AAGAB",13.5382,8.893211,8.17232,443,347,312,55.846109,41.413864,42.849994,35.918127,993,1426,1315,96.488751,0.583104290668366
"AAK1",8.140723,4.98695,5.632312,1061,924,810,19.618997,11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,1.89724478193966
"AAMDC",43.508279,45.757314,41.928473,288,290,250,105.933304666667,9.532266,5.352023,7.306193,48,40,51,19.3151253333333,5.26372852306301
"AAMP",48.914554,44.434024,32.481351,986,865,668,0.0628246666666667,72.348646,70.27047,54.966626,935,1376,1193,1.45578866666667,0.432783439834535
"AANAT",0.384486,0.191591,0.957074,4,2,7,0.195217333333333,0.253842,0.182542,0.515652,1,1,6,0,1.19521733333333
"AAR2",9.629091,8.985329,7.802869,494,440,373,0,9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,0.955507433370078
"AARD",0.509473,0.537165,0.417107,11,13,17,0.182879666666667,0.160926,0.129803,0.240983,5,6,12,10.131919,0.106260175506727
