"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,80,113,74,6.82626466666667,6.574087,5.356817,5.122674,51,37,35,3.30626433333333,1.81741390236689
"A1BG.AS1",2.993404,4.426786,4.406824,63,111,64,0.0226663333333333,2.337322,2.003968,1.253341,87,70,50,0.0794916666666667,0.947359173685145
"A1CF",0.008778,0.015491,0.033933,1,2,3,17.6506633333333,0.063683,0.066053,0,4,2,0,16.1244153333333,1.08912701369892
"A2M",40.625779,51.799758,89.320033,783,1285,1315,3.348799,47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,1.75303668150553
"A2M.AS1",0.985994,1.245013,1.84604,28,48,47,0.941269666666667,1.058558,0.498442,0.612746,47,23,23,0.915345333333333,1.01353507009006
"A2ML1",0.729893,0.415146,1.694227,8,7,12,0.0503363333333333,0.229587,0.095002,0,6,4,0,0.0162356666666667,1.03355586483057
"A2MP1",0.092784,0.262009,0.132758,2,3,1,0.473548666666667,0.062851,0.01158,0.048479,2,1,1,0.0559523333333333,1.39546892426015
"A3GALT2",0.55418,0.27785,0.327994,5,3,2,10.551188,0,0,0,0,0,0,14.8929526666667,0.726811955101777
"A4GALT",10.846069,12.300869,12.113367,217,235,152,16.06117,33.003692,32.717969,29.75239,1208,1099,1075,12.358464,1.27718052015561
"A4GNT",0,0,0,0,0,0,10.3202566666667,0,0,0,0,0,0,2.25089866666667,3.48219302642059
"AA06",0,0,0,0,0,0,7.99269266666667,0,0,0,0,0,0,1.19543366666667,4.09608944383198
"AAAS",15.794751,14.437361,18.892936,243,314,228,20.6681063333333,17.868209,17.289999,16.874782,598,489,514,3.297399,5.04214440719452
"AACS",16.816166,15.213942,17.768125,515,633,467,21.5908253333333,6.792635,7.2732,5.012077,382,296,228,9.04946033333333,2.24796402831714
"AACSP1",0.49208,0.549654,1.355209,14,22,27,4.763057,0.016684,0.017346,0.035141,1,1,2,1.00310933333333,2.87705563750223
"AADAC",0,0,0,0,0,0,17.7200676666667,0.114227,0.093886,0.189067,3,2,4,0.485872,12.5987081435458
"AADACL2",0.015844,0,0,1,0,0,9.67679533333333,0,0,0,0,0,0,0.428366666666667,7.47482812536463
"AADACL3",0.019721,0.018105,0,1,1,0,16.5164316666667,0,0,0,0,0,0,3.22497266666667,4.14592780797477
"AADACL4",0,0,0,0,0,0,95.1721943333333,0,0,0,0,0,0,9.55361766666667,9.11272298949116
"AADACP1",0,0,0,0,0,0,10.168884,0.189514,0,0,2,0,0,7.256178,1.35279108565731
"AADAT",23.254813,19.782313,24.720589,444,388,330,18.9848223333333,2.803781,1.273732,1.256284,72,50,52,8.58759633333333,2.0844455313426
"AAGAB",38.022919,40.964417,49.3614,824,823,659,98.15076,13.5382,8.893211,8.17232,443,347,312,55.846109,1.74419607153763
"AAK1",10.270345,12.426278,11.917593,2058,2373,1545,14.523083,8.140723,4.98695,5.632312,1061,924,810,19.618997,0.75285344869103
"AAMDC",4.594566,5.205604,4.56697,17,27,14,11.0918973333333,43.508279,45.757314,41.928473,288,290,250,105.933304666667,0.113078870713164
"AAMP",70.693659,74.272111,74.414188,751,872,576,2.069134,48.914554,44.434024,32.481351,986,865,668,0.0628246666666667,2.88771431098387
"AANAT",0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,0.384486,0.191591,0.957074,4,2,7,0.195217333333333,0.915426259993998
"AAR2",12.288203,12.652486,12.834718,390,432,284,0.112956333333333,9.629091,8.985329,7.802869,494,440,373,0,1.11295633333333
"AARD",0.417513,1.538506,1.037211,12,14,10,15.675252,0.509473,0.537165,0.417107,11,13,17,0.182879666666667,14.0971668293112
"AARS1",48.075378,54.153052,52.673665,1568,1900,1189,41.527064,22.672867,16.865167,16.478736,1180,877,706,15.8662736666667,2.52142618105667
