"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"A1BG",5.64798,11.508254,10.164183,9.10680566666667,80,113,74,18.566797,13.425058,13.989052,15.326969,182,164,192,0.619025225482248
"A1BG.AS1",2.993404,4.426786,4.406824,3.942338,63,111,64,4.485336,3.910238,3.890783,4.09545233333333,109,146,152,0.969950786835608
"A1CF",0.008778,0.015491,0.033933,0.0194006666666667,1,2,3,0.232084,0.063162,0.004811,0.100019,1,5,1,0.926711871946454
"A2M",40.625779,51.799758,89.320033,60.5818566666667,783,1285,1315,20.514891,0.866071,0.291101,7.224021,519,12,14,7.48804710818062
"A2M.AS1",0.985994,1.245013,1.84604,1.35901566666667,28,48,47,1.875543,1.328968,1.240804,1.48177166666667,64,74,69,0.950536948403123
"A2ML1",0.729893,0.415146,1.694227,0.946422,8,7,12,0.466725,0.673839,0.170052,0.436872,5,14,11,1.35462448986409
"A2MP1",0.092784,0.262009,0.132758,0.162517,2,3,1,0.061885,0.170176,0.221341,0.151134,2,2,6,1.0098885099389
"A3GALT2",0.55418,0.27785,0.327994,0.386674666666667,5,3,2,0.438529,0.497281,0.204317,0.380042333333333,5,8,4,1.00480589122025
"A4GALT",10.846069,12.300869,12.113367,11.753435,217,235,152,13.724676,11.545392,14.652328,13.3074653333333,285,366,484,0.891383253628246
"A4GNT",0,0,0,0,0,0,0,0.153016,0.028124,0,0.06038,4,1,0,0.943058148965465
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",15.794751,14.437361,18.892936,16.375016,243,314,228,13.508489,16.738215,19.022055,16.4229196666667,343,455,490,0.997250537362098
"AACS",16.816166,15.213942,17.768125,16.599411,515,633,467,15.145339,10.858128,8.980095,11.6611873333333,461,652,560,1.39002848126777
"AACSP1",0.49208,0.549654,1.355209,0.798981,14,22,27,0.721078,1.223639,1.219131,1.054616,29,62,70,0.875580157070713
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
